word,domain,type,notes,english_original
这,articles_determiners,function,demonstrative,the
这个,articles_determiners,function,demonstrative,this
那个,articles_determiners,function,demonstrative,that
每个,articles_determiners,function,quantifier,each
一个,articles_determiners,function,indefinite,a
一些,articles_determiners,function,quantifier,some
任何,articles_determiners,function,quantifier,any
的,prepositions,function,,of
在,prepositions,function,location,in
为了,prepositions,function,,for
与,prepositions,function,,with
被,prepositions,function,passive,by
从,prepositions,function,,from
关于,prepositions,function,,about
通过,prepositions,function,,through
之上,prepositions,function,,on
在,prepositions,function,,at
之间,prepositions,function,,during
之前,prepositions,function,,before
之后,prepositions,function,,after
之下,prepositions,function,,under
之上,prepositions,function,,over
之间,prepositions,function,,between
当中,prepositions,function,,among
进入,prepositions,function,,into
到,prepositions,function,,onto
没有,prepositions,function,,without
和,conjunctions,function,,and
但是,conjunctions,function,,but
或者,conjunctions,function,,or
也不,conjunctions,function,,nor
然而,conjunctions,function,,yet
所以,conjunctions,function,,so
如果,conjunctions,function,,if
当,conjunctions,function,,when
而,conjunctions,function,,while
因为,conjunctions,function,,because
虽然,conjunctions,function,,although
除非,conjunctions,function,,unless
我,pronouns,function,,I
你,pronouns,function,,you
他,pronouns,function,,he
她,pronouns,function,,she
它,pronouns,function,,it
我们,pronouns,function,,we
他们,pronouns,function,,they
谁,pronouns,function,,who
什么,pronouns,function,,what
哪个,pronouns,function,,which
零,numbers,abstract,mathematical_alphabet,zero
一,numbers,abstract,mathematical_alphabet,one
二,numbers,abstract,mathematical_alphabet,two
三,numbers,abstract,mathematical_alphabet,three
四,numbers,abstract,mathematical_alphabet,four
五,numbers,abstract,mathematical_alphabet,five
六,numbers,abstract,mathematical_alphabet,six
七,numbers,abstract,mathematical_alphabet,seven
八,numbers,abstract,mathematical_alphabet,eight
九,numbers,abstract,mathematical_alphabet,nine
十,numbers,abstract,mathematical_alphabet,ten
十一,numbers,abstract,mathematical_alphabet,eleven
十五,numbers,abstract,mathematical_alphabet,fifteen
十二,numbers,abstract,mathematical_alphabet,twelve
二十,numbers,abstract,mathematical_alphabet,twenty
五十,numbers,abstract,mathematical_alphabet,fifty
百,numbers,abstract,mathematical_alphabet,hundred
千,numbers,abstract,mathematical_alphabet,thousand
万,numbers,abstract,mathematical_alphabet,ten thousand
红色,colors,abstract,perceptual_spectrum,red
橙色,colors,abstract,perceptual_spectrum,orange
黄色,colors,abstract,perceptual_spectrum,yellow
绿色,colors,abstract,perceptual_spectrum,green
蓝色,colors,abstract,perceptual_spectrum,blue
紫色,colors,abstract,perceptual_spectrum,purple
粉色,colors,abstract,perceptual_spectrum,pink
棕色,colors,abstract,perceptual_spectrum,brown
黑色,colors,abstract,perceptual_spectrum,black
白色,colors,abstract,perceptual_spectrum,white
灰色,colors,abstract,perceptual_spectrum,gray
金色,colors,abstract,perceptual_spectrum,gold
银色,colors,abstract,perceptual_spectrum,silver
紫罗兰色,colors,abstract,perceptual_spectrum,violet
父亲,family_kinship,content,,father
母亲,family_kinship,content,,mother
儿子,family_kinship,content,,son
女儿,family_kinship,content,,daughter
兄弟,family_kinship,content,,brother
姐妹,family_kinship,content,,sister
父母,family_kinship,content,,parent
孩子,family_kinship,content,,child
叔叔,family_kinship,content,paternal,uncle
姑姑,family_kinship,content,paternal,aunt
表兄弟,family_kinship,content,,cousin
祖父,family_kinship,content,,grandfather
祖母,family_kinship,content,,grandmother
丈夫,family_kinship,content,,husband
妻子,family_kinship,content,,wife
侄子,family_kinship,content,,nephew
狗,animals,content,,dog
猫,animals,content,,cat
鸟,animals,content,,bird
鱼,animals,content,,fish
马,animals,content,,horse
牛,animals,content,,cow
羊,animals,content,,sheep
猪,animals,content,,pig
鸡,animals,content,,chicken
鸭,animals,content,,duck
兔子,animals,content,,rabbit
老鼠,animals,content,,mouse
老虎,animals,content,,tiger
狮子,animals,content,,lion
大象,animals,content,,elephant
头,body_parts,content,,head
眼睛,body_parts,content,,eye
鼻子,body_parts,content,,nose
嘴,body_parts,content,,mouth
耳朵,body_parts,content,,ear
手,body_parts,content,,hand
脚,body_parts,content,,foot
腿,body_parts,content,,leg
手臂,body_parts,content,,arm
心脏,body_parts,content,,heart
肺,body_parts,content,,lung
胃,body_parts,content,,stomach
大脑,body_parts,content,,brain
骨头,body_parts,content,,bone
手指,body_parts,content,,finger
快乐,emotions,content,,happy
悲伤,emotions,content,,sad
生气,emotions,content,,angry
恐惧,emotions,content,,fear
爱,emotions,content,,love
恨,emotions,content,,hate
喜悦,emotions,content,,joy
悲痛,emotions,content,,sorrow
焦虑,emotions,content,,anxious
平静,emotions,content,,calm
兴奋,emotions,content,,excited
惊讶,emotions,content,,surprised
担心,emotions,content,,worried
自豪,emotions,content,,proud
羞愧,emotions,content,,ashamed
年,time_temporal,content,,year
月,time_temporal,content,,month
日,time_temporal,content,,day
小时,time_temporal,content,,hour
