english,chinese,spanish,german,turkish,human
small,小,pequeño,klein,küçük,
large,大,grande,groß,büyük,
tiny,极小,diminuto,winzig,minik,
huge,巨大,enorme,riesig,devasa,
narrow,窄,estrecho,schmal,dar,
wide,宽,ancho,breit,geniş,
shallow,浅,poco profundo,seicht,sığ,
deep,深,profundo,tief,derin,
short,矮,bajo,klein,kısa,
tall,高,alto,groß,uzun,
thin,薄,delgado,dünn,ince,
thick,厚,grueso,dick,kalın,
light,轻,ligero,leicht,hafif,
heavy,重,pesado,schwer,ağır,
few,少,pocos,wenige,az,
many,多,muchos,viele,çok,
weak,弱,débil,schwach,zayıf,
strong,强,fuerte,stark,güçlü,
soft,轻声,suave,leise,sessiz,
loud,大声,fuerte,laut,gürültülü,
dim,昏暗,tenue,dunkel,loş,
bright,明亮,brillante,hell,parlak,
cold,冷,frío,kalt,soğuk,
hot,热,caliente,heiß,sıcak,
slow,慢,lento,langsam,yavaş,
fast,快,rápido,schnell,hızlı,
near,近,cerca,nah,yakın,
far,远,lejos,fern,uzak,
young,年轻,joven,jung,genç,
old,年老,viejo,alt,yaşlı,
cheap,便宜,barato,billig,ucuz,
expensive,昂贵,caro,teuer,pahalı,
easy,容易,fácil,einfach,kolay,
difficult,困难,difícil,schwierig,zor,
rare,稀有,raro,selten,nadir,
common,常见,común,häufig,yaygın,
poor,贫穷,pobre,arm,fakir,
rich,富有,rico,reich,zengin,
simple,简单,simple,einfach,basit,
complex,复杂,complejo,komplex,karmaşık,
low,低,bajo,niedrig,alçak,
high,高,alto,hoch,yüksek,
brief,简短,breve,kurz,kısa,
long,长,largo,lang,uzun,
broad,广阔,amplio,weit,geniş,
minor,次要,menor,geringfügig,küçük,
major,主要,mayor,bedeutend,büyük,
local,局部,local,lokal,yerel,
global,全局,global,global,küresel,
micro,微观,micro,mikro,mikro,
macro,宏观,macro,makro,makro,
finite,有限,finito,endlich,sonlu,
infinite,无限,infinito,unendlich,sonsuz,
scarce,稀缺,escaso,knapp,kıt,
abundant,丰富,abundante,reichlich,bol,
mild,温和,suave,mild,hafif,
intense,强烈,intenso,intensiv,yoğun,
pale,苍白,pálido,blass,solgun,
vivid,鲜艳,vívido,lebhaft,canlı,
faint,微弱,débil,schwach,zayıf,
sparse,稀疏,disperso,spärlich,seyrek,
dense,密集,denso,dicht,yoğun,
meager,贫乏,escaso,dürftig,kıt,
plentiful,丰富,abundante,reichlich,bol,
negligible,微不足道,insignificante,unbedeutend,önemsiz,
significant,重要,significativo,bedeutend,önemli,
minimal,最小,mínimo,minimal,minimum,
maximal,最大,máximo,maximal,maksimum,
profound,深刻,profundo,tiefgründig,derin,
petty,琐碎,mezquino,kleinlich,önemsiz,
grand,宏大,grandioso,großartig,muhteşem,
trivial,琐碎,trivial,trivial,önemsiz,
crucial,关键,crucial,entscheidend,kritik,
gentle,温和,gentil,sanft,nazik,
fierce,凶猛,feroz,wild,vahşi,
tame,温顺,manso,zahm,uysal,
wild,野性,salvaje,wild,vahşi,
modest,适度,modesto,bescheiden,mütevazı,
extravagant,奢侈,extravagante,extravagant,savurgan,
gradual,渐进,gradual,allmählich,kademeli,
abrupt,突然,abrupto,abrupt,ani,
partial,部分,parcial,teilweise,kısmi,
complete,完整,completo,vollständig,tam,
specific,具体,específico,spezifisch,özel,
general,一般,general,allgemein,genel,
tight,紧,apretado,eng,sıkı,
loose,松,suelto,locker,gevşek,
rigid,刚性,rígido,starr,katı,
flexible,灵活,flexible,flexibel,esnek,
fragile,脆弱,frágil,zerbrechlich,kırılgan,
robust,坚固,robusto,robust,sağlam,
plain,朴素,sencillo,schlicht,sade,
ornate,华丽,ornamentado,verziert,süslü,
