english,chinese,spanish,french,german,russian,korean,arabic,category,difficulty
awkward,尴尬,incómodo,gênant,peinlich,неловкий,어색한,محرج,untranslatable,high
serendipity,机缘巧合,serendipia,sérendipité,glücklicher-Zufall,счастливая-случайность,우연한-행운,صدفة-سعيدة,untranslatable,high
nostalgia,怀旧,nostalgia,nostalgie,Nostalgie,ностальгия,향수,حنين,untranslatable,medium
schadenfreude,幸灾乐祸,schadenfreude,schadenfreude,Schadenfreude,злорадство,고소함,شماتة,untranslatable,high
wanderlust,旅行欲,pasión-por-viajar,soif-de-voyage,Wanderlust,страсть-к-путешествиям,여행욕,شغف-السفر,untranslatable,high
zeitgeist,时代精神,espíritu-de-época,esprit-du-temps,Zeitgeist,дух-времени,시대정신,روح-العصر,untranslatable,high
doppelganger,分身,doble,sosie,Doppelgänger,двойник,도플갱어,شبيه,untranslatable,medium
angst,焦虑,angustia,angoisse,Angst,тревога,불안,قلق-وجودي,untranslatable,high
kitsch,媚俗,cursi,kitsch,Kitsch,китч,키치,بذخ-رديء,untranslatable,high
gestalt,格式塔,gestalt,gestalt,Gestalt,гештальт,게슈탈트,شكل-كامل,untranslatable,high
yuanfen,缘分,destino-compartido,affinité-prédestinée,schicksalhafte-Verbindung,судьбоносная-связь,인연,قدر-مشترك,untranslatable,high
mianzi,面子,prestigio-social,face-sociale,soziales-Ansehen,социальная-репутация,체면,ماء-الوجه,untranslatable,high
guanxi,关系,conexiones,relations,Beziehungsnetz,связи,관계,علاقات,untranslatable,high
wu-wei,无为,no-acción,non-agir,Nicht-Handeln,недеяние,무위,عدم-الفعل,untranslatable,high
yin-yang,阴阳,yin-yang,yin-yang,Yin-Yang,инь-янь,음양,يين-يانغ,untranslatable,medium
saudade,乡愁,saudade,saudade,Saudade,саудаде,사우다지,شوق-حزين,untranslatable,high
sobremesa,餐后闲聊,sobremesa,après-repas,Tischrunde,послеобеденная-беседа,식사-후-담소,ما-بعد-الوجبة,untranslatable,high
duende,神韵,duende,duende,Duende,дуэнде,두엔데,روح-فنية,untranslatable,high
hygge,温馨,hygge,hygge,Hygge,хюгге,휘게,دفء,untranslatable,high
lagom,适度,lagom,lagom,Lagom,лагом,라곰,اعتدال,untranslatable,high
wabi-sabi,侘寂,wabi-sabi,wabi-sabi,Wabi-Sabi,ваби-саби,와비사비,جمال-النقص,untranslatable,high
komorebi,木漏れ日,luz-filtrada,lumière-filtrée,gefiltertes-Licht,фильтрованный-свет,나뭇잎-사이-햇빛,ضوء-مصفى,untranslatable,high
ikigai,生きがい,razón-de-ser,raison-d'être,Lebenssinn,смысл-жизни,이키가이,سبب-الوجود,untranslatable,high
mono-no-aware,物の哀れ,melancolía-fugaz,éphémère-mélancolie,flüchtige-Wehmut,преходящая-грусть,덧없는-슬픔,حزن-زائل,untranslatable,high
tsundoku,积读,acumular-libros,empiler-des-livres,Bücherstapel,накопление-книг,책-쌓기,تكديس-الكتب,untranslatable,high
han,恨,han,han,Han,хан,한,حقد-عميق,untranslatable,high
jeong,情,jeong,affection,Zuneigung,чонг,정,عاطفة,untranslatable,high
nunchi,눈치,percepción-social,perception-sociale,soziales-Gespür,социальная-чувствительность,눈치,حدس-اجتماعي,untranslatable,high
han-geul,한글,hangul,hangul,Hangeul,хангыль,한글,هانغول,untranslatable,low
tarof,客套,cortesía-ritual,politesse-rituelle,rituelle-Höflichkeit,ритуальная-вежливость,타로프,مجاملة-طقسية,untranslatable,high
inshallah,如果真主愿意,si-Dios-quiere,si-Dieu-veut,so-Gott-will,если-Бог-даст,인샬라,إن-شاء-الله,untranslatable,high
ubuntu,人道,ubuntu,ubuntu,Ubuntu,убунту,우분투,إنسانية,untranslatable,high
toska,тоска,melancolía-profunda,mélancolie-profonde,tiefe-Sehnsucht,тоска,토스카,كآبة-عميقة,untranslatable,high
mamihlapinatapai,心照不宣,comprensión-tácita,compréhension-tacite,stilles-Einverständnis,молчаливое-понимание,암묵적-이해,تفاهم-صامت,untranslatable,high
goya,戈雅,goya,goya,Goya,гоя,고야,غويا,untranslatable,high
uitwaaien,吹风散心,ventilar-la-mente,s'aérer-l'esprit,sich-den-Kopf-freipusten,проветрить-голову,바람-쐬기,تهوية-العقل,untranslatable,high
gezellig,惬意,acogedor,convivial,gemütlich,уютный,게젤리흐,مريح,untranslatable,high
fernweh,远方渴望,anhelo-de-lejanía,mal-du-pays-inversé,Fernweh,тоска-по-дальнему,원거리-그리움,شوق-للبعيد,untranslatable,high
weltschmerz,世界之痛,melancolía-mundial,mal-du-monde,Weltschmerz,мировая-скорбь,세계고통,ألم-العالم,untranslatable,high
fremdschämen,替人尴尬,vergüenza-ajena,honte-pour-autrui,Fremdschämen,стыд-за-другого,남-부끄러움,خجل-للغير,untranslatable,high
verschlimmbessern,越改越糟,empeorar-mejorando,empirer-en-améliorant,Verschlimmbessern,ухудшить-улучшая,개악,يفسد-بالتحسين,untranslatable,high
backpfeifengesicht,欠揍的脸,cara-cacheteada,tête-à-claques,Backpfeifengesicht,лицо-требующее-пощёчины,맞을-상,وجه-يستحق-الصفع,untranslatable,high
torschlusspanik,末班车恐慌,pánico-de-última-hora,panique-de-dernière-chance,Torschlusspanik,паника-упущенных-возможностей,마지막-기회-공포,هلع-الفرصة-الأخيرة,untranslatable,high
kummerspeck,悲伤肥肉,grasa-de-pena,graisse-de-chagrin,Kummerspeck,жир-от-горя,슬픔-살,شحم-الحزن,untranslatable,high
fingerspitzengefühl,指尖感觉,tacto-delicado,doigté,Fingerspitzengefühl,чутьё,섬세한-감각,حس-مرهف,untranslatable,high
flâneur,闲逛者,paseante,flâneur,Flaneur,фланёр,산책자,متجول,untranslatable,high
dépaysement,异乡感,desorientación,dépaysement,Entfremdung,чувство-чужбины,이국감,شعور-بالغربة,untranslatable,high
l-esprit-de-escalier,马后炮,ingenio-tardío,esprit-de-l'escalier,Treppenwitz,запоздалый-ответ,계단-재치,ذكاء-متأخر,untranslatable,high
joie-de-vivre,生活的喜悦,alegría-de-vivir,joie-de-vivre,Lebensfreude,радость-жизни,삶의-기쁨,بهجة-الحياة,untranslatable,high
savoir-faire,处世智慧,saber-hacer,savoir-faire,Geschick,умение-жить,처세술,مهارة-الحياة,untranslatable,high
raison-d-être,存在意义,razón-de-ser,raison-d'être,Daseinszweck,смысл-существования,존재-이유,سبب-الوجود,untranslatable,high
déjà-vu,似曾相识,déjà-vu,déjà-vu,Déjà-vu,дежавю,데자뷰,وهم-سبق-الرؤية,untranslatable,medium
malaise,不安,malestar,malaise,Unbehagen,недомогание,불편,ضيق,untranslatable,medium
ennui,倦怠,tedio,ennui,Langeweile,скука,권태,ملل,untranslatable,medium
nonchalance,漠不关心,despreocupación,nonchalance,Lässigkeit,небрежность,태평,لامبالاة,untranslatable,medium
sang-froid,冷静,sangre-fría,sang-froid,Kaltblütigkeit,хладнокровие,냉정,برود-الدم,untranslatable,high
pura-vida,纯粹生活,pura-vida,pure-vie,reines-Leben,чистая-жизнь,순수한-삶,حياة-نقية,untranslatable,high
mañana,明天心态,mañana,demain,Morgen,завтра,마냐나,غدا,untranslatable,high
simpatico,讨人喜欢,simpático,sympathique,sympathisch,симпатичный,호감-가는,محبوب,untranslatable,medium
dolce-far-niente,甜蜜无为,dulce-no-hacer-nada,doux-farniente,süßes-Nichtstun,сладкое-безделье,달콤한-무위,حلاوة-الكسل,untranslatable,high
bella-figura,美好形象,buena-imagen,belle-figure,schöne-Figur,красивая-фигура,벨라-피구라,صورة-جميلة,untranslatable,high
sprezzatura,不费力优雅,elegancia-sin-esfuerzo,nonchalance-raffinée,mühelose-Eleganz,лёгкая-элегантность,무심한-우아함,أناقة-بلا-جهد,untranslatable,high
meraki,倾注灵魂,alma-en-trabajo,âme-dans-travail,Seele-in-Arbeit,душа-в-работе,정성,روح-في-العمل,untranslatable,high
philotimo,荣誉感,honor-interior,honneur-intérieur,innere-Ehre,внутренняя-честь,필로티모,شرف-داخلي,untranslatable,high
kefi,激情状态,espíritu-festivo,esprit-festif,Festlaune,праздничное-настроение,케피,روح-احتفالية,untranslatable,high
cafuné,抚摸头发,acariciar-cabello,caresser-cheveux,Haare-streicheln,гладить-волосы,머리-쓰다듬기,مداعبة-الشعر,untranslatable,high
desenrascanço,随机应变,salir-del-apuro,se-débrouiller,aus-der-Klemme,выкручиваться,문제-해결,التدبير,untranslatable,high
sisu,坚韧,tenacidad,ténacité,Zähigkeit,упорство,시수,مثابرة,untranslatable,high
fika,咖啡时光,pausa-café,pause-café,Kaffeepause,кофепауза,피카,استراحة-قهوة,untranslatable,high
janteloven,平等法则,ley-de-igualdad,loi-d'égalité,Gleichheitsgesetz,закон-равенства,얀테-법칙,قانون-المساواة,untranslatable,high
koselig,舒适,acogedor,douillet,gemütlich,уютный,코셀리,مريح,untranslatable,high
arbejdsglæde,工作喜悦,alegría-laboral,joie-au-travail,Arbeitsfreude,радость-труда,일의-기쁨,سعادة-العمل,untranslatable,high
forelsket,初恋之感,enamoramiento,coup-de-foudre,Verliebtheit,влюблённость,사랑에-빠짐,وقوع-في-الحب,untranslatable,high
taarradhin,互相谅解,comprensión-mutua,compréhension-mutuelle,gegenseitiges-Verständnis,взаимопонимание,상호-이해,تفاهم-متبادل,untranslatable,high
kawaakibisha,心有灵犀,telepatía,télépathie,Telepathie,телепатия,텔레파시,تخاطر,untranslatable,high
pochemuchka,爱问的孩子,niño-preguntón,enfant-questionneur,fragentstellendes-Kind,почемучка,궁금이,طفل-فضولي,untranslatable,high
glasnost,公开透明,transparencia,transparence,Glasnost,гласность,글라스노스트,شفافية,untranslatable,high
sobornost,集体精神,espíritu-comunitario,esprit-communautaire,Gemeinschaftsgeist,соборность,공동체-정신,روح-جماعية,untranslatable,high
razliubit,爱消失,desamor,amour-disparu,verlieben-verlieren,разлюбить,사랑-식음,حب-يتلاشى,untranslatable,high
ya-dong,凉茶药酒,licor-medicinal,liqueur-médicinale,Heillikör,лечебный-ликёр,약동,مشروب-طبي,untranslatable,medium
