relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-091,comparative,good,better,好,更好,bueno,mejor,gut,besser,iyi,daha iyi,morphological,pending,
NeurIPS-RA-092,comparative,big,bigger,大,更大,grande,más grande,groß,größer,büyük,daha büyük,morphological,pending,
NeurIPS-RA-093,comparative,fast,faster,快,更快,rápido,más rápido,schnell,schneller,hızlı,daha hızlı,morphological,pending,
NeurIPS-RA-094,comparative,strong,stronger,强,更强,fuerte,más fuerte,stark,stärker,güçlü,daha güçlü,morphological,pending,
NeurIPS-RA-095,comparative,smart,smarter,聪明,更聪明,inteligente,más inteligente,intelligent,intelligenter,akıllı,daha akıllı,morphological,pending,
NeurIPS-RA-096,comparative,tall,taller,高,更高,alto,más alto,groß,größer,uzun,daha uzun,morphological,pending,
NeurIPS-RA-097,comparative,small,smaller,小,更小,pequeño,más pequeño,klein,kleiner,küçük,daha küçük,morphological,pending,
NeurIPS-RA-098,comparative,slow,slower,慢,更慢,lento,más lento,langsam,langsamer,yavaş,daha yavaş,morphological,pending,
NeurIPS-RA-099,comparative,weak,weaker,弱,更弱,débil,más débil,schwach,schwächer,zayıf,daha zayıf,morphological,pending,
NeurIPS-RA-100,comparative,young,younger,年轻,更年轻,joven,más joven,jung,jünger,genç,daha genç,morphological,pending,
NeurIPS-RA-101,comparative,old,older,老,更老,viejo,más viejo,alt,älter,yaşlı,daha yaşlı,morphological,pending,
NeurIPS-RA-102,comparative,hot,hotter,热,更热,caliente,más caliente,heiß,heißer,sıcak,daha sıcak,morphological,pending,
NeurIPS-RA-103,comparative,cold,colder,冷,更冷,frío,más frío,kalt,kälter,soğuk,daha soğuk,morphological,pending,
NeurIPS-RA-104,comparative,bright,brighter,亮,更亮,brillante,más brillante,hell,heller,parlak,daha parlak,morphological,pending,
NeurIPS-RA-105,comparative,dark,darker,暗,更暗,oscuro,más oscuro,dunkel,dunkler,karanlık,daha karanlık,morphological,pending,
NeurIPS-RA-106,comparative,long,longer,长,更长,largo,más largo,lang,länger,uzun,daha uzun,morphological,pending,
NeurIPS-RA-107,comparative,short,shorter,短,更短,corto,más corto,kurz,kürzer,kısa,daha kısa,morphological,pending,
NeurIPS-RA-108,comparative,wide,wider,宽,更宽,ancho,más ancho,breit,breiter,geniş,daha geniş,morphological,pending,
NeurIPS-RA-109,comparative,narrow,narrower,窄,更窄,estrecho,más estrecho,schmal,schmaler,dar,daha dar,morphological,pending,
NeurIPS-RA-110,comparative,deep,deeper,深,更深,profundo,más profundo,tief,tiefer,derin,daha derin,morphological,pending,
NeurIPS-RA-111,comparative,shallow,shallower,浅,更浅,superficial,más superficial,seicht,seichter,sığ,daha sığ,morphological,pending,
NeurIPS-RA-112,comparative,heavy,heavier,重,更重,pesado,más pesado,schwer,schwerer,ağır,daha ağır,morphological,pending,
NeurIPS-RA-113,comparative,light,lighter,轻,更轻,ligero,más ligero,leicht,leichter,hafif,daha hafif,morphological,pending,
NeurIPS-RA-114,comparative,thick,thicker,厚,更厚,grueso,más grueso,dick,dicker,kalın,daha kalın,morphological,pending,
NeurIPS-RA-115,comparative,thin,thinner,薄,更薄,delgado,más delgado,dünn,dünner,ince,daha ince,morphological,pending,
NeurIPS-RA-116,comparative,loud,louder,响,更响,ruidoso,más ruidoso,laut,lauter,gürültülü,daha gürültülü,morphological,pending,
NeurIPS-RA-117,comparative,quiet,quieter,静,更静,silencioso,más silencioso,ruhig,ruhiger,sessiz,daha sessiz,morphological,pending,
NeurIPS-RA-118,comparative,high,higher,高,更高,alto,más alto,hoch,höher,yüksek,daha yüksek,morphological,pending,
NeurIPS-RA-119,comparative,low,lower,低,更低,bajo,más bajo,niedrig,niedriger,alçak,daha alçak,morphological,pending,
NeurIPS-RA-120,comparative,rich,richer,富,更富,rico,más rico,reich,reicher,zengin,daha zengin,morphological,pending,
NeurIPS-RA-121,comparative,poor,poorer,穷,更穷,pobre,más pobre,arm,ärmer,fakir,daha fakir,morphological,pending,
NeurIPS-RA-122,comparative,clean,cleaner,干净,更干净,limpio,más limpio,sauber,sauberer,temiz,daha temiz,morphological,pending,
NeurIPS-RA-123,comparative,dirty,dirtier,脏,更脏,sucio,más sucio,schmutzig,schmutziger,kirli,daha kirli,morphological,pending,
NeurIPS-RA-124,comparative,dry,drier,干,更干,seco,más seco,trocken,trockener,kuru,daha kuru,morphological,pending,
NeurIPS-RA-125,comparative,wet,wetter,湿,更湿,mojado,más mojado,nass,nasser,ıslak,daha ıslak,morphological,pending,
NeurIPS-RA-126,comparative,hard,harder,硬,更硬,duro,más duro,hart,härter,sert,daha sert,morphological,pending,
NeurIPS-RA-127,comparative,soft,softer,软,更软,blando,más blando,weich,weicher,yumuşak,daha yumuşak,morphological,pending,
NeurIPS-RA-128,comparative,smooth,smoother,光滑,更光滑,suave,más suave,glatt,glatter,pürüzsüz,daha pürüzsüz,morphological,pending,
NeurIPS-RA-129,comparative,rough,rougher,粗糙,更粗糙,áspero,más áspero,rau,rauer,pürüzlü,daha pürüzlü,morphological,pending,
NeurIPS-RA-130,comparative,sharp,sharper,锋利,更锋利,afilado,más afilado,scharf,schärfer,keskin,daha keskin,morphological,pending,
NeurIPS-RA-131,comparative,dull,duller,钝,更钝,desafilado,más desafilado,stumpf,stumpfer,kör,daha kör,morphological,pending,
NeurIPS-RA-132,comparative,sweet,sweeter,甜,更甜,dulce,más dulce,süß,süßer,tatlı,daha tatlı,morphological,pending,
NeurIPS-RA-133,comparative,bitter,bitterer,苦,更苦,amargo,más amargo,bitter,bitterer,acı,daha acı,morphological,pending,
NeurIPS-RA-134,comparative,happy,happier,快乐,更快乐,feliz,más feliz,glücklich,glücklicher,mutlu,daha mutlu,morphological,pending,
NeurIPS-RA-135,comparative,sad,sadder,悲伤,更悲伤,triste,más triste,traurig,trauriger,üzgün,daha üzgün,morphological,pending,
NeurIPS-RA-136,comparative,angry,angrier,生气,更生气,enojado,más enojado,wütend,wütender,kızgın,daha kızgın,morphological,pending,
NeurIPS-RA-137,comparative,calm,calmer,平静,更平静,tranquilo,más tranquilo,ruhig,ruhiger,sakin,daha sakin,morphological,pending,
NeurIPS-RA-138,comparative,brave,braver,勇敢,更勇敢,valiente,más valiente,mutig,mutiger,cesur,daha cesur,morphological,pending,
NeurIPS-RA-139,comparative,afraid,more afraid,害怕,更害怕,asustado,más asustado,ängstlich,ängstlicher,korkmuş,daha korkmuş,morphological,pending,
NeurIPS-RA-140,comparative,beautiful,more beautiful,美丽,更美丽,hermoso,más hermoso,schön,schöner,güzel,daha güzel,morphological,pending,
