relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-146,part_whole,finger,hand,手指,手,dedo,mano,Finger,Hand,parmak,el,body_part,pending,
NeurIPS-RA-147,part_whole,hand,arm,手,手臂,mano,brazo,Hand,Arm,el,kol,body_part,pending,
NeurIPS-RA-148,part_whole,toe,foot,脚趾,脚,dedo del pie,pie,Zehe,Fuß,ayak parmağı,ayak,body_part,pending,
NeurIPS-RA-149,part_whole,foot,leg,脚,腿,pie,pierna,Fuß,Bein,ayak,bacak,body_part,pending,
NeurIPS-RA-150,part_whole,leaf,tree,叶子,树,hoja,árbol,Blatt,Baum,yaprak,ağaç,botanical_part,pending,
NeurIPS-RA-151,part_whole,branch,tree,树枝,树,rama,árbol,Ast,Baum,dal,ağaç,botanical_part,pending,
NeurIPS-RA-152,part_whole,petal,flower,花瓣,花,pétalo,flor,Blütenblatt,Blume,taç yaprak,çiçek,botanical_part,pending,
NeurIPS-RA-153,part_whole,seed,fruit,种子,水果,semilla,fruta,Samen,Frucht,tohum,meyve,botanical_part,pending,
NeurIPS-RA-154,part_whole,wheel,car,轮子,汽车,rueda,coche,Rad,Auto,tekerlek,araba,mechanical_part,pending,
NeurIPS-RA-155,part_whole,engine,car,发动机,汽车,motor,coche,Motor,Auto,motor,araba,mechanical_part,pending,
NeurIPS-RA-156,part_whole,page,book,页,书,página,libro,Seite,Buch,sayfa,kitap,document_part,pending,
NeurIPS-RA-157,part_whole,chapter,book,章节,书,capítulo,libro,Kapitel,Buch,bölüm,kitap,document_part,pending,
NeurIPS-RA-158,part_whole,word,sentence,词,句子,palabra,oración,Wort,Satz,kelime,cümle,linguistic_part,pending,
NeurIPS-RA-159,part_whole,sentence,paragraph,句子,段落,oración,párrafo,Satz,Absatz,cümle,paragraf,linguistic_part,pending,
NeurIPS-RA-160,part_whole,room,house,房间,房子,habitación,casa,Zimmer,Haus,oda,ev,architectural_part,pending,
NeurIPS-RA-161,part_whole,window,house,窗户,房子,ventana,casa,Fenster,Haus,pencere,ev,architectural_part,pending,
NeurIPS-RA-162,part_whole,key,piano,琴键,钢琴,tecla,piano,Taste,Klavier,tuş,piyano,instrument_part,pending,
NeurIPS-RA-163,part_whole,string,guitar,弦,吉他,cuerda,guitarra,Saite,Gitarre,tel,gitar,instrument_part,pending,
NeurIPS-RA-164,part_whole,cell,organism,细胞,生物,célula,organismo,Zelle,Organismus,hücre,organizma,biological_part,pending,
NeurIPS-RA-165,part_whole,atom,molecule,原子,分子,átomo,molécula,Atom,Molekül,atom,molekül,chemical_part,pending,
NeurIPS-RA-166,part_whole,eye,face,眼睛,脸,ojo,cara,Auge,Gesicht,göz,yüz,body_part,pending,
NeurIPS-RA-167,part_whole,nose,face,鼻子,脸,nariz,cara,Nase,Gesicht,burun,yüz,body_part,pending,
NeurIPS-RA-168,part_whole,tooth,mouth,牙齿,嘴,diente,boca,Zahn,Mund,diş,ağız,body_part,pending,
NeurIPS-RA-169,part_whole,ear,head,耳朵,头,oreja,cabeza,Ohr,Kopf,kulak,baş,body_part,pending,
NeurIPS-RA-170,part_whole,heart,body,心脏,身体,corazón,cuerpo,Herz,Körper,kalp,vücut,body_part,pending,
