word,domain,type,notes
ال,articles_determiners,function,the
هذا,articles_determiners,function,this_masc
هذه,articles_determiners,function,this_fem
ذلك,articles_determiners,function,that_masc
تلك,articles_determiners,function,that_fem
بعض,articles_determiners,function,some
أي,articles_determiners,function,any
كل,articles_determiners,function,each
في,prepositions,function,
على,prepositions,function,
من,prepositions,function,
إلى,prepositions,function,
عن,prepositions,function,
مع,prepositions,function,
عند,prepositions,function,
ب,prepositions,function,
ل,prepositions,function,
ك,prepositions,function,
بين,prepositions,function,
تحت,prepositions,function,
فوق,prepositions,function,
أمام,prepositions,function,
خلف,prepositions,function,
بعد,prepositions,function,
قبل,prepositions,function,
خلال,prepositions,function,
بدون,prepositions,function,
ضد,prepositions,function,
و,conjunctions,function,
أو,conjunctions,function,
لكن,conjunctions,function,
لأن,conjunctions,function,
إذا,conjunctions,function,
عندما,conjunctions,function,
بينما,conjunctions,function,
حتى,conjunctions,function,
مع_أن,conjunctions,function,although
لذلك,conjunctions,function,
أنا,pronouns,function,
أنت,pronouns,function,you_masc
هو,pronouns,function,
هي,pronouns,function,
نحن,pronouns,function,
أنتم,pronouns,function,
هم,pronouns,function,
من,pronouns,function,who
ما,pronouns,function,what
أي,pronouns,function,which
صفر,numbers,abstract,mathematical_alphabet
واحد,numbers,abstract,mathematical_alphabet
اثنان,numbers,abstract,mathematical_alphabet
ثلاثة,numbers,abstract,mathematical_alphabet
أربعة,numbers,abstract,mathematical_alphabet
خمسة,numbers,abstract,mathematical_alphabet
ستة,numbers,abstract,mathematical_alphabet
سبعة,numbers,abstract,mathematical_alphabet
ثمانية,numbers,abstract,mathematical_alphabet
تسعة,numbers,abstract,mathematical_alphabet
عشرة,numbers,abstract,mathematical_alphabet
أحد_عشر,numbers,abstract,mathematical_alphabet
اثنا_عشر,numbers,abstract,mathematical_alphabet
عشرون,numbers,abstract,mathematical_alphabet
مائة,numbers,abstract,mathematical_alphabet
أحمر,colors,abstract,perceptual_spectrum
برتقالي,colors,abstract,perceptual_spectrum
أصفر,colors,abstract,perceptual_spectrum
أخضر,colors,abstract,perceptual_spectrum
أزرق,colors,abstract,perceptual_spectrum
بنفسجي,colors,abstract,perceptual_spectrum
وردي,colors,abstract,perceptual_spectrum
بني,colors,abstract,perceptual_spectrum
أسود,colors,abstract,perceptual_spectrum
أبيض,colors,abstract,perceptual_spectrum
رمادي,colors,abstract,perceptual_spectrum
ذهبي,colors,abstract,perceptual_spectrum
فضي,colors,abstract,perceptual_spectrum
بنفسج,colors,abstract,perceptual_spectrum
أب,family_kinship,content,
أم,family_kinship,content,
ابن,family_kinship,content,
ابنة,family_kinship,content,
أخ,family_kinship,content,
أخت,family_kinship,content,
والد,family_kinship,content,
والدة,family_kinship,content,
عم,family_kinship,content,
عمة,family_kinship,content,
خال,family_kinship,content,
خالة,family_kinship,content,
جد,family_kinship,content,
جدة,family_kinship,content,
زوج,family_kinship,content,
زوجة,family_kinship,content,
كلب,animals,content,
قط,animals,content,
طائر,animals,content,
سمك,animals,content,
حصان,animals,content,
بقرة,animals,content,
خروف,animals,content,
خنزير,animals,content,
دجاجة,animals,content,
بطة,animals,content,
أرنب,animals,content,
فأر,animals,content,
نمر,animals,content,
أسد,animals,content,
فيل,animals,content,
رأس,body_parts,content,
عين,body_parts,content,
أنف,body_parts,content,
فم,body_parts,content,
أذن,body_parts,content,
يد,body_parts,content,
قدم,body_parts,content,
رجل,body_parts,content,leg
ذراع,body_parts,content,
قلب,body_parts,content,
رئة,body_parts,content,
معدة,body_parts,content,
دماغ,body_parts,content,
عظم,body_parts,content,
إصبع,body_parts,content,
سعيد,emotions,content,
حزين,emotions,content,
غاضب,emotions,content,
خوف,emotions,content,
حب,emotions,content,
كره,emotions,content,
فرح,emotions,content,
حزن,emotions,content,
قلق,emotions,content,
هادئ,emotions,content,
متحمس,emotions,content,
متفاجئ,emotions,content,
قلق,emotions,content,worried
فخور,emotions,content,
خجل,emotions,content,
سنة,time_temporal,content,
شهر,time_temporal,content,
يوم,time_temporal,content,
ساعة,time_temporal,content,
دقيقة,time_temporal,content,
ثانية,time_temporal,content,
صباح,time_temporal,content,
ظهر,time_temporal,content,
مساء,time_temporal,content,
ليل,time_temporal,content,
اليوم,time_temporal,content,
أمس,time_temporal,content,
غدا,time_temporal,content,
ربيع,time_temporal,content,
صيف,time_temporal,content,
شتاء,time_temporal,content,
ماء,nature_elements,content,
نار,nature_elements,content,
أرض,nature_elements,content,
هواء,nature_elements,content,
ريح,nature_elements,content,
مطر,nature_elements,content,
ثلج,nature_elements,content,
شمس,nature_elements,content,
قمر,nature_elements,content,
نجم,nature_elements,content,
جبل,nature_elements,content,
نهر,nature_elements,content,
محيط,nature_elements,content,
سحاب,nature_elements,content,
غابة,nature_elements,content,
خبز,food,content,
أرز,food,content,
لحم,food,content,
