english,chinese,spanish,human
bright,明亮|聪明,brillante|inteligente,
cheap,便宜,barato,
cold,冷|寒冷,frío,
common,普通|常见,común,
complex,复杂,complejo,
deep,深,profundo|hondo,
difficult,困难|难,difícil,
dim,昏暗|暗淡,tenue|opaco,
easy,容易|简单,fácil,
expensive,贵|昂贵,caro|costoso,
far,远,lejos,
fast,快|快速,rápido,
few,少|很少,pocos,
heavy,重,pesado,
hot,热|炎热,caliente|caluroso,
huge,巨大|庞大,enorme|gigante,
large,大|大的,grande,
light,轻|光|明亮,ligero|luz|claro,
loud,响|吵闹,ruidoso|alto,
many,多|许多,muchos,
narrow,窄,estrecho|angosto,
near,近,cerca,
old,老|旧,viejo|antiguo,
poor,穷|贫穷,pobre,
rare,稀有|罕见,raro,
rich,富|富有,rico,
shallow,浅,poco profundo|superficial,
short,短|矮,corto|bajo,
simple,简单,simple|sencillo,
slow,慢|缓慢,lento,
small,小,pequeño,
soft,软|柔软,suave|blando,
strong,强|强壮,fuerte,
tall,高,alto,
thick,厚|粗,grueso|espeso,
thin,薄|瘦,delgado|fino,
tiny,微小|极小,diminuto|minúsculo,
weak,弱|虚弱,débil,
wide,宽|广,ancho|amplio,
young,年轻|幼小,joven,
