word,domain,type,note
walk,motion,verb,terrestrial_locomotion
run,motion,verb,terrestrial_locomotion
jump,motion,verb,vertical_motion
fly,motion,verb,aerial_locomotion
swim,motion,verb,aquatic_locomotion
crawl,motion,verb,low_locomotion
climb,motion,verb,ascending_motion
fall,motion,verb,descending_motion
rise,motion,verb,ascending_motion
move,motion,verb,general_motion
stop,motion,verb,motion_cessation
go,motion,verb,departure_motion
come,motion,verb,approach_motion
enter,motion,verb,container_entry
exit,motion,verb,container_exit
approach,motion,verb,proximity_increase
retreat,motion,verb,proximity_decrease
give,transfer,verb,possession_transfer
take,transfer,verb,possession_acquisition
put,transfer,verb,placement_action
get,transfer,verb,acquisition_action
send,transfer,verb,directed_transfer
receive,transfer,verb,transfer_completion
bring,transfer,verb,accompanied_transfer
carry,transfer,verb,supported_transfer
throw,transfer,verb,projectile_transfer
catch,transfer,verb,interception_action
push,transfer,verb,force_application
pull,transfer,verb,attractive_force
lift,transfer,verb,elevation_action
drop,transfer,verb,release_action
speak,communication,verb,vocal_expression
talk,communication,verb,conversational_exchange
say,communication,verb,verbal_utterance
tell,communication,verb,informational_transfer
ask,communication,verb,information_request
answer,communication,verb,response_provision
whisper,communication,verb,quiet_speech
shout,communication,verb,loud_speech
sing,communication,verb,musical_vocalization
write,communication,verb,textual_creation
read,communication,verb,textual_interpretation
listen,communication,verb,auditory_attention
hear,communication,verb,auditory_perception
think,cognition,verb,mental_processing
know,cognition,verb,knowledge_possession
understand,cognition,verb,comprehension_achievement
remember,cognition,verb,memory_retrieval
forget,cognition,verb,memory_loss
learn,cognition,verb,knowledge_acquisition
believe,cognition,verb,mental_acceptance
doubt,cognition,verb,uncertainty_state
imagine,cognition,verb,mental_creation
dream,cognition,verb,sleep_cognition
decide,cognition,verb,choice_making
choose,cognition,verb,selection_action
plan,cognition,verb,future_organization
solve,cognition,verb,problem_resolution
see,perception,verb,visual_perception
look,perception,verb,visual_attention
watch,perception,verb,sustained_visual_attention
observe,perception,verb,careful_visual_examination
notice,perception,verb,attention_capture
hear,perception,verb,auditory_perception
listen,perception,verb,auditory_attention
feel,perception,verb,tactile_perception
touch,perception,verb,tactile_contact
taste,perception,verb,gustatory_perception
smell,perception,verb,olfactory_perception
sense,perception,verb,general_perception
love,emotion,verb,positive_attachment
hate,emotion,verb,negative_attachment
like,emotion,verb,positive_preference
dislike,emotion,verb,negative_preference
enjoy,emotion,verb,pleasure_experience
fear,emotion,verb,threat_response
worry,emotion,verb,anxiety_experience
hope,emotion,verb,positive_expectation
trust,emotion,verb,confidence_placement
admire,emotion,verb,respect_feeling
respect,emotion,verb,esteem_recognition
appreciate,emotion,verb,value_recognition
meet,social,verb,encounter_initiation
visit,social,verb,location_sharing
help,social,verb,assistance_provision
support,social,verb,aid_provision
cooperate,social,verb,collaborative_action
compete,social,verb,rivalry_action
fight,social,verb,conflict_engagement
argue,social,verb,verbal_conflict
agree,social,verb,consensus_achievement
disagree,social,verb,dissent_expression
share,social,verb,resource_distribution
join,social,verb,group_integration
leave,social,verb,group_departure
make,creation,verb,production_action
create,creation,verb,origination_action
build,creation,verb,construction_action
construct,creation,verb,assembly_action
destroy,creation,verb,demolition_action
break,creation,verb,structural_damage
tear,creation,verb,separation_action
cut,creation,verb,division_action
fix,creation,verb,repair_action
repair,creation,verb,restoration_action
clean,creation,verb,purification_action
wash,creation,verb,liquid_cleaning
eat,biological,verb,food_consumption
drink,biological,verb,liquid_consumption
sleep,biological,verb,rest_state
wake,biological,verb,consciousness_return
breathe,biological,verb,respiratory_action
laugh,biological,verb,humor_expression
cry,biological,verb,distress_expression
smile,biological,verb,happiness_expression
cough,biological,verb,respiratory_reflex
sneeze,biological,verb,nasal_reflex
become,change,verb,state_transformation
turn,change,verb,directional_change
grow,change,verb,size_increase
shrink,change,verb,size_decrease
open,change,verb,access_creation
close,change,verb,access_restriction
start,change,verb,activity_initiation
begin,change,verb,temporal_initiation
finish,change,verb,completion_achievement
end,change,verb,termination_action
continue,change,verb,persistence_action
stop,change,verb,cessation_action
cause,causation,verb,effect_production
force,causation,verb,compulsion_application
let,causation,verb,permission_granting
allow,causation,verb,enablement_action
prevent,causation,verb,blockage_action
enable,causation,verb,capability_provision
disable,causation,verb,capability_removal
influence,causation,verb,effect_exertion
affect,causation,verb,impact_creation
control,causation,verb,dominance_exercise
