relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-126,hierarchical,employee,employer,雇员,雇主,empleado,empleador,work_hierarchy,pending,
NeurIPS-RA-127,hierarchical,student,teacher,学生,老师,estudiante,maestro,education_hierarchy,pending,
NeurIPS-RA-128,hierarchical,apprentice,master,学徒,师傅,aprendiz,maestro,skill_hierarchy,pending,
NeurIPS-RA-129,hierarchical,soldier,general,士兵,将军,soldado,general,military_hierarchy,pending,
NeurIPS-RA-130,hierarchical,citizen,president,公民,总统,ciudadano,presidente,political_hierarchy,pending,
NeurIPS-RA-131,hierarchical,follower,leader,追随者,领导者,seguidor,líder,social_hierarchy,pending,
NeurIPS-RA-132,hierarchical,assistant,manager,助理,经理,asistente,gerente,corporate_hierarchy,pending,
NeurIPS-RA-133,hierarchical,player,coach,球员,教练,jugador,entrenador,sports_hierarchy,pending,
NeurIPS-RA-134,hierarchical,novice,expert,新手,专家,novato,experto,expertise_hierarchy,pending,
NeurIPS-RA-135,hierarchical,child,parent,孩子,父母,niño,padre,family_hierarchy,pending,
NeurIPS-RA-136,hierarchical,parishioner,priest,教徒,牧师,feligrés,sacerdote,religious_hierarchy,pending,
NeurIPS-RA-137,hierarchical,subject,ruler,臣民,统治者,súbdito,gobernante,power_hierarchy,pending,
NeurIPS-RA-138,hierarchical,servant,lord,仆人,主人,sirviente,señor,feudal_hierarchy,pending,
NeurIPS-RA-139,hierarchical,intern,supervisor,实习生,主管,pasante,supervisor,training_hierarchy,pending,
NeurIPS-RA-140,hierarchical,clerk,judge,书记员,法官,secretario,juez,judicial_hierarchy,pending,
NeurIPS-RA-141,hierarchical,sailor,captain,水手,船长,marinero,capitán,naval_hierarchy,pending,
NeurIPS-RA-142,hierarchical,actor,director,演员,导演,actor,director,creative_hierarchy,pending,
NeurIPS-RA-143,hierarchical,voter,senator,选民,参议员,votante,senador,democratic_hierarchy,pending,
NeurIPS-RA-144,hierarchical,resident,mayor,居民,市长,residente,alcalde,municipal_hierarchy,pending,
NeurIPS-RA-145,hierarchical,fan,celebrity,粉丝,名人,fanático,celebridad,fame_hierarchy,pending,
NeurIPS-RA-146,hierarchical,private,sergeant,列兵,中士,soldado raso,sargento,military_hierarchy,pending,
NeurIPS-RA-147,hierarchical,sergeant,lieutenant,中士,中尉,sargento,teniente,military_hierarchy,pending,
NeurIPS-RA-148,hierarchical,lieutenant,colonel,中尉,上校,teniente,coronel,military_hierarchy,pending,
NeurIPS-RA-149,hierarchical,worker,foreman,工人,工头,trabajador,capataz,industrial_hierarchy,pending,
NeurIPS-RA-150,hierarchical,junior,senior,初级,高级,júnior,sénior,rank_hierarchy,pending,
NeurIPS-RA-151,hierarchical,trainee,mentor,学员,导师,aprendiz,mentor,training_hierarchy,pending,
NeurIPS-RA-152,hierarchical,member,chairman,成员,主席,miembro,presidente,organizational_hierarchy,pending,
NeurIPS-RA-153,hierarchical,disciple,master,弟子,大师,discípulo,maestro,spiritual_hierarchy,pending,
NeurIPS-RA-154,hierarchical,rookie,veteran,新人,老手,novato,veterano,experience_hierarchy,pending,
NeurIPS-RA-155,hierarchical,page,knight,侍从,骑士,paje,caballero,medieval_hierarchy,pending,
NeurIPS-RA-156,hierarchical,squire,knight,侍从骑士,骑士,escudero,caballero,medieval_hierarchy,pending,
NeurIPS-RA-157,hierarchical,peasant,noble,农民,贵族,campesino,noble,feudal_hierarchy,pending,
NeurIPS-RA-158,hierarchical,slave,master,奴隶,主人,esclavo,amo,slavery_hierarchy,pending,
NeurIPS-RA-159,hierarchical,serf,lord,农奴,领主,siervo,señor,feudal_hierarchy,pending,
NeurIPS-RA-160,hierarchical,pupil,mentor,学生,导师,pupilo,mentor,education_hierarchy,pending,
NeurIPS-RA-161,hierarchical,subordinate,superior,下属,上司,subordinado,superior,corporate_hierarchy,pending,
NeurIPS-RA-162,hierarchical,recruit,officer,新兵,军官,recluta,oficial,military_hierarchy,pending,
NeurIPS-RA-163,hierarchical,deputy,sheriff,副手,警长,diputado,sheriff,law_enforcement_hierarchy,pending,
NeurIPS-RA-164,hierarchical,acolyte,bishop,侍祭,主教,acólito,obispo,religious_hierarchy,pending,
NeurIPS-RA-165,hierarchical,monk,abbot,僧侣,修道院院长,monje,abad,religious_hierarchy,pending,
NeurIPS-RA-166,hierarchical,deacon,archbishop,执事,大主教,diácono,arzobispo,religious_hierarchy,pending,
NeurIPS-RA-167,hierarchical,representative,senator,代表,参议员,representante,senador,political_hierarchy,pending,
NeurIPS-RA-168,hierarchical,clerk,magistrate,书记员,治安法官,secretario,magistrado,judicial_hierarchy,pending,
NeurIPS-RA-169,hierarchical,attendant,physician,助理,医生,asistente,médico,medical_hierarchy,pending,
NeurIPS-RA-170,hierarchical,nurse,surgeon,护士,外科医生,enfermera,cirujano,medical_hierarchy,pending,
NeurIPS-RA-171,hierarchical,waiter,chef,服务员,厨师,camarero,chef,restaurant_hierarchy,pending,
NeurIPS-RA-172,hierarchical,crew,pilot,机组人员,飞行员,tripulación,piloto,aviation_hierarchy,pending,
NeurIPS-RA-173,hierarchical,shopkeeper,merchant,店主,商人,tendero,comerciante,commerce_hierarchy,pending,
NeurIPS-RA-174,hierarchical,laborer,contractor,劳工,承包商,obrero,contratista,construction_hierarchy,pending,
NeurIPS-RA-175,hierarchical,analyst,executive,分析师,高管,analista,ejecutivo,corporate_hierarchy,pending,
