chinese,english,spanish,french,german,russian,korean,arabic
一,one|unity,uno|unidad,un|unité,eins|einheit,один|единство,하나|통일,واحد|وحدة
乙,second|twist,segundo|torcer,deuxième|tordre,zweite|drehen,второй|крутить,둘째|비틀다,ثاني|لوى
丨,vertical line,línea vertical,ligne verticale,vertikale linie,вертикальная линия,수직선,خط عمودي
丶,dot|point,punto,point,punkt,точка,점,نقطة
丿,slash|diagonal,barra diagonal,barre diagonale,schrägstrich,косая черта,빗금,شرطة مائلة
乀,hook left,gancho izquierdo,crochet gauche,haken links,крючок влево,왼쪽 갈고리,خطاف يسار
乁,hook right,gancho derecho,crochet droit,haken rechts,крючок вправо,오른쪽 갈고리,خطاف يمين
乚,hook horizontal,gancho horizontal,crochet horizontal,horizontaler haken,горизонтальный крючок,가로 갈고리,خطاف أفقي
乛,hook turning,gancho giratorio,crochet tournant,wendehaken,поворотный крючок,돌리는 갈고리,خطاف دوار
亅,hook vertical,gancho vertical,crochet vertical,vertikaler haken,вертикальный крючок,세로 갈고리,خطاف عمودي
二,two|pair,dos|par,deux|paire,zwei|paar,два|пара,둘|쌍,اثنان|زوج
人,person|human,persona|humano,personne|humain,person|mensch,человек,사람|인간,شخص|إنسان
亻,person radical,radical de persona,radical de personne,person-radikal,радикал человека,사람 부수,جذر الشخص
刀,knife|blade,cuchillo|hoja,couteau|lame,messer|klinge,нож|лезвие,칼|날,سكين|نصل
刂,knife radical,radical de cuchillo,radical de couteau,messer-radikal,радикал ножа,칼 부수,جذر السكين
匕,spoon|dagger,cuchara|daga,cuillère|dague,löffel|dolch,ложка|кинжал,숟가락|단검,ملعقة|خنجر
卜,divination|fortune,adivinación|fortuna,divination|fortune,wahrsagung|glück,гадание|судьба,점|운,عرافة|حظ
冫,ice|cold,hielo|frío,glace|froid,eis|kalt,лёд|холод,얼음|차가운,ثلج|بارد
又,again|hand,otra vez|mano,encore|main,wieder|hand,снова|рука,또|손,مرة أخرى|يد
儿,legs|child,piernas|niño,jambes|enfant,beine|kind,ноги|ребёнок,다리|아이,أرجل|طفل
八,eight|divide,ocho|dividir,huit|diviser,acht|teilen,восемь|делить,여덟|나누다,ثمانية|قسم
入,enter|inside,entrar|dentro,entrer|dedans,eingeben|innen,войти|внутри,들어가다|안,دخل|داخل
十,ten|complete,diez|completo,dix|complet,zehn|vollständig,десять|полный,열|완전,عشرة|كامل
厂,cliff|factory,acantilado|fábrica,falaise|usine,klippe|fabrik,утёс|фабрика,절벽|공장,جرف|مصنع
力,strength|power,fuerza|poder,force|pouvoir,kraft|macht,сила|мощь,힘|력,قوة|سلطة
几,small table,mesa pequeña,petite table,kleiner tisch,маленький стол,작은 탁자,طاولة صغيرة
厶,private|self,privado|yo,privé|soi,privat|selbst,частный|себя,사적|자기,خاص|نفس
丷,divide|separate,dividir|separar,diviser|séparer,teilen|trennen,делить|отделять,나누다|분리,قسم|فصل
亠,lid|cover,tapa|cubrir,couvercle|couvrir,deckel|bedecken,крышка|покрывать,뚜껑|덮다,غطاء|غطى
冂,frame|border,marco|borde,cadre|bordure,rahmen|grenze,рамка|граница,틀|경계,إطار|حدود
冖,cover|roof,cubrir|techo,couvrir|toit,bedecken|dach,покрывать|крыша,덮다|지붕,غطى|سقف
凵,container|vessel,contenedor|recipiente,récipient|vaisseau,behälter|gefäß,контейнер|сосуд,용기|그릇,حاوية|وعاء
⺈,small,pequeño,petit,klein,маленький,작은,صغير
勹,wrap|embrace,envolver|abrazar,envelopper|embrasser,umhüllen|umarmen,обёртывать|обнимать,감싸다|안다,لف|احتضن
匚,box|container,caja|contenedor,boîte|récipient,kiste|behälter,коробка|контейнер,상자|용기,صندوق|حاوية
匸,hide|conceal,esconder|ocultar,cacher|dissimuler,verstecken|verbergen,прятать|скрывать,숨다|감추다,اختبأ|أخفى
卩,seal|joint,sello|articulación,sceau|joint,siegel|gelenk,печать|сустав,도장|관절,ختم|مفصل
㔾,ancient form,forma antigua,forme ancienne,alte form,древняя форма,고대 형태,شكل قديم
讠,speech radical,radical de habla,radical de parole,sprech-radikal,радикал речи,말 부수,جذر الكلام
乂,cross|multiply,cruz|multiplicar,croix|multiplier,kreuz|multiplizieren,крест|умножать,십자|곱하다,صليب|ضرب
