english,chinese,spanish,french,german,russian,korean,arabic,category,cultural-sensitivity
honor,荣誉,honor,honneur,Ehre,честь,명예,شرف,social-relations,high
respect,尊重,respeto,respect,Respekt,уважение,존경,احترام,social-relations,medium
shame,羞耻,vergüenza,honte,Schande,позор,수치,عار,social-relations,high
face,面子,cara,face,Gesicht,лицо,체면,وجه,social-relations,high
elder-brother,哥哥,hermano-mayor,frère-aîné,älterer-Bruder,старший-брат,형,أخ-أكبر,social-relations,high
younger-brother,弟弟,hermano-menor,frère-cadet,jüngerer-Bruder,младший-брат,동생,أخ-أصغر,social-relations,high
elder-sister,姐姐,hermana-mayor,sœur-aînée,ältere-Schwester,старшая-сестра,언니,أخت-كبرى,social-relations,high
younger-sister,妹妹,hermana-menor,sœur-cadette,jüngere-Schwester,младшая-сестра,여동생,أخت-صغرى,social-relations,high
maternal-uncle,舅舅,tío-materno,oncle-maternel,Onkel-mütterlicherseits,дядя-по-матери,외삼촌,خال,social-relations,high
paternal-uncle,叔叔,tío-paterno,oncle-paternel,Onkel-väterlicherseits,дядя-по-отцу,삼촌,عم,social-relations,high
teacher,老师,maestro,professeur,Lehrer,учитель,선생님,معلم,social-relations,medium
student,学生,estudiante,étudiant,Student,студент,학생,طالب,social-relations,low
master,师傅,maestro,maître,Meister,мастер,스승,أستاذ,social-relations,high
apprentice,学徒,aprendiz,apprenti,Lehrling,ученик,제자,متدرب,social-relations,medium
mentor,导师,mentor,mentor,Mentor,наставник,멘토,مرشد,social-relations,medium
seniority,资历,antigüedad,ancienneté,Dienstalter,стаж,연공서열,أقدمية,social-relations,high
hierarchy,等级,jerarquía,hiérarchie,Hierarchie,иерархия,계층,تسلسل-هرمي,social-relations,medium
equality,平等,igualdad,égalité,Gleichheit,равенство,평등,مساواة,social-relations,medium
peer,同辈,compañero,pair,Kollege,коллега,동료,قرين,social-relations,low
superior,上级,superior,supérieur,Vorgesetzter,начальник,상사,رئيس,social-relations,medium
subordinate,下属,subordinado,subordonné,Untergebener,подчинённый,부하,مرؤوس,social-relations,medium
tea-ceremony,茶道,ceremonia-del-té,cérémonie-du-thé,Teezeremonie,чайная-церемония,다도,حفل-الشاي,cultural-practices,high
meditation,冥想,meditación,méditation,Meditation,медитация,명상,تأمل,cultural-practices,medium
prayer,祈祷,oración,prière,Gebet,молитва,기도,صلاة,cultural-practices,high
ritual,仪式,ritual,rituel,Ritual,ритуал,의식,طقوس,cultural-practices,medium
festival,节日,festival,festival,Festival,фестиваль,축제,مهرجان,cultural-practices,medium
celebration,庆祝,celebración,célébration,Feier,празднование,축하,احتفال,cultural-practices,low
holiday,假日,día-festivo,jour-férié,Feiertag,праздник,휴일,عطلة,cultural-practices,medium
mourning,哀悼,luto,deuil,Trauer,траур,애도,حداد,cultural-practices,high
gift-giving,送礼,dar-regalos,offrir-des-cadeaux,Geschenke-geben,дарение-подарков,선물하기,تقديم-الهدايا,cultural-practices,high
hospitality,好客,hospitalidad,hospitalité,Gastfreundschaft,гостеприимство,환대,ضيافة,cultural-practices,high
etiquette,礼仪,etiqueta,étiquette,Etikette,этикет,예절,آداب,cultural-practices,high
custom,习俗,costumbre,coutume,Brauch,обычай,관습,عرف,cultural-practices,medium
tradition,传统,tradición,tradition,Tradition,традиция,전통,تقليد,cultural-practices,medium
heritage,遗产,patrimonio,patrimoine,Erbe,наследие,유산,تراث,cultural-practices,medium
ancestry,祖先,ascendencia,ascendance,Abstammung,происхождение,혈통,نسب,cultural-practices,high
lineage,世系,linaje,lignée,Abstammungslinie,родословная,가계,نسب,cultural-practices,high
calligraphy,书法,caligrafía,calligraphie,Kalligraphie,каллиграфия,서예,خط,cultural-practices,high
self,自我,yo,soi,Selbst,я,자아,نفس,philosophical,high
identity,身份,identidad,identité,Identität,идентичность,정체성,هوية,philosophical,medium
