relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-186,cause_effect,fire,smoke,火,烟,fuego,humo,Feuer,Rauch,ateş,duman,physical_causation,pending,
NeurIPS-RA-187,cause_effect,rain,flood,雨,洪水,lluvia,inundación,Regen,Überschwemmung,yağmur,sel,natural_causation,pending,
NeurIPS-RA-188,cause_effect,study,knowledge,学习,知识,estudiar,conocimiento,Studium,Wissen,öğrenmek,bilgi,cognitive_causation,pending,
NeurIPS-RA-189,cause_effect,practice,skill,练习,技能,práctica,habilidad,Übung,Fähigkeit,pratik,beceri,learning_causation,pending,
NeurIPS-RA-190,cause_effect,exercise,fitness,锻炼,健康,ejercicio,fitness,Übung,Fitness,egzersiz,kondisyon,health_causation,pending,
NeurIPS-RA-191,cause_effect,seed,plant,种子,植物,semilla,planta,Samen,Pflanze,tohum,bitki,biological_causation,pending,
NeurIPS-RA-192,cause_effect,question,answer,问题,答案,pregunta,respuesta,Frage,Antwort,soru,cevap,logical_causation,pending,
NeurIPS-RA-193,cause_effect,crime,punishment,犯罪,惩罚,crimen,castigo,Verbrechen,Strafe,suç,ceza,social_causation,pending,
NeurIPS-RA-194,cause_effect,wound,scar,伤口,疤痕,herida,cicatriz,Wunde,Narbe,yara,yara izi,temporal_causation,pending,
NeurIPS-RA-195,cause_effect,work,salary,工作,工资,trabajo,salario,Arbeit,Gehalt,iş,maaş,economic_causation,pending,
NeurIPS-RA-196,cause_effect,virus,disease,病毒,疾病,virus,enfermedad,Virus,Krankheit,virüs,hastalık,medical_causation,pending,
NeurIPS-RA-197,cause_effect,war,peace,战争,和平,guerra,paz,Krieg,Frieden,savaş,barış,political_causation,pending,note: peace follows war
NeurIPS-RA-198,cause_effect,innovation,progress,创新,进步,innovación,progreso,Innovation,Fortschritt,yenilik,ilerleme,developmental_causation,pending,
NeurIPS-RA-199,cause_effect,pollution,climate change,污染,气候变化,contaminación,cambio climático,Verschmutzung,Klimawandel,kirlilik,iklim değişikliği,environmental_causation,pending,
NeurIPS-RA-200,cause_effect,hunger,eating,饥饿,吃饭,hambre,comer,Hunger,Essen,açlık,yemek,biological_response,pending,
NeurIPS-RA-201,cause_effect,fear,escape,恐惧,逃跑,miedo,escapar,Angst,Flucht,korku,kaçış,emotional_response,pending,
NeurIPS-RA-202,cause_effect,joke,laughter,笑话,笑声,broma,risa,Witz,Lachen,şaka,kahkaha,social_response,pending,
NeurIPS-RA-203,cause_effect,kindness,gratitude,善良,感激,amabilidad,gratitud,Freundlichkeit,Dankbarkeit,nezaket,şükran,emotional_causation,pending,
NeurIPS-RA-204,cause_effect,betrayal,anger,背叛,愤怒,traición,ira,Verrat,Wut,ihanet,öfke,emotional_causation,pending,
NeurIPS-RA-205,cause_effect,success,celebration,成功,庆祝,éxito,celebración,Erfolg,Feier,başarı,kutlama,social_causation,pending,
NeurIPS-RA-206,cause_effect,friction,heat,摩擦,热,fricción,calor,Reibung,Wärme,sürtünme,ısı,physical_causation,pending,
NeurIPS-RA-207,cause_effect,earthquake,tsunami,地震,海啸,terremoto,tsunami,Erdbeben,Tsunami,deprem,tsunami,natural_causation,pending,
NeurIPS-RA-208,cause_effect,drought,famine,干旱,饥荒,sequía,hambruna,Dürre,Hungersnot,kuraklık,kıtlık,natural_causation,pending,
NeurIPS-RA-209,cause_effect,storm,damage,风暴,破坏,tormenta,daño,Sturm,Schaden,fırtına,hasar,natural_causation,pending,
NeurIPS-RA-210,cause_effect,lightning,thunder,闪电,雷声,relámpago,trueno,Blitz,Donner,şimşek,gök gürültüsü,physical_causation,pending,
NeurIPS-RA-211,cause_effect,effort,achievement,努力,成就,esfuerzo,logro,Anstrengung,Leistung,çaba,başarı,achievement_causation,pending,
NeurIPS-RA-212,cause_effect,training,expertise,训练,专业知识,entrenamiento,pericia,Training,Expertise,eğitim,uzmanlık,learning_causation,pending,
NeurIPS-RA-213,cause_effect,reading,literacy,阅读,识字,lectura,alfabetización,Lesen,Lesefähigkeit,okuma,okuryazarlık,educational_causation,pending,
NeurIPS-RA-214,cause_effect,exposure,immunity,暴露,免疫,exposición,inmunidad,Exposition,Immunität,maruziyet,bağışıklık,biological_causation,pending,
NeurIPS-RA-215,cause_effect,infection,fever,感染,发烧,infección,fiebre,Infektion,Fieber,enfeksiyon,ateş,medical_causation,pending,
NeurIPS-RA-216,cause_effect,stress,illness,压力,疾病,estrés,enfermedad,Stress,Krankheit,stres,hastalık,psychosomatic_causation,pending,
NeurIPS-RA-217,cause_effect,insult,conflict,侮辱,冲突,insulto,conflicto,Beleidigung,Konflikt,hakaret,çatışma,social_causation,pending,
NeurIPS-RA-218,cause_effect,cooperation,harmony,合作,和谐,cooperación,armonía,Zusammenarbeit,Harmonie,işbirliği,uyum,social_causation,pending,
NeurIPS-RA-219,cause_effect,competition,improvement,竞争,进步,competencia,mejora,Wettbewerb,Verbesserung,rekabet,gelişim,social_causation,pending,
NeurIPS-RA-220,cause_effect,investment,profit,投资,利润,inversión,ganancia,Investition,Gewinn,yatırım,kâr,economic_causation,pending,
NeurIPS-RA-221,cause_effect,demand,price,需求,价格,demanda,precio,Nachfrage,Preis,talep,fiyat,economic_causation,pending,
NeurIPS-RA-222,cause_effect,inflation,poverty,通货膨胀,贫困,inflación,pobreza,Inflation,Armut,enflasyon,yoksulluk,economic_causation,pending,
NeurIPS-RA-223,cause_effect,education,employment,教育,就业,educación,empleo,Bildung,Beschäftigung,eğitim,istihdam,social_causation,pending,
NeurIPS-RA-224,cause_effect,overeating,obesity,暴饮暴食,肥胖,comer en exceso,obesidad,Überessen,Fettleibigkeit,aşırı yemek,obezite,health_causation,pending,
NeurIPS-RA-225,cause_effect,deforestation,erosion,森林砍伐,侵蚀,deforestación,erosión,Abholzung,Erosion,ormansızlaşma,erozyon,environmental_causation,pending,
NeurIPS-RA-226,cause_effect,smoking,cancer,吸烟,癌症,fumar,cáncer,Rauchen,Krebs,sigara,kanser,medical_causation,pending,
NeurIPS-RA-227,cause_effect,negligence,accident,疏忽,事故,negligencia,accidente,Fahrlässigkeit,Unfall,ihmal,kaza,behavioral_causation,pending,
NeurIPS-RA-228,cause_effect,delay,frustration,延误,沮丧,retraso,frustración,Verzögerung,Frustration,gecikme,hayal kırıklığı,emotional_causation,pending,
NeurIPS-RA-229,cause_effect,praise,motivation,表扬,动力,elogio,motivación,Lob,Motivation,övgü,motivasyon,psychological_causation,pending,
NeurIPS-RA-230,cause_effect,criticism,improvement,批评,改进,crítica,mejora,Kritik,Verbesserung,eleştiri,gelişme,developmental_causation,pending,
NeurIPS-RA-231,cause_effect,catalyst,reaction,催化剂,反应,catalizador,reacción,Katalysator,Reaktion,katalizör,reaksiyon,chemical_causation,pending,
NeurIPS-RA-232,cause_effect,heat,expansion,热,膨胀,calor,expansión,Wärme,Ausdehnung,ısı,genişleme,physical_causation,pending,
NeurIPS-RA-233,cause_effect,pressure,deformation,压力,变形,presión,deformación,Druck,Verformung,basınç,deformasyon,physical_causation,pending,
NeurIPS-RA-234,cause_effect,mutation,evolution,突变,进化,mutación,evolución,Mutation,Evolution,mutasyon,evrim,biological_causation,pending,
NeurIPS-RA-235,cause_effect,supply,abundance,供应,丰富,suministro,abundancia,Angebot,Fülle,arz,bolluk,economic_causation,pending,
