english,chinese,spanish,german,turkish,human
good,好,bueno,gut,iyi,
better,更好,mejor,besser,daha iyi,
big,大,grande,groß,büyük,
bigger,更大,más grande,größer,daha büyük,
fast,快,rápido,schnell,hızlı,
faster,更快,más rápido,schneller,daha hızlı,
strong,强,fuerte,stark,güçlü,
stronger,更强,más fuerte,stärker,daha güçlü,
smart,聪明,inteligente,intelligent,akıllı,
smarter,更聪明,más inteligente,intelligenter,daha akıllı,
tall,高,alto,groß,uzun,
taller,更高,más alto,größer,daha uzun,
small,小,pequeño,klein,küçük,
smaller,更小,más pequeño,kleiner,daha küçük,
slow,慢,lento,langsam,yavaş,
slower,更慢,más lento,langsamer,daha yavaş,
weak,弱,débil,schwach,zayıf,
weaker,更弱,más débil,schwächer,daha zayıf,
young,年轻,joven,jung,genç,
younger,更年轻,más joven,jünger,daha genç,
old,老,viejo,alt,yaşlı,
older,更老,más viejo,älter,daha yaşlı,
hot,热,caliente,heiß,sıcak,
hotter,更热,más caliente,heißer,daha sıcak,
cold,冷,frío,kalt,soğuk,
colder,更冷,más frío,kälter,daha soğuk,
bright,亮,brillante,hell,parlak,
brighter,更亮,más brillante,heller,daha parlak,
dark,暗,oscuro,dunkel,karanlık,
darker,更暗,más oscuro,dunkler,daha karanlık,
long,长,largo,lang,uzun,
longer,更长,más largo,länger,daha uzun,
short,短,corto,kurz,kısa,
shorter,更短,más corto,kürzer,daha kısa,
wide,宽,ancho,breit,geniş,
wider,更宽,más ancho,breiter,daha geniş,
narrow,窄,estrecho,schmal,dar,
narrower,更窄,más estrecho,schmaler,daha dar,
deep,深,profundo,tief,derin,
deeper,更深,más profundo,tiefer,daha derin,
shallow,浅,superficial,seicht,sığ,
shallower,更浅,más superficial,seichter,daha sığ,
heavy,重,pesado,schwer,ağır,
heavier,更重,más pesado,schwerer,daha ağır,
light,轻,ligero,leicht,hafif,
lighter,更轻,más ligero,leichter,daha hafif,
thick,厚,grueso,dick,kalın,
thicker,更厚,más grueso,dicker,daha kalın,
thin,薄,delgado,dünn,ince,
thinner,更薄,más delgado,dünner,daha ince,
loud,响,ruidoso,laut,gürültülü,
louder,更响,más ruidoso,lauter,daha gürültülü,
quiet,静,silencioso,ruhig,sessiz,
quieter,更静,más silencioso,ruhiger,daha sessiz,
high,高,alto,hoch,yüksek,
higher,更高,más alto,höher,daha yüksek,
low,低,bajo,niedrig,alçak,
lower,更低,más bajo,niedriger,daha alçak,
rich,富,rico,reich,zengin,
richer,更富,más rico,reicher,daha zengin,
poor,穷,pobre,arm,fakir,
poorer,更穷,más pobre,ärmer,daha fakir,
clean,干净,limpio,sauber,temiz,
cleaner,更干净,más limpio,sauberer,daha temiz,
dirty,脏,sucio,schmutzig,kirli,
dirtier,更脏,más sucio,schmutziger,daha kirli,
dry,干,seco,trocken,kuru,
drier,更干,más seco,trockener,daha kuru,
wet,湿,mojado,nass,ıslak,
wetter,更湿,más mojado,nasser,daha ıslak,
hard,硬,duro,hart,sert,
harder,更硬,más duro,härter,daha sert,
soft,软,blando,weich,yumuşak,
softer,更软,más blando,weicher,daha yumuşak,
smooth,光滑,suave,glatt,pürüzsüz,
smoother,更光滑,más suave,glatter,daha pürüzsüz,
rough,粗糙,áspero,rau,pürüzlü,
rougher,更粗糙,más áspero,rauer,daha pürüzlü,
sharp,锋利,afilado,scharf,keskin,
sharper,更锋利,más afilado,schärfer,daha keskin,
dull,钝,desafilado,stumpf,kör,
duller,更钝,más desafilado,stumpfer,daha kör,
sweet,甜,dulce,süß,tatlı,
sweeter,更甜,más dulce,süßer,daha tatlı,
bitter,苦,amargo,bitter,acı,
bitterer,更苦,más amargo,bitterer,daha acı,
happy,快乐,feliz,glücklich,mutlu,
happier,更快乐,más feliz,glücklicher,daha mutlu,
sad,悲伤,triste,traurig,üzgün,
sadder,更悲伤,más triste,trauriger,daha üzgün,
angry,生气,enojado,wütend,kızgın,
angrier,更生气,más enojado,wütender,daha kızgın,
calm,平静,tranquilo,ruhig,sakin,
calmer,更平静,más tranquilo,ruhiger,daha sakin,
brave,勇敢,valiente,mutig,cesur,
braver,更勇敢,más valiente,mutiger,daha cesur,
afraid,害怕,asustado,ängstlich,korkmuş,
more afraid,更害怕,más asustado,ängstlicher,daha korkmuş,
beautiful,美丽,hermoso,schön,güzel,
more beautiful,更美丽,más hermoso,schöner,daha güzel,
