relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-056,animal,bull,cow,公牛,母牛,toro,vaca,Bulle,Kuh,boğa,inek,gendered_pair,pending,
NeurIPS-RA-057,animal,rooster,hen,公鸡,母鸡,gallo,gallina,Hahn,Henne,horoz,tavuk,gendered_pair,pending,
NeurIPS-RA-058,animal,stallion,mare,公马,母马,semental,yegua,Hengst,Stute,aygır,kısrak,gendered_pair,pending,
NeurIPS-RA-059,animal,ram,ewe,公羊,母羊,carnero,oveja,Widder,Schaf,koç,koyun,gendered_pair,pending,
NeurIPS-RA-060,animal,drake,duck,公鸭,母鸭,pato,pata,Enterich,Ente,erkek ördek,ördek,gendered_pair,pending,
NeurIPS-RA-061,animal,gander,goose,公鹅,母鹅,ganso,gansa,Gänserich,Gans,erkek kaz,kaz,gendered_pair,pending,
NeurIPS-RA-062,animal,lion,lioness,公狮,母狮,león,leona,Löwe,Löwin,aslan,dişi aslan,gendered_pair,pending,
NeurIPS-RA-063,animal,tiger,tigress,公虎,母虎,tigre,tigresa,Tiger,Tigerin,kaplan,dişi kaplan,gendered_pair,pending,
NeurIPS-RA-064,animal,buck,doe,公鹿,母鹿,ciervo,cierva,Bock,Ricke,geyik,dişi geyik,gendered_pair,pending,
NeurIPS-RA-065,animal,boar,sow,公猪,母猪,jabalí,jabalina,Eber,Sau,erkek domuz,dişi domuz,gendered_pair,pending,
NeurIPS-RA-066,animal,dog,bitch,公狗,母狗,perro,perra,Rüde,Hündin,erkek köpek,dişi köpek,gendered_pair,pending,
NeurIPS-RA-067,animal,tom,cat,公猫,母猫,gato,gata,Kater,Katze,erkek kedi,dişi kedi,gendered_pair,pending,
NeurIPS-RA-068,animal,billy,nanny,公山羊,母山羊,macho cabrío,cabra,Ziegenbock,Ziege,teke,keçi,gendered_pair,pending,goat
NeurIPS-RA-069,animal,colt,filly,小公马,小母马,potro,potra,Hengstfohlen,Stutfohlen,tay,dişi tay,gendered_pair,pending,
NeurIPS-RA-070,animal,peacock,peahen,雄孔雀,雌孔雀,pavo real,pava real,Pfau,Pfauhenne,tavus kuşu,dişi tavus kuşu,gendered_pair,pending,
NeurIPS-RA-071,animal,fox,vixen,公狐,母狐,zorro,zorra,Fuchs,Füchsin,tilki,dişi tilki,gendered_pair,pending,
NeurIPS-RA-072,animal,wolf,she-wolf,公狼,母狼,lobo,loba,Wolf,Wölfin,kurt,dişi kurt,gendered_pair,pending,
NeurIPS-RA-073,animal,bear,sow bear,公熊,母熊,oso,osa,Bär,Bärin,ayı,dişi ayı,gendered_pair,pending,"used 'sow bear' for consistency; note: English often uses 'female bear'"
NeurIPS-RA-074,animal,elephant bull,cow elephant,公象,母象,elefante macho,elefanta,Elefantenbulle,Elefantenkuh,fil,dişi fil,gendered_pair,pending,
NeurIPS-RA-075,animal,giraffe bull,cow giraffe,公长颈鹿,母长颈鹿,jirafa macho,jirafa hembra,Giraffenbulle,Giraffenkuh,zürafa,dişi zürafa,gendered_pair,pending,
