relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-186,cause_effect,fire,smoke,火,烟,fuego,humo,physical_causation,pending,
NeurIPS-RA-187,cause_effect,rain,flood,雨,洪水,lluvia,inundación,natural_causation,pending,
NeurIPS-RA-188,cause_effect,study,knowledge,学习,知识,estudiar,conocimiento,cognitive_causation,pending,
NeurIPS-RA-189,cause_effect,practice,skill,练习,技能,práctica,habilidad,learning_causation,pending,
NeurIPS-RA-190,cause_effect,exercise,fitness,锻炼,健康,ejercicio,fitness,health_causation,pending,
NeurIPS-RA-191,cause_effect,seed,plant,种子,植物,semilla,planta,biological_causation,pending,
NeurIPS-RA-192,cause_effect,question,answer,问题,答案,pregunta,respuesta,logical_causation,pending,
NeurIPS-RA-193,cause_effect,crime,punishment,犯罪,惩罚,crimen,castigo,social_causation,pending,
NeurIPS-RA-194,cause_effect,wound,scar,伤口,疤痕,herida,cicatriz,temporal_causation,pending,
NeurIPS-RA-195,cause_effect,work,salary,工作,工资,trabajo,salario,economic_causation,pending,
NeurIPS-RA-196,cause_effect,virus,disease,病毒,疾病,virus,enfermedad,medical_causation,pending,
NeurIPS-RA-197,cause_effect,war,peace,战争,和平,guerra,paz,political_causation,pending,note: peace follows war
NeurIPS-RA-198,cause_effect,innovation,progress,创新,进步,innovación,progreso,developmental_causation,pending,
NeurIPS-RA-199,cause_effect,pollution,climate change,污染,气候变化,contaminación,cambio climático,environmental_causation,pending,
NeurIPS-RA-200,cause_effect,hunger,eating,饥饿,吃饭,hambre,comer,biological_response,pending,
NeurIPS-RA-201,cause_effect,fear,escape,恐惧,逃跑,miedo,escapar,emotional_response,pending,
NeurIPS-RA-202,cause_effect,joke,laughter,笑话,笑声,broma,risa,social_response,pending,
NeurIPS-RA-203,cause_effect,kindness,gratitude,善良,感激,amabilidad,gratitud,emotional_causation,pending,
NeurIPS-RA-204,cause_effect,betrayal,anger,背叛,愤怒,traición,ira,emotional_causation,pending,
NeurIPS-RA-205,cause_effect,success,celebration,成功,庆祝,éxito,celebración,social_causation,pending,
NeurIPS-RA-206,cause_effect,friction,heat,摩擦,热,fricción,calor,physical_causation,pending,
NeurIPS-RA-207,cause_effect,earthquake,tsunami,地震,海啸,terremoto,tsunami,natural_causation,pending,
NeurIPS-RA-208,cause_effect,drought,famine,干旱,饥荒,sequía,hambruna,natural_causation,pending,
NeurIPS-RA-209,cause_effect,storm,damage,风暴,破坏,tormenta,daño,natural_causation,pending,
NeurIPS-RA-210,cause_effect,lightning,thunder,闪电,雷声,relámpago,trueno,physical_causation,pending,
NeurIPS-RA-211,cause_effect,effort,achievement,努力,成就,esfuerzo,logro,achievement_causation,pending,
NeurIPS-RA-212,cause_effect,training,expertise,训练,专业知识,entrenamiento,pericia,learning_causation,pending,
NeurIPS-RA-213,cause_effect,reading,literacy,阅读,识字,lectura,alfabetización,educational_causation,pending,
NeurIPS-RA-214,cause_effect,exposure,immunity,暴露,免疫,exposición,inmunidad,biological_causation,pending,
NeurIPS-RA-215,cause_effect,infection,fever,感染,发烧,infección,fiebre,medical_causation,pending,
NeurIPS-RA-216,cause_effect,stress,illness,压力,疾病,estrés,enfermedad,psychosomatic_causation,pending,
NeurIPS-RA-217,cause_effect,insult,conflict,侮辱,冲突,insulto,conflicto,social_causation,pending,
NeurIPS-RA-218,cause_effect,cooperation,harmony,合作,和谐,cooperación,armonía,social_causation,pending,
NeurIPS-RA-219,cause_effect,competition,improvement,竞争,进步,competencia,mejora,social_causation,pending,
NeurIPS-RA-220,cause_effect,investment,profit,投资,利润,inversión,ganancia,economic_causation,pending,
NeurIPS-RA-221,cause_effect,demand,price,需求,价格,demanda,precio,economic_causation,pending,
NeurIPS-RA-222,cause_effect,inflation,poverty,通货膨胀,贫困,inflación,pobreza,economic_causation,pending,
NeurIPS-RA-223,cause_effect,education,employment,教育,就业,educación,empleo,social_causation,pending,
NeurIPS-RA-224,cause_effect,overeating,obesity,暴饮暴食,肥胖,comer en exceso,obesidad,health_causation,pending,
NeurIPS-RA-225,cause_effect,deforestation,erosion,森林砍伐,侵蚀,deforestación,erosión,environmental_causation,pending,
NeurIPS-RA-226,cause_effect,smoking,cancer,吸烟,癌症,fumar,cáncer,medical_causation,pending,
NeurIPS-RA-227,cause_effect,negligence,accident,疏忽,事故,negligencia,accidente,behavioral_causation,pending,
NeurIPS-RA-228,cause_effect,delay,frustration,延误,沮丧,retraso,frustración,emotional_causation,pending,
NeurIPS-RA-229,cause_effect,praise,motivation,表扬,动力,elogio,motivación,psychological_causation,pending,
NeurIPS-RA-230,cause_effect,criticism,improvement,批评,改进,crítica,mejora,developmental_causation,pending,
NeurIPS-RA-231,cause_effect,catalyst,reaction,催化剂,反应,catalizador,reacción,chemical_causation,pending,
NeurIPS-RA-232,cause_effect,heat,expansion,热,膨胀,calor,expansión,physical_causation,pending,
NeurIPS-RA-233,cause_effect,pressure,deformation,压力,变形,presión,deformación,physical_causation,pending,
NeurIPS-RA-234,cause_effect,mutation,evolution,突变,进化,mutación,evolución,biological_causation,pending,
NeurIPS-RA-235,cause_effect,supply,abundance,供应,丰富,suministro,abundancia,economic_causation,pending,
