word,domain,type,note
我,SUBSTANTIVES,noun,entity
自己,SUBSTANTIVES,noun,entity
本人,SUBSTANTIVES,noun,entity
吾,SUBSTANTIVES,noun,entity
余,SUBSTANTIVES,noun,entity
俺,SUBSTANTIVES,noun,entity
咱,SUBSTANTIVES,noun,entity
个人,SUBSTANTIVES,noun,entity
主体,SUBSTANTIVES,noun,entity
意识,SUBSTANTIVES,noun,entity
你,SUBSTANTIVES,noun,entity
您,SUBSTANTIVES,noun,entity
你们,SUBSTANTIVES,noun,entity
你的,SUBSTANTIVES,noun,entity
汝,SUBSTANTIVES,noun,entity
尔,SUBSTANTIVES,noun,entity
第二人称,SUBSTANTIVES,noun,entity
对方,SUBSTANTIVES,noun,entity
听者,SUBSTANTIVES,noun,entity
受话人,SUBSTANTIVES,noun,entity
某人,SUBSTANTIVES,noun,entity
人,SUBSTANTIVES,noun,entity
个人,SUBSTANTIVES,noun,entity
人类,SUBSTANTIVES,noun,entity
任何人,SUBSTANTIVES,noun,entity
人们,SUBSTANTIVES,noun,entity
生命,SUBSTANTIVES,noun,entity
人物,SUBSTANTIVES,noun,entity
人士,SUBSTANTIVES,noun,entity
人格,SUBSTANTIVES,noun,entity
某事,SUBSTANTIVES,noun,entity
东西,SUBSTANTIVES,noun,entity
物,SUBSTANTIVES,noun,entity
事物,SUBSTANTIVES,noun,entity
物体,SUBSTANTIVES,noun,entity
物质,SUBSTANTIVES,noun,entity
事情,SUBSTANTIVES,noun,entity
任何事,SUBSTANTIVES,noun,entity
一切,SUBSTANTIVES,noun,entity
现象,SUBSTANTIVES,noun,entity
人们,SUBSTANTIVES,noun,entity
人群,SUBSTANTIVES,noun,entity
群众,SUBSTANTIVES,noun,entity
民众,SUBSTANTIVES,noun,entity
百姓,SUBSTANTIVES,noun,entity
大众,SUBSTANTIVES,noun,entity
社会,SUBSTANTIVES,noun,entity
人类,SUBSTANTIVES,noun,entity
公民,SUBSTANTIVES,noun,entity
国民,SUBSTANTIVES,noun,entity
身体,SUBSTANTIVES,noun,entity
肉体,SUBSTANTIVES,noun,entity
躯体,SUBSTANTIVES,noun,entity
体,SUBSTANTIVES,noun,entity
身躯,SUBSTANTIVES,noun,entity
形体,SUBSTANTIVES,noun,entity
体格,SUBSTANTIVES,noun,entity
物质,SUBSTANTIVES,noun,entity
生理,SUBSTANTIVES,noun,entity
解剖,SUBSTANTIVES,noun,entity
种类,RELATIONAL_SUBSTANTIVES,noun,relation
类型,RELATIONAL_SUBSTANTIVES,noun,relation
类别,RELATIONAL_SUBSTANTIVES,noun,relation
品种,RELATIONAL_SUBSTANTIVES,noun,relation
性质,RELATIONAL_SUBSTANTIVES,noun,relation
属,RELATIONAL_SUBSTANTIVES,noun,relation
科,RELATIONAL_SUBSTANTIVES,noun,relation
目,RELATIONAL_SUBSTANTIVES,noun,relation
分类,RELATIONAL_SUBSTANTIVES,noun,relation
族,RELATIONAL_SUBSTANTIVES,noun,relation
部分,RELATIONAL_SUBSTANTIVES,noun,relation
部件,RELATIONAL_SUBSTANTIVES,noun,relation
成分,RELATIONAL_SUBSTANTIVES,noun,relation
组成,RELATIONAL_SUBSTANTIVES,noun,relation
片段,RELATIONAL_SUBSTANTIVES,noun,relation
局部,RELATIONAL_SUBSTANTIVES,noun,relation
要素,RELATIONAL_SUBSTANTIVES,noun,relation
零件,RELATIONAL_SUBSTANTIVES,noun,relation
分,RELATIONAL_SUBSTANTIVES,noun,relation
段,RELATIONAL_SUBSTANTIVES,noun,relation
这,DETERMINERS,determiner,reference
这个,DETERMINERS,determiner,reference
此,DETERMINERS,determiner,reference
这些,DETERMINERS,determiner,reference
本,DETERMINERS,determiner,reference
当前,DETERMINERS,determiner,reference
眼前,DETERMINERS,determiner,reference
近处,DETERMINERS,determiner,reference
指示,DETERMINERS,determiner,reference
特定,DETERMINERS,determiner,reference
同样,DETERMINERS,determiner,reference
相同,DETERMINERS,determiner,reference
一样,DETERMINERS,determiner,reference
等同,DETERMINERS,determiner,reference
一致,DETERMINERS,determiner,reference
同一,DETERMINERS,determiner,reference
等价,DETERMINERS,determiner,reference
相等,DETERMINERS,determiner,reference
匹配,DETERMINERS,determiner,reference
恒定,DETERMINERS,determiner,reference
其他,DETERMINERS,determiner,reference
另外,DETERMINERS,determiner,reference
别的,DETERMINERS,determiner,reference
不同,DETERMINERS,determiner,reference
另一,DETERMINERS,determiner,reference
其余,DETERMINERS,determiner,reference
其它,DETERMINERS,determiner,reference
另类,DETERMINERS,determiner,reference
分开,DETERMINERS,determiner,reference
各种,DETERMINERS,determiner,reference
一,QUANTIFIERS,determiner,quantity
单一,QUANTIFIERS,determiner,quantity
唯一,QUANTIFIERS,determiner,quantity
独一,QUANTIFIERS,determiner,quantity
单个,QUANTIFIERS,determiner,quantity
个,QUANTIFIERS,determiner,quantity
一个,QUANTIFIERS,determiner,quantity
首,QUANTIFIERS,determiner,quantity
单独,QUANTIFIERS,determiner,quantity
孤独,QUANTIFIERS,determiner,quantity
二,QUANTIFIERS,determiner,quantity
两,QUANTIFIERS,determiner,quantity
双,QUANTIFIERS,determiner,quantity
对,QUANTIFIERS,determiner,quantity
两个,QUANTIFIERS,determiner,quantity
第二,QUANTIFIERS,determiner,quantity
二元,QUANTIFIERS,determiner,quantity
两次,QUANTIFIERS,determiner,quantity
成对,QUANTIFIERS,determiner,quantity
俩,QUANTIFIERS,determiner,quantity
一些,QUANTIFIERS,determiner,quantity
某些,QUANTIFIERS,determiner,quantity
几个,QUANTIFIERS,determiner,quantity
若干,QUANTIFIERS,determiner,quantity
部分,QUANTIFIERS,determiner,quantity
有的,QUANTIFIERS,determiner,quantity
某种,QUANTIFIERS,determiner,quantity
不定,QUANTIFIERS,determiner,quantity
数个,QUANTIFIERS,determiner,quantity
全部,QUANTIFIERS,determiner,quantity
所有,QUANTIFIERS,determiner,quantity
一切,QUANTIFIERS,determiner,quantity
每个,QUANTIFIERS,determiner,quantity
整个,QUANTIFIERS,determiner,quantity
