relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-071,opposite,hot,cold,热,冷,caliente,frío,antonym,pending,
NeurIPS-RA-072,opposite,big,small,大,小,grande,pequeño,antonym,pending,
NeurIPS-RA-073,opposite,tall,short,高,矮,alto,bajo,antonym,pending,
NeurIPS-RA-074,opposite,fast,slow,快,慢,rápido,lento,antonym,pending,
NeurIPS-RA-075,opposite,up,down,上,下,arriba,abajo,antonym,pending,
NeurIPS-RA-076,opposite,left,right,左,右,izquierda,derecha,antonym,pending,
NeurIPS-RA-077,opposite,light,dark,亮,暗,claro,oscuro,antonym,pending,
NeurIPS-RA-078,opposite,good,bad,好,坏,bueno,malo,antonym,pending,
NeurIPS-RA-079,opposite,young,old,年轻,年老,joven,viejo,antonym,pending,
NeurIPS-RA-080,opposite,strong,weak,强,弱,fuerte,débil,antonym,pending,
NeurIPS-RA-081,opposite,heavy,light,重,轻,pesado,ligero,antonym,pending,
NeurIPS-RA-082,opposite,thick,thin,厚,薄,grueso,delgado,antonym,pending,
NeurIPS-RA-083,opposite,wide,narrow,宽,窄,ancho,estrecho,antonym,pending,
NeurIPS-RA-084,opposite,deep,shallow,深,浅,profundo,superficial,antonym,pending,
NeurIPS-RA-085,opposite,hard,soft,硬,软,duro,blando,antonym,pending,
NeurIPS-RA-086,opposite,loud,quiet,响,静,ruidoso,silencioso,antonym,pending,
NeurIPS-RA-087,opposite,high,low,高,低,alto,bajo,antonym,pending,
NeurIPS-RA-088,opposite,rich,poor,富,穷,rico,pobre,antonym,pending,
NeurIPS-RA-089,opposite,clean,dirty,干净,脏,limpio,sucio,antonym,pending,
NeurIPS-RA-090,opposite,dry,wet,干,湿,seco,mojado,antonym,pending,
