english,chinese,spanish,german,turkish,human
one,一,uno,eins,bir,
two,二,dos,zwei,iki,
three,三,tres,drei,üç,
four,四,cuatro,vier,dört,
five,五,cinco,fünf,beş,
six,六,seis,sechs,altı,
ten,十,diez,zehn,on,
hundred,百,cien,hundert,yüz,
thousand,千,mil,tausend,bin,
million,百万,millón,Million,milyon,
first,第一,primero,erste,birinci,
second,第二,segundo,zweite,ikinci,
third,第三,tercero,dritte,üçüncü,
Monday,星期一,lunes,Montag,pazartesi,
Tuesday,星期二,martes,Dienstag,salı,
Wednesday,星期三,miércoles,Mittwoch,çarşamba,
January,一月,enero,Januar,ocak,
February,二月,febrero,Februar,şubat,
March,三月,marzo,März,mart,
morning,早上,mañana,Morgen,sabah,
afternoon,下午,tarde,Nachmittag,öğleden sonra,
evening,晚上,noche,Abend,akşam,
spring,春天,primavera,Frühling,ilkbahar,
summer,夏天,verano,Sommer,yaz,
autumn,秋天,otoño,Herbst,sonbahar,
yesterday,昨天,ayer,gestern,dün,
today,今天,hoy,heute,bugün,
tomorrow,明天,mañana,morgen,yarın,
seven,七,siete,sieben,yedi,
eight,八,ocho,acht,sekiz,
nine,九,nueve,neun,dokuz,
eleven,十一,once,elf,on bir,
twelve,十二,doce,zwölf,on iki,
thirteen,十三,trece,dreizehn,on üç,
fourteen,十四,catorce,vierzehn,on dört,
fourth,第四,cuarto,vierte,dördüncü,
fifth,第五,quinto,fünfte,beşinci,
sixth,第六,sexto,sechste,altıncı,
seventh,第七,séptimo,siebte,yedinci,
Thursday,星期四,jueves,Donnerstag,perşembe,
Friday,星期五,viernes,Freitag,cuma,
Saturday,星期六,sábado,Samstag,cumartesi,
Sunday,星期日,domingo,Sonntag,pazar,
April,四月,abril,April,nisan,
May,五月,mayo,Mai,mayıs,
June,六月,junio,Juni,haziran,
July,七月,julio,Juli,temmuz,
August,八月,agosto,August,ağustos,
September,九月,septiembre,September,eylül,
October,十月,octubre,Oktober,ekim,
November,十一月,noviembre,November,kasım,
December,十二月,diciembre,Dezember,aralık,
winter,冬天,invierno,Winter,kış,
billion,十亿,mil millones,Milliarde,milyar,
past,过去,pasado,Vergangenheit,geçmiş,
present,现在,presente,Gegenwart,şimdi,
future,未来,futuro,Zukunft,gelecek,
