english,chinese,spanish,human
bad,坏|糟糕,malo,
big,大,grande,
clean,干净|清洁,limpio,
cold,冷|寒冷,frío,
dark,黑暗|深色,oscuro,
deep,深,profundo|hondo,
dirty,脏|肮脏,sucio,
down,下|向下,abajo,
dry,干|干燥,seco,
fast,快|快速,rápido,
good,好,bueno,
hard,硬|困难,duro|difícil,
heavy,重,pesado,
high,高,alto,
hot,热|炎热,caliente|caluroso,
left,左,izquierda|izquierdo,
light,轻|光|明亮,ligero|luz|claro,
loud,响|吵闹,ruidoso|alto,
low,低,bajo,
narrow,窄,estrecho|angosto,
old,老|旧,viejo|antiguo,
poor,穷|贫穷,pobre,
quiet,安静|静,quieto|silencioso,
rich,富|富有,rico,
right,右|正确,derecha|derecho|correcto,
shallow,浅,poco profundo|superficial,
short,短|矮,corto|bajo,
slow,慢|缓慢,lento,
small,小,pequeño,
soft,软|柔软,suave|blando,
strong,强|强壮,fuerte,
tall,高,alto,
thick,厚|粗,grueso|espeso,
thin,薄|瘦,delgado|fino,
up,上|向上,arriba,
weak,弱|虚弱,débil,
wet,湿|潮湿,mojado|húmedo,
wide,宽|广,ancho|amplio,
young,年轻|幼小,joven,
