english,chinese,spanish,human
better,更好,mejor,
big,大,grande,
bigger,更大,más grande|mayor,
bright,明亮|聪明,brillante|inteligente,
brighter,更明亮|更聪明,más brillante,
cold,冷|寒冷,frío,
colder,更冷,más frío,
dark,黑暗|深色,oscuro,
darker,更黑暗|更深,más oscuro,
fast,快|快速,rápido,
faster,更快,más rápido,
good,好,bueno,
hot,热|炎热,caliente|caluroso,
hotter,更热,más caliente,
old,老|旧,viejo|antiguo,
older,更老|更旧,más viejo|mayor,
slow,慢|缓慢,lento,
slower,更慢,más lento,
small,小,pequeño,
smaller,更小,más pequeño|menor,
smart,聪明|智能,inteligente|listo,
smarter,更聪明,más inteligente,
strong,强|强壮,fuerte,
stronger,更强,más fuerte,
tall,高,alto,
taller,更高,más alto,
weak,弱|虚弱,débil,
weaker,更弱,más débil,
young,年轻|幼小,joven,
younger,更年轻,más joven|menor,
