english,chinese,spanish,human
actor,男演员|演员,actor,
apprentice,学徒,aprendiz,
assistant,助手|助理,asistente|ayudante,
captain,队长|船长|上尉,capitán,
celebrity,名人,celebridad|famoso,
child,孩子|儿童,niño|hijo,
citizen,公民|市民,ciudadano,
clerk,职员|文员,empleado|oficinista,
coach,教练,entrenador,
director,导演|主管,director,
employee,员工|雇员,empleado,
employer,雇主,empleador|patrón,
expert,专家,experto,
fan,粉丝|爱好者,aficionado|fanático,
follower,追随者|跟随者,seguidor,
general,将军|将领,general,
intern,实习生,pasante|interno,
judge,法官|裁判,juez,
leader,领导|领袖,líder,
lord,领主|勋爵,señor|lord,
manager,经理|管理者,gerente|director,
master,主人|大师,maestro|amo,
mayor,市长,alcalde,
novice,新手|初学者,novato|principiante,
parent,父母|家长,padre|madre,
parishioner,教区居民,feligrés,
player,球员|玩家,jugador,
president,总统|主席,presidente,
priest,牧师|神父,sacerdote|cura,
resident,居民,residente,
ruler,统治者|尺子,gobernante|regla,
sailor,水手|海员,marinero,
senator,参议员,senador,
servant,仆人|佣人,sirviente|criado,
soldier,士兵|军人,soldado,
student,学生,estudiante,
subject,臣民|主题,súbdito|sujeto,
supervisor,主管|监督,supervisor,
teacher,老师|教师,maestro|profesor,
voter,选民|投票者,votante|elector,
