english,chinese,spanish,french,german,russian,korean,arabic,category,difficulty
awkward,尴尬,incómodo,gênant,peinlich,неловкий,어색한,محرج,untranslatable,high
serendipity,机缘巧合,serendipia,sérendipité,glücklicher-Zufall,счастливая-случайность,우연한-행운,صدفة-سعيدة,untranslatable,high
nostalgia,怀旧,nostalgia,nostalgie,Nostalgie,ностальгия,향수,حنين,untranslatable,medium
schadenfreude,幸灾乐祸,schadenfreude,schadenfreude,Schadenfreude,злорадство,고소함,شماتة,untranslatable,high
wanderlust,旅行欲,pasión-por-viajar,soif-de-voyage,Wanderlust,страсть-к-путешествиям,여행욕,شغف-السفر,untranslatable,high
zeitgeist,时代精神,espíritu-de-época,esprit-du-temps,Zeitgeist,дух-времени,시대정신,روح-العصر,untranslatable,high
doppelganger,分身,doble,sosie,Doppelgänger,двойник,도플갱어,شبيه,untranslatable,medium
angst,焦虑,angustia,angoisse,Angst,тревога,불안,قلق-وجودي,untranslatable,high
kitsch,媚俗,cursi,kitsch,Kitsch,китч,키치,بذخ-رديء,untranslatable,high
gestalt,格式塔,gestalt,gestalt,Gestalt,гештальт,게슈탈트,شكل-كامل,untranslatable,high
yuanfen,缘分,destino-compartido,affinité-prédestinée,schicksalhafte-Verbindung,судьбоносная-связь,인연,قدر-مشترك,untranslatable,high
mianzi,面子,prestigio-social,face-sociale,soziales-Ansehen,социальная-репутация,체면,ماء-الوجه,untranslatable,high
guanxi,关系,conexiones,relations,Beziehungsnetz,связи,관계,علاقات,untranslatable,high
wu-wei,无为,no-acción,non-agir,Nicht-Handeln,недеяние,무위,عدم-الفعل,untranslatable,high
yin-yang,阴阳,yin-yang,yin-yang,Yin-Yang,инь-янь,음양,يين-يانغ,untranslatable,medium
saudade,乡愁,saudade,saudade,Saudade,саудаде,사우다지,شوق-حزين,untranslatable,high
sobremesa,餐后闲聊,sobremesa,après-repas,Tischrunde,послеобеденная-беседа,식사-후-담소,ما-بعد-الوجبة,untranslatable,high
duende,神韵,duende,duende,Duende,дуэнде,두엔데,روح-فنية,untranslatable,high
hygge,温馨,hygge,hygge,Hygge,хюгге,휘게,دفء,untranslatable,high
lagom,适度,lagom,lagom,Lagom,лагом,라곰,اعتدال,untranslatable,high
wabi-sabi,侘寂,wabi-sabi,wabi-sabi,Wabi-Sabi,ваби-саби,와비사비,جمال-النقص,untranslatable,high
komorebi,木漏れ日,luz-filtrada,lumière-filtrée,gefiltertes-Licht,фильтрованный-свет,나뭇잎-사이-햇빛,ضوء-مصفى,untranslatable,high
ikigai,生きがい,razón-de-ser,raison-d'être,Lebenssinn,смысл-жизни,이키가이,سبب-الوجود,untranslatable,high
mono-no-aware,物の哀れ,melancolía-fugaz,éphémère-mélancolie,flüchtige-Wehmut,преходящая-грусть,덧없는-슬픔,حزن-زائل,untranslatable,high
tsundoku,积读,acumular-libros,empiler-des-livres,Bücherstapel,накопление-книг,책-쌓기,تكديس-الكتب,untranslatable,high
han,恨,han,han,Han,хан,한,حقد-عميق,untranslatable,high
jeong,情,jeong,affection,Zuneigung,чонг,정,عاطفة,untranslatable,high
nunchi,눈치,percepción-social,perception-sociale,soziales-Gespür,социальная-чувствительность,눈치,حدس-اجتماعي,untranslatable,high
han-geul,한글,hangul,hangul,Hangeul,хангыль,한글,هانغول,untranslatable,low
tarof,客套,cortesía-ritual,politesse-rituelle,rituelle-Höflichkeit,ритуальная-вежливость,타로프,مجاملة-طقسية,untranslatable,high
inshallah,如果真主愿意,si-Dios-quiere,si-Dieu-veut,so-Gott-will,если-Бог-даст,인샬라,إن-شاء-الله,untranslatable,high
ubuntu,人道,ubuntu,ubuntu,Ubuntu,убунту,우분투,إنسانية,untranslatable,high
toska,тоска,melancolía-profunda,mélancolie-profonde,tiefe-Sehnsucht,тоска,토스카,كآبة-عميقة,untranslatable,high
mamihlapinatapai,心照不宣,comprensión-tácita,compréhension-tacite,stilles-Einverständnis,молчаливое-понимание,암묵적-이해,تفاهم-صامت,untranslatable,high
goya,戈雅,goya,goya,Goya,гоя,고야,غويا,untranslatable,high
uitwaaien,吹风散心,ventilar-la-mente,s'aérer-l'esprit,sich-den-Kopf-freipusten,проветрить-голову,바람-쐬기,تهوية-العقل,untranslatable,high
gezellig,惬意,acogedor,convivial,gemütlich,уютный,게젤리흐,مريح,untranslatable,high
bank-financial,银行,banco,banque,Bank,банк,은행,بنك,polysemous,medium
bank-river,河岸,orilla,rive,Ufer,берег,강둑,ضفة,polysemous,medium
spring-season,春天,primavera,printemps,Frühling,весна,봄,ربيع,polysemous,medium
spring-water,泉水,manantial,source,Quelle,источник,샘물,ينبوع,polysemous,medium
spring-coil,弹簧,resorte,ressort,Feder,пружина,스프링,نابض,polysemous,medium
light-illumination,光,luz,lumière,Licht,свет,빛,ضوء,polysemous,low
light-weight,轻的,ligero,léger,leicht,лёгкий,가벼운,خفيف,polysemous,low
fair-just,公平,justo,juste,gerecht,справедливый,공정한,عادل,polysemous,medium
fair-festival,集市,feria,foire,Messe,ярмарка,박람회,معرض,polysemous,medium
fair-pale,白皙,pálido,pâle,hell,светлый,하얀,فاتح,polysemous,medium
tear-cry,眼泪,lágrima,larme,Träne,слеза,눈물,دمعة,polysemous,low
tear-rip,撕裂,desgarro,déchirure,Riss,разрыв,찢음,تمزيق,polysemous,low
bow-bend,鞠躬,reverencia,révérence,Verbeugung,поклон,절,انحناء,polysemous,medium
bow-weapon,弓,arco,arc,Bogen,лук,활,قوس,polysemous,medium
bass-fish,鲈鱼,lubina,perche,Barsch,окунь,농어,سمك-القاروس,polysemous,medium
bass-music,低音,bajo,basse,Bass,бас,베이스,باس,polysemous,medium
lead-guide,引导,liderar,mener,führen,вести,이끌다,يقود,polysemous,low
lead-metal,铅,plomo,plomb,Blei,свинец,납,رصاص,polysemous,medium
minute-time,分钟,minuto,minute,Minute,минута,분,دقيقة,polysemous,low
minute-tiny,微小,diminuto,minuscule,winzig,крошечный,미세한,دقيق,polysemous,medium
desert-arid,沙漠,desierto,désert,Wüste,пустыня,사막,صحراء,polysemous,low
desert-abandon,抛弃,abandonar,déserter,verlassen,покидать,버리다,يهجر,polysemous,medium
scale-measure,秤,balanza,balance,Waage,весы,저울,ميزان,polysemous,medium
scale-fish,鱼鳞,escama,écaille,Schuppe,чешуя,비늘,قشرة,polysemous,medium
scale-climb,攀登,escalar,escalader,erklettern,взбираться,오르다,يتسلق,polysemous,medium
gift-english,礼物,regalo,cadeau,Geschenk,подарок,선물,هدية,false-friends,low
gift-german,毒药,veneno,poison,Gift,яд,독,سم,false-friends,high
actual-english,实际,real,réel,tatsächlich,фактический,실제의,فعلي,false-friends,low
actual-spanish,当前,actual,actuel,aktuell,текущий,현재의,حالي,false-friends,high
embarrassed-english,尴尬,avergonzado,gêné,verlegen,смущённый,당황한,محرج,false-friends,low
embarazada-spanish,怀孕,embarazada,enceinte,schwanger,беременная,임신한,حامل,false-friends,high
preservative-english,防腐剂,conservante,conservateur,Konservierungsmittel,консервант,보존제,مادة-حافظة,false-friends,low
preservativo-spanish,避孕套,preservativo,préservatif,Kondom,презерватив,콘돔,واقي-ذكري,false-friends,high
sensible-english,明智,sensato,sensé,vernünftig,разумный,현명한,معقول,false-friends,low
sensible-french,敏感,sensible,sensitive,empfindlich,чувствительный,민감한,حساس,false-friends,high
library-english,图书馆,biblioteca,bibliothèque,Bibliothek,библиотека,도서관,مكتبة,false-friends,low
libreria-spanish,书店,librería,librairie,Buchhandlung,книжный-магазин,서점,مكتبة-بيع,false-friends,high
eventually-english,最终,eventualmente,finalement,schließlich,в-конце-концов,결국,في-النهاية,false-friends,low
eventualmente-spanish,偶尔,eventualmente,éventuellement,möglicherweise,возможно,혹시,ربما,false-friends,high
constipated-english,便秘,estreñido,constipé,verstopft,запор,변비,مصاب-بالإمساك,false-friends,low
constipado-spanish,感冒,constipado,enrhumé,erkältet,простуженный,감기-걸린,مصاب-بالزكام,false-friends,high
sympathy-english,同情,simpatía,sympathie,Mitgefühl,сочувствие,동정,تعاطف,false-friends,low
simpatia-portuguese,友好,simpatia,amabilité,Freundlichkeit,дружелюбие,호감,ود,false-friends,medium
fabric-english,布料,tela,tissu,Stoff,ткань,직물,قماش,false-friends,low
fabrica-spanish,工厂,fábrica,usine,Fabrik,фабрика,공장,مصنع,false-friends,medium
rope-english,绳子,cuerda,corde,Seil,верёвка,밧줄,حبل,false-friends,low
ropa-spanish,衣服,ropa,vêtements,Kleidung,одежда,옷,ملابس,false-friends,medium
exit-english,出口,salida,sortie,Ausgang,выход,출구,مخرج,false-friends,low
exito-spanish,成功,éxito,succès,Erfolg,успех,성공,نجاح,false-friends,medium
parents-english,父母,padres,parents,Eltern,родители,부모,والدان,false-friends,low
parents-french,亲戚,parents,parientes,Verwandte,родственники,친척,أقارب,false-friends,medium
assist-english,帮助,ayudar,aider,helfen,помогать,돕다,يساعد,false-friends,low
assister-french,参加,assister,asistir,beiwohnen,присутствовать,참석하다,يحضر,false-friends,medium
