relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-036,occupation,actor,actress,演员,女演员,actor,actriz,Schauspieler,Schauspielerin,aktör,aktris,gendered_pair,pending,
NeurIPS-RA-037,occupation,waiter,waitress,服务员,女服务员,camarero,camarera,Kellner,Kellnerin,garson,garson,gendered_pair,pending,
NeurIPS-RA-038,occupation,host,hostess,主持人,女主持人,anfitrión,anfitriona,Gastgeber,Gastgeberin,sunucu,sunucu,gendered_pair,pending,
NeurIPS-RA-039,occupation,steward,stewardess,空乘,空姐,azafato,azafata,Steward,Stewardess,kabin görevlisi,hostes,gendered_pair,pending,
NeurIPS-RA-040,occupation,hero,heroine,英雄,女英雄,héroe,heroína,Held,Heldin,kahraman,kahraman,gendered_pair,pending,
NeurIPS-RA-041,occupation,author,authoress,作家,女作家,autor,autora,Autor,Autorin,yazar,yazar,gendered_pair,pending,
NeurIPS-RA-042,occupation,poet,poetess,诗人,女诗人,poeta,poetisa,Dichter,Dichterin,şair,şaire,gendered_pair,pending,
NeurIPS-RA-043,occupation,hunter,huntress,猎人,女猎人,cazador,cazadora,Jäger,Jägerin,avcı,avcı,gendered_pair,pending,
NeurIPS-RA-044,occupation,priest,priestess,祭司,女祭司,sacerdote,sacerdotisa,Priester,Priesterin,rahip,rahibe,gendered_pair,pending,
NeurIPS-RA-045,occupation,chairman,chairwoman,主席,女主席,presidente,presidenta,Vorsitzender,Vorsitzende,başkan,başkan,gendered_pair,pending,
NeurIPS-RA-046,occupation,policeman,policewoman,警察,女警察,policía,policía,Polizist,Polizistin,polis,polis,gendered_pair,pending,note: same form in Spanish
NeurIPS-RA-047,occupation,spokesman,spokeswoman,发言人,女发言人,portavoz,portavoz,Sprecher,Sprecherin,sözcü,sözcü,gendered_pair,pending,note: same form in Spanish
NeurIPS-RA-048,occupation,fireman,firewoman,消防员,女消防员,bombero,bombera,Feuerwehrmann,Feuerwehrfrau,itfaiyeci,itfaiyeci,gendered_pair,pending,
