english,chinese,spanish,human
anger,愤怒|生气,ira|enfado,
answer,答案|回答,respuesta,
betrayal,背叛,traición,
celebration,庆祝|庆典,celebración,
climate change,气候变化,cambio climático,
crime,犯罪|罪行,crimen|delito,
disease,疾病|病,enfermedad,
eating,吃|进食,comer,
escape,逃跑|逃脱,escape|fuga,
exercise,运动|锻炼,ejercicio,
fear,恐惧|害怕,miedo|temor,
fire,火|火灾,fuego|incendio,
fitness,健康|健身,aptitud física|fitness,
flood,洪水,inundación,
gratitude,感激|感恩,gratitud,
hunger,饥饿,hambre,
innovation,创新,innovación,
joke,笑话|玩笑,broma|chiste,
kindness,善良|仁慈,bondad|amabilidad,
knowledge,知识,conocimiento,
laughter,笑|笑声,risa,
peace,和平,paz,
plant,植物|种植,planta|plantar,
pollution,污染,contaminación,
practice,练习|实践,práctica,
progress,进步|进展,progreso|avance,
punishment,惩罚,castigo,
question,问题|提问,pregunta,
rain,雨|下雨,lluvia,
salary,工资|薪水,salario|sueldo,
scar,伤疤|疤痕,cicatriz,
seed,种子,semilla,
skill,技能|技巧,habilidad|destreza,
smoke,烟|抽烟,humo|fumar,
study,学习|研究,estudio|estudiar,
success,成功,éxito,
virus,病毒,virus,
war,战争,guerra,
work,工作|劳动,trabajo|trabajar,
wound,伤口|创伤,herida,
