english,chinese,spanish,german,turkish,human
employee,雇员,empleado,Angestellter,çalışan,
employer,雇主,empleador,Arbeitgeber,işveren,
student,学生,estudiante,Schüler,öğrenci,
teacher,老师,maestro,Lehrer,öğretmen,
apprentice,学徒,aprendiz,Lehrling,çırak,
master,师傅,maestro,Meister,usta,
soldier,士兵,soldado,Soldat,asker,
general,将军,general,General,general,
citizen,公民,ciudadano,Bürger,vatandaş,
president,总统,presidente,Präsident,cumhurbaşkanı,
follower,追随者,seguidor,Anhänger,takipçi,
leader,领导者,líder,Führer,lider,
assistant,助理,asistente,Assistent,asistan,
manager,经理,gerente,Manager,müdür,
player,球员,jugador,Spieler,oyuncu,
coach,教练,entrenador,Trainer,antrenör,
novice,新手,novato,Anfänger,acemi,
expert,专家,experto,Experte,uzman,
child,孩子,niño,Kind,çocuk,
parent,父母,padre,Elternteil,ebeveyn,
parishioner,教徒,feligrés,Gemeindemitglied,cemaat üyesi,
priest,牧师,sacerdote,Priester,rahip,
subject,臣民,súbdito,Untertan,tebaa,
ruler,统治者,gobernante,Herrscher,hükümdar,
servant,仆人,sirviente,Diener,hizmetçi,
lord,主人,señor,Herr,efendi,
intern,实习生,pasante,Praktikant,stajyer,
supervisor,主管,supervisor,Vorgesetzter,süpervizör,
clerk,书记员,secretario,Schreiber,katip,
judge,法官,juez,Richter,yargıç,
sailor,水手,marinero,Matrose,denizci,
captain,船长,capitán,Kapitän,kaptan,
actor,演员,actor,Schauspieler,aktör,
director,导演,director,Regisseur,yönetmen,
voter,选民,votante,Wähler,seçmen,
senator,参议员,senador,Senator,senatör,
resident,居民,residente,Einwohner,sakin,
mayor,市长,alcalde,Bürgermeister,belediye başkanı,
fan,粉丝,fanático,Fan,hayran,
celebrity,名人,celebridad,Prominenter,ünlü,
private,列兵,soldado raso,Gefreiter,er,
sergeant,中士,sargento,Feldwebel,çavuş,
lieutenant,中尉,teniente,Leutnant,teğmen,
colonel,上校,coronel,Oberst,albay,
worker,工人,trabajador,Arbeiter,işçi,
foreman,工头,capataz,Vorarbeiter,ustabaşı,
junior,初级,júnior,Junior,genç,
senior,高级,sénior,Senior,kıdemli,
trainee,学员,aprendiz,Auszubildender,kursiy,
mentor,导师,mentor,Mentor,mentor,
member,成员,miembro,Mitglied,üye,
chairman,主席,presidente,Vorsitzender,başkan,
disciple,弟子,discípulo,Schüler,mürit,
rookie,新人,novato,Neuling,çaylak,
veteran,老手,veterano,Veteran,emektar,
page,侍从,paje,Page,kılavuz,
knight,骑士,caballero,Ritter,şövalye,
squire,侍从骑士,escudero,Knappe,yardakçı,
peasant,农民,campesino,Bauer,köylü,
noble,贵族,noble,Adliger,soylu,
slave,奴隶,esclavo,Sklave,köle,
serf,农奴,siervo,Leibeigener,serf,
pupil,学生,pupilo,Schüler,öğrenci,
subordinate,下属,subordinado,Untergebener,ast,
superior,上司,superior,Vorgesetzter,üst,
recruit,新兵,recluta,Rekrut,acemi,
officer,军官,oficial,Offizier,subay,
deputy,副手,diputado,Stellvertreter,yardımcı,
sheriff,警长,sheriff,Sheriff,şerif,
acolyte,侍祭,acólito,Messdiener,mihraptar,
bishop,主教,obispo,Bischof,piskopos,
monk,僧侣,monje,Mönch,keşiş,
abbot,修道院院长,abad,Abt,başrahip,
deacon,执事,diácono,Diakon,diyakoz,
archbishop,大主教,arzobispo,Erzbischof,başpiskopos,
representative,代表,representante,Abgeordneter,temsilci,
magistrate,治安法官,magistrado,Magistrat,hakim,
attendant,助理,asistente,Pfleger,görevli,
physician,医生,médico,Arzt,hekim,
nurse,护士,enfermera,Krankenschwester,hemşire,
surgeon,外科医生,cirujano,Chirurg,cerrah,
waiter,服务员,camarero,Kellner,garson,
chef,厨师,chef,Chefkoch,şef,
crew,机组人员,tripulación,Besatzung,mürettebat,
pilot,飞行员,piloto,Pilot,pilot,
shopkeeper,店主,tendero,Ladenbesitzer,dükkancı,
merchant,商人,comerciante,Händler,tüccar,
laborer,劳工,obrero,Arbeiter,işçi,
contractor,承包商,contratista,Unternehmer,müteahhit,
analyst,分析师,analista,Analyst,analist,
executive,高管,ejecutivo,Führungskraft,yönetici,
