relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-001,family,husband,wife,丈夫,妻子,esposo,esposa,gendered_pair,pending,
NeurIPS-RA-002,family,father,mother,父亲,母亲,padre,madre,gendered_pair,pending,
NeurIPS-RA-003,family,son,daughter,儿子,女儿,hijo,hija,gendered_pair,pending,
NeurIPS-RA-004,family,brother,sister,兄弟,姐妹,hermano,hermana,gendered_pair,pending,
NeurIPS-RA-005,family,uncle,aunt,叔叔,阿姨,tío,tía,gendered_pair,pending,
NeurIPS-RA-006,family,grandfather,grandmother,祖父,祖母,abuelo,abuela,gendered_pair,pending,
NeurIPS-RA-007,family,nephew,niece,侄子,侄女,sobrino,sobrina,gendered_pair,pending,
NeurIPS-RA-008,family,grandson,granddaughter,孙子,孙女,nieto,nieta,gendered_pair,pending,
NeurIPS-RA-009,family,boy,girl,男孩,女孩,niño,niña,gendered_pair,pending,
NeurIPS-RA-010,family,man,woman,男人,女人,hombre,mujer,gendered_pair,pending,
NeurIPS-RA-011,family,gentleman,lady,绅士,女士,caballero,dama,gendered_pair,pending,
NeurIPS-RA-012,family,boyfriend,girlfriend,男朋友,女朋友,novio,novia,gendered_pair,pending,
NeurIPS-RA-013,family,bridegroom,bride,新郎,新娘,novio,novia,gendered_pair,pending,
NeurIPS-RA-014,family,widower,widow,鳏夫,寡妇,viudo,viuda,gendered_pair,pending,
NeurIPS-RA-015,family,godfather,godmother,教父,教母,padrino,madrina,gendered_pair,pending,
NeurIPS-RA-016,family,stepfather,stepmother,继父,继母,padrastro,madrastra,gendered_pair,pending,
NeurIPS-RA-017,family,father-in-law,mother-in-law,岳父,岳母,suegro,suegra,gendered_pair,pending,
NeurIPS-RA-018,family,son-in-law,daughter-in-law,女婿,儿媳,yerno,nuera,gendered_pair,pending,
NeurIPS-RA-019,family,landlord,landlady,房东,女房东,casero,casera,gendered_pair,pending,
NeurIPS-RA-020,family,bachelor,spinster,单身汉,老处女,soltero,soltera,gendered_pair,pending,
