sentence_id,sentence,validity,dish_name,cooking_technique,notes
1,Dreams eat colorless sleep because time tastes purple,invalid,Surrealist Soup,Synesthetic Scrambling,Mixing senses + impossible actions
2,Mathematics breathes 7 infinities inside equations because logic dances,questionable,Abstract Fusion,Conceptual Blending,Making abstractions tangible
3,Silence touches loud whispers gently everywhere because sound feels soft,questionable,Paradox Pasta,Contradiction Cooking,Opposite concepts unified
4,Yesterday visits tomorrow frequently at never because when is where,invalid,Temporal Tornado,Time-Twisting,Complete temporal breakdown
5,Gravity thinks heavy thoughts slowly downward because weight remembers falling,questionable,Physics Poetry,Anthropomorphic Alchemy,Giving forces consciousness
6,Words swallow their own meanings hungrily here because language eats itself,valid,Meta-Meal,Recursive Recipe,Self-referential but coherent
7,Blue numbers sing 3 colors loudly nowhere because synesthesia lives,questionable,Synesthetic Stew,Sense-Mixing Method,Cross-modal confusion
8,Darkness illuminates 2 shadows brightly inside light because opposite is same,questionable,Zen Ziti,Paradox Preparation,Eastern philosophy meets logic
9,Questions answer themselves repeatedly everywhere because knowing unknows,questionable,Epistemological Entrée,Knowledge Kneading,Philosophy of understanding
10,Love measures infinite heartbeats carefully forever because emotion calculates joy,questionable,Emotional Equation,Feeling + Math Fusion,Quantifying the unquantifiable
11,Mirrors reflect 1 truthfulness deeply inside surfaces because seeing sees itself,valid,Reflexive Risotto,Self-Awareness Sauce,Meta-cognition as cooking
12,Emptiness fills all nothingness completely here because void contains everything,questionable,Buddhist Bisque,Zen Zero-Point,Eastern emptiness paradox
13,Fear conquers brave courage daily at battlefields because weakness strengthens,questionable,Warrior Wonton,Emotional Combat,Psychological contradictions
14,Music paints 5 symphonies visually above because sound draws pictures,questionable,Artistic Appetizer,Cross-Media Mixing,Art form fusion
15,Memory forgets 2 remembrances slowly yesterday because past futures now,invalid,Temporal Tangle,Time-Memory Mash,Memory paradox + tense chaos
16,Happiness weighs 3 smiles heavily at scales because joy measures sadness,questionable,Emotional Economics,Feeling Quantification,Measuring the unmeasurable
17,Stars whisper ancient secrets quietly below because sky speaks earth,valid,Cosmic Casserole,Astronomical Anthropomorphism,Universe as conscious entity
18,Truth lies 7 honestly falsely everywhere because real is unreal,invalid,Honesty Hash,Truth-Lie Tornado,Logical contradiction cascade
19,Circles think square thoughts roundly inside geometry because shape has mind,questionable,Geometric Goulash,Mathematical Mentality,Giving geometry consciousness
20,Freedom imprisons wild liberty carefully at cages because escape captures,questionable,Liberty Lasagna,Freedom Paradox,Political philosophy puzzle
