word,domain,type,notes
der,articles_determiners,function,masculine_nominative
die,articles_determiners,function,feminine_nominative
das,articles_determiners,function,neuter_nominative
den,articles_determiners,function,masculine_accusative
dem,articles_determiners,function,dative
ein,articles_determiners,function,masculine_indefinite
eine,articles_determiners,function,feminine_indefinite
dieser,articles_determiners,function,demonstrative
jener,articles_determiners,function,demonstrative
in,prepositions,function,
an,prepositions,function,
auf,prepositions,function,
mit,prepositions,function,
von,prepositions,function,
zu,prepositions,function,
bei,prepositions,function,
nach,prepositions,function,
aus,prepositions,function,
über,prepositions,function,
unter,prepositions,function,
durch,prepositions,function,
für,prepositions,function,
ohne,prepositions,function,
gegen,prepositions,function,
zwischen,prepositions,function,
während,prepositions,function,
vor,prepositions,function,
hinter,prepositions,function,
und,conjunctions,function,
oder,conjunctions,function,
aber,conjunctions,function,
denn,conjunctions,function,
weil,conjunctions,function,
wenn,conjunctions,function,
als,conjunctions,function,
dass,conjunctions,function,
ob,conjunctions,function,
obwohl,conjunctions,function,
sondern,conjunctions,function,
ich,pronouns,function,
du,pronouns,function,
er,pronouns,function,
sie,pronouns,function,she
es,pronouns,function,
wir,pronouns,function,
ihr,pronouns,function,
sie,pronouns,function,they
wer,pronouns,function,
was,pronouns,function,
null,numbers,abstract,mathematical_alphabet
eins,numbers,abstract,mathematical_alphabet
zwei,numbers,abstract,mathematical_alphabet
drei,numbers,abstract,mathematical_alphabet
vier,numbers,abstract,mathematical_alphabet
fünf,numbers,abstract,mathematical_alphabet
sechs,numbers,abstract,mathematical_alphabet
sieben,numbers,abstract,mathematical_alphabet
acht,numbers,abstract,mathematical_alphabet
neun,numbers,abstract,mathematical_alphabet
zehn,numbers,abstract,mathematical_alphabet
elf,numbers,abstract,mathematical_alphabet
zwölf,numbers,abstract,mathematical_alphabet
zwanzig,numbers,abstract,mathematical_alphabet
hundert,numbers,abstract,mathematical_alphabet
rot,colors,abstract,perceptual_spectrum
orange,colors,abstract,perceptual_spectrum
gelb,colors,abstract,perceptual_spectrum
grün,colors,abstract,perceptual_spectrum
blau,colors,abstract,perceptual_spectrum
