word,domain,type
Haus,morphology,base_root
Häuser,grammar,plural_noun
Häuschen,grammar,diminutive_noun
häuslich,abstract,adjective_derivation
Haushalt,places,compound_noun
Haushaltsplan,objects,compound_noun
Hausfrau,people,compound_noun
Hausmann,people,compound_noun
Hausarbeit,activity,compound_noun
Hausaufgabe,activity,compound_noun
Hausbau,activity,compound_noun
Hausbesitzer,people,compound_noun
Hausdach,objects,compound_noun
Hausfassade,objects,compound_noun
Hausgarten,places,compound_noun
Hausgemeinschaft,people,compound_noun
Haushund,nature,compound_noun
Hauskatze,nature,compound_noun
Hausmaus,nature,compound_noun
Hausmeister,people,compound_noun
Hausnummer,objects,compound_noun
Hausordnung,abstract,compound_noun
Hausrat,objects,compound_noun
Hausschuh,objects,compound_noun
Haustier,nature,compound_noun
Haustür,objects,compound_noun
Hausverwalter,people,compound_noun
Hausverkauf,activity,compound_noun
Hauswand,objects,compound_noun
Hauswirt,people,compound_noun
Hauswirtschaft,abstract,compound_noun
Baumhaus,places,compound_noun
Blockhaus,places,compound_noun
Fachwerkhaus,places,compound_noun
Ferienhaus,places,compound_noun
Gasthaus,places,compound_noun
Glashaus,places,compound_noun
Hochhaus,places,compound_noun
Kaufhaus,places,compound_noun
Landhaus,places,compound_noun
Lagerhaus,places,compound_noun
Rathaus,places,compound_noun
Schulhaus,places,compound_noun
Spielhaus,places,compound_noun
Stadthaus,places,compound_noun
Treibhaus,places,compound_noun
Wohnhaus,places,compound_noun
Arbeit,morphology,base_root
arbeiten,activity,base_verb
Arbeiter,people,agent_noun
Arbeiterin,people,feminine_agent
arbeitend,grammar,present_participle
gearbeitet,grammar,past_participle
arbeitsam,abstract,adjective_derivation
arbeitslos,abstract,compound_adjective
Arbeitsamt,places,compound_noun
Arbeitsanzug,objects,compound_noun
Arbeitsbereich,places,compound_noun
Arbeitsbuch,objects,compound_noun
Arbeitserlaubnis,objects,compound_noun
Arbeitsessen,activity,compound_noun
Arbeitsfläche,places,compound_noun
Arbeitsgang,abstract,compound_noun
Arbeitsgruppe,people,compound_noun
Arbeitsheft,objects,compound_noun
Arbeitskleidung,objects,compound_noun
Arbeitskraft,people,compound_noun
Arbeitsmarkt,abstract,compound_noun
Arbeitsplatz,places,compound_noun
Arbeitsrecht,abstract,compound_noun
Arbeitsschutz,abstract,compound_noun
Arbeitsstelle,places,compound_noun
Arbeitszeit,time,compound_noun
Arbeitszimmer,places,compound_noun
Bearbeitung,activity,prefixed_noun
bearbeiten,activity,prefixed_verb
Mitarbeiter,people,compound_noun
Mitarbeiterin,people,feminine_compound
Teamarbeit,activity,compound_noun
Handarbeit,activity,compound_noun
Kopfarbeit,activity,compound_noun
Nachtarbeit,activity,compound_noun
Schichtarbeit,activity,compound_noun
Teilzeitarbeit,activity,compound_noun
Vollzeitarbeit,activity,compound_noun
Schwarzarbeit,activity,compound_noun
Heimarbeit,activity,compound_noun
Büroarbeit,activity,compound_noun
Feldarbeit,activity,compound_noun
Fabrikarbeit,activity,compound_noun
