relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-071,opposite,hot,cold,热,冷,caliente,frío,heiß,kalt,sıcak,soğuk,antonym,pending,
NeurIPS-RA-072,opposite,big,small,大,小,grande,pequeño,groß,klein,büyük,küçük,antonym,pending,
NeurIPS-RA-073,opposite,tall,short,高,矮,alto,bajo,groß,klein,uzun,kısa,antonym,pending,
NeurIPS-RA-074,opposite,fast,slow,快,慢,rápido,lento,schnell,langsam,hızlı,yavaş,antonym,pending,
NeurIPS-RA-075,opposite,up,down,上,下,arriba,abajo,oben,unten,yukarı,aşağı,antonym,pending,
NeurIPS-RA-076,opposite,left,right,左,右,izquierda,derecha,links,rechts,sol,sağ,antonym,pending,
NeurIPS-RA-077,opposite,light,dark,亮,暗,claro,oscuro,hell,dunkel,aydınlık,karanlık,antonym,pending,
NeurIPS-RA-078,opposite,good,bad,好,坏,bueno,malo,gut,schlecht,iyi,kötü,antonym,pending,
NeurIPS-RA-079,opposite,young,old,年轻,年老,joven,viejo,jung,alt,genç,yaşlı,antonym,pending,
NeurIPS-RA-080,opposite,strong,weak,强,弱,fuerte,débil,stark,schwach,güçlü,zayıf,antonym,pending,
NeurIPS-RA-081,opposite,heavy,light,重,轻,pesado,ligero,schwer,leicht,ağır,hafif,antonym,pending,
NeurIPS-RA-082,opposite,thick,thin,厚,薄,grueso,delgado,dick,dünn,kalın,ince,antonym,pending,
NeurIPS-RA-083,opposite,wide,narrow,宽,窄,ancho,estrecho,breit,schmal,geniş,dar,antonym,pending,
NeurIPS-RA-084,opposite,deep,shallow,深,浅,profundo,superficial,tief,seicht,derin,sığ,antonym,pending,
NeurIPS-RA-085,opposite,hard,soft,硬,软,duro,blando,hart,weich,sert,yumuşak,antonym,pending,
NeurIPS-RA-086,opposite,loud,quiet,响,静,ruidoso,silencioso,laut,leise,gürültülü,sessiz,antonym,pending,
