relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-091,comparative,good,better,好,更好,bueno,mejor,morphological,pending,
NeurIPS-RA-092,comparative,big,bigger,大,更大,grande,más grande,morphological,pending,
NeurIPS-RA-093,comparative,fast,faster,快,更快,rápido,más rápido,morphological,pending,
NeurIPS-RA-094,comparative,strong,stronger,强,更强,fuerte,más fuerte,morphological,pending,
NeurIPS-RA-095,comparative,smart,smarter,聪明,更聪明,inteligente,más inteligente,morphological,pending,
NeurIPS-RA-096,comparative,tall,taller,高,更高,alto,más alto,morphological,pending,
NeurIPS-RA-097,comparative,small,smaller,小,更小,pequeño,más pequeño,morphological,pending,
NeurIPS-RA-098,comparative,slow,slower,慢,更慢,lento,más lento,morphological,pending,
NeurIPS-RA-099,comparative,weak,weaker,弱,更弱,débil,más débil,morphological,pending,
NeurIPS-RA-100,comparative,young,younger,年轻,更年轻,joven,más joven,morphological,pending,
NeurIPS-RA-101,comparative,old,older,老,更老,viejo,más viejo,morphological,pending,
NeurIPS-RA-102,comparative,hot,hotter,热,更热,caliente,más caliente,morphological,pending,
NeurIPS-RA-103,comparative,cold,colder,冷,更冷,frío,más frío,morphological,pending,
NeurIPS-RA-104,comparative,bright,brighter,亮,更亮,brillante,más brillante,morphological,pending,
NeurIPS-RA-105,comparative,dark,darker,暗,更暗,oscuro,más oscuro,morphological,pending,
