relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-186,cause_effect,fire,smoke,火,烟,fuego,humo,physical_causation,pending,
NeurIPS-RA-187,cause_effect,rain,flood,雨,洪水,lluvia,inundación,natural_causation,pending,
NeurIPS-RA-188,cause_effect,study,knowledge,学习,知识,estudiar,conocimiento,cognitive_causation,pending,
NeurIPS-RA-189,cause_effect,practice,skill,练习,技能,práctica,habilidad,learning_causation,pending,
NeurIPS-RA-190,cause_effect,exercise,fitness,锻炼,健康,ejercicio,fitness,health_causation,pending,
NeurIPS-RA-191,cause_effect,seed,plant,种子,植物,semilla,planta,biological_causation,pending,
NeurIPS-RA-192,cause_effect,question,answer,问题,答案,pregunta,respuesta,logical_causation,pending,
NeurIPS-RA-193,cause_effect,crime,punishment,犯罪,惩罚,crimen,castigo,social_causation,pending,
NeurIPS-RA-194,cause_effect,wound,scar,伤口,疤痕,herida,cicatriz,temporal_causation,pending,
NeurIPS-RA-195,cause_effect,work,salary,工作,工资,trabajo,salario,economic_causation,pending,
NeurIPS-RA-196,cause_effect,virus,disease,病毒,疾病,virus,enfermedad,medical_causation,pending,
NeurIPS-RA-197,cause_effect,war,peace,战争,和平,guerra,paz,political_causation,pending,note: peace follows war
NeurIPS-RA-198,cause_effect,innovation,progress,创新,进步,innovación,progreso,developmental_causation,pending,
NeurIPS-RA-199,cause_effect,pollution,climate change,污染,气候变化,contaminación,cambio climático,environmental_causation,pending,
NeurIPS-RA-200,cause_effect,hunger,eating,饥饿,吃饭,hambre,comer,biological_response,pending,
NeurIPS-RA-201,cause_effect,fear,escape,恐惧,逃跑,miedo,escapar,emotional_response,pending,
NeurIPS-RA-202,cause_effect,joke,laughter,笑话,笑声,broma,risa,social_response,pending,
NeurIPS-RA-203,cause_effect,kindness,gratitude,善良,感激,amabilidad,gratitud,emotional_causation,pending,
NeurIPS-RA-204,cause_effect,betrayal,anger,背叛,愤怒,traición,ira,emotional_causation,pending,
NeurIPS-RA-205,cause_effect,success,celebration,成功,庆祝,éxito,celebración,social_causation,pending,
