relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-071,opposite,hot,cold,热,冷,caliente,frío,antonym,pending,
NeurIPS-RA-072,opposite,big,small,大,小,grande,pequeño,antonym,pending,
NeurIPS-RA-073,opposite,tall,short,高,矮,alto,bajo,antonym,pending,
NeurIPS-RA-074,opposite,fast,slow,快,慢,rápido,lento,antonym,pending,
NeurIPS-RA-075,opposite,up,down,上,下,arriba,abajo,antonym,pending,
NeurIPS-RA-076,opposite,left,right,左,右,izquierda,derecha,antonym,pending,
NeurIPS-RA-077,opposite,light,dark,亮,暗,claro,oscuro,antonym,pending,
NeurIPS-RA-078,opposite,good,bad,好,坏,bueno,malo,antonym,pending,
NeurIPS-RA-079,opposite,young,old,年轻,年老,joven,viejo,antonym,pending,
NeurIPS-RA-080,opposite,strong,weak,强,弱,fuerte,débil,antonym,pending,
NeurIPS-RA-081,opposite,heavy,light,重,轻,pesado,ligero,antonym,pending,
NeurIPS-RA-082,opposite,thick,thin,厚,薄,grueso,delgado,antonym,pending,
NeurIPS-RA-083,opposite,wide,narrow,宽,窄,ancho,estrecho,antonym,pending,
NeurIPS-RA-084,opposite,deep,shallow,深,浅,profundo,superficial,antonym,pending,
NeurIPS-RA-085,opposite,hard,soft,硬,软,duro,blando,antonym,pending,
NeurIPS-RA-086,opposite,loud,quiet,响,静,ruidoso,silencioso,antonym,pending,
NeurIPS-RA-087,opposite,high,low,高,低,alto,bajo,antonym,pending,
NeurIPS-RA-088,opposite,rich,poor,富,穷,rico,pobre,antonym,pending,
NeurIPS-RA-089,opposite,clean,dirty,干净,脏,limpio,sucio,antonym,pending,
NeurIPS-RA-090,opposite,dry,wet,干,湿,seco,mojado,antonym,pending,
NeurIPS-RA-091,opposite,long,short,长,短,largo,corto,antonym,pending,
NeurIPS-RA-092,opposite,smooth,rough,光滑,粗糙,suave,áspero,antonym,pending,
NeurIPS-RA-093,opposite,sharp,dull,锋利,钝,afilado,desafilado,antonym,pending,
NeurIPS-RA-094,opposite,sweet,bitter,甜,苦,dulce,amargo,antonym,pending,
NeurIPS-RA-095,opposite,happy,sad,快乐,悲伤,feliz,triste,antonym,pending,
NeurIPS-RA-096,opposite,early,late,早,晚,temprano,tarde,antonym,pending,
NeurIPS-RA-097,opposite,near,far,近,远,cerca,lejos,antonym,pending,
NeurIPS-RA-098,opposite,empty,full,空,满,vacío,lleno,antonym,pending,
NeurIPS-RA-099,opposite,open,closed,开,关,abierto,cerrado,antonym,pending,
NeurIPS-RA-100,opposite,front,back,前,后,frente,atrás,antonym,pending,
NeurIPS-RA-101,opposite,inside,outside,里,外,dentro,fuera,antonym,pending,
NeurIPS-RA-102,opposite,win,lose,赢,输,ganar,perder,antonym,pending,
NeurIPS-RA-103,opposite,love,hate,爱,恨,amor,odio,antonym,pending,
NeurIPS-RA-104,opposite,begin,end,开始,结束,comenzar,terminar,antonym,pending,
NeurIPS-RA-105,opposite,first,last,第一,最后,primero,último,antonym,pending,
NeurIPS-RA-106,opposite,entrance,exit,入口,出口,entrada,salida,antonym,pending,
NeurIPS-RA-107,opposite,accept,reject,接受,拒绝,aceptar,rechazar,antonym,pending,
NeurIPS-RA-108,opposite,attack,defend,攻击,防守,atacar,defender,antonym,pending,
NeurIPS-RA-109,opposite,build,destroy,建造,破坏,construir,destruir,antonym,pending,
NeurIPS-RA-110,opposite,buy,sell,买,卖,comprar,vender,antonym,pending,
NeurIPS-RA-111,opposite,create,destroy,创造,毁灭,crear,destruir,antonym,pending,
NeurIPS-RA-112,opposite,alive,dead,活,死,vivo,muerto,antonym,pending,
NeurIPS-RA-113,opposite,light,heavy,轻,重,ligero,pesado,antonym,pending,
NeurIPS-RA-114,opposite,increase,decrease,增加,减少,aumentar,disminuir,antonym,pending,
NeurIPS-RA-115,opposite,expand,contract,扩张,收缩,expandir,contraer,antonym,pending,
NeurIPS-RA-116,opposite,rise,fall,上升,下降,subir,bajar,antonym,pending,
NeurIPS-RA-117,opposite,enter,exit,进入,退出,entrar,salir,antonym,pending,
NeurIPS-RA-118,opposite,push,pull,推,拉,empujar,jalar,antonym,pending,
NeurIPS-RA-119,opposite,send,receive,发送,接收,enviar,recibir,antonym,pending,
NeurIPS-RA-120,opposite,give,take,给,拿,dar,tomar,antonym,pending,
