relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,word1_de,word2_de,word1_tr,word2_tr,relation_type,verified,notes
NeurIPS-RA-001,family,husband,wife,丈夫,妻子,esposo,esposa,Ehemann,Ehefrau,koca,karı,gendered_pair,pending,
NeurIPS-RA-002,family,father,mother,父亲,母亲,padre,madre,Vater,Mutter,baba,anne,gendered_pair,pending,
NeurIPS-RA-003,family,son,daughter,儿子,女儿,hijo,hija,Sohn,Tochter,oğul,kız,gendered_pair,pending,
NeurIPS-RA-004,family,brother,sister,兄弟,姐妹,hermano,hermana,Bruder,Schwester,erkek kardeş,kız kardeş,gendered_pair,pending,
NeurIPS-RA-005,family,uncle,aunt,叔叔,阿姨,tío,tía,Onkel,Tante,amca,teyze,gendered_pair,pending,
NeurIPS-RA-006,family,grandfather,grandmother,祖父,祖母,abuelo,abuela,Großvater,Großmutter,büyükbaba,büyükanne,gendered_pair,pending,
NeurIPS-RA-007,family,nephew,niece,侄子,侄女,sobrino,sobrina,Neffe,Nichte,yeğen,yeğen,gendered_pair,pending,Turkish uses same word
NeurIPS-RA-008,family,grandson,granddaughter,孙子,孙女,nieto,nieta,Enkel,Enkelin,torun,torun,gendered_pair,pending,Turkish uses same word
NeurIPS-RA-009,family,boy,girl,男孩,女孩,niño,niña,Junge,Mädchen,erkek çocuk,kız çocuk,gendered_pair,pending,
NeurIPS-RA-010,family,man,woman,男人,女人,hombre,mujer,Mann,Frau,erkek,kadın,gendered_pair,pending,
NeurIPS-RA-011,family,gentleman,lady,绅士,女士,caballero,dama,Herr,Dame,beyefendi,hanımefendi,gendered_pair,pending,
NeurIPS-RA-012,family,boyfriend,girlfriend,男朋友,女朋友,novio,novia,Freund,Freundin,erkek arkadaş,kız arkadaş,gendered_pair,pending,
NeurIPS-RA-013,family,bridegroom,bride,新郎,新娘,novio,novia,Bräutigam,Braut,damat,gelin,gendered_pair,pending,
NeurIPS-RA-014,family,prince,princess,王子,公主,príncipe,princesa,Prinz,Prinzessin,prens,prenses,gendered_pair,pending,
NeurIPS-RA-015,family,king,queen,国王,女王,rey,reina,König,Königin,kral,kraliçe,gendered_pair,pending,
NeurIPS-RA-016,family,stepfather,stepmother,继父,继母,padrastro,madrastra,Stiefvater,Stiefmutter,üvey baba,üvey anne,gendered_pair,pending,
