english,chinese,spanish,german,turkish,human
fire,火,fuego,Feuer,ateş,
smoke,烟,humo,Rauch,duman,
rain,雨,lluvia,Regen,yağmur,
flood,洪水,inundación,Überschwemmung,sel,
study,学习,estudiar,Studium,öğrenmek,
knowledge,知识,conocimiento,Wissen,bilgi,
practice,练习,práctica,Übung,pratik,
skill,技能,habilidad,Fähigkeit,beceri,
exercise,锻炼,ejercicio,Übung,egzersiz,
fitness,健康,fitness,Fitness,kondisyon,
seed,种子,semilla,Samen,tohum,
plant,植物,planta,Pflanze,bitki,
question,问题,pregunta,Frage,soru,
answer,答案,respuesta,Antwort,cevap,
crime,犯罪,crimen,Verbrechen,suç,
punishment,惩罚,castigo,Strafe,ceza,
wound,伤口,herida,Wunde,yara,
scar,疤痕,cicatriz,Narbe,yara izi,
work,工作,trabajo,Arbeit,iş,
salary,工资,salario,Gehalt,maaş,
virus,病毒,virus,Virus,virüs,
disease,疾病,enfermedad,Krankheit,hastalık,
war,战争,guerra,Krieg,savaş,
peace,和平,paz,Frieden,barış,
innovation,创新,innovación,Innovation,yenilik,
progress,进步,progreso,Fortschritt,ilerleme,
pollution,污染,contaminación,Verschmutzung,kirlilik,
climate change,气候变化,cambio climático,Klimawandel,iklim değişikliği,
hunger,饥饿,hambre,Hunger,açlık,
eating,吃饭,comer,Essen,yemek,
fear,恐惧,miedo,Angst,korku,
escape,逃跑,escapar,Flucht,kaçış,
joke,笑话,broma,Witz,şaka,
laughter,笑声,risa,Lachen,kahkaha,
kindness,善良,amabilidad,Freundlichkeit,nezaket,
gratitude,感激,gratitud,Dankbarkeit,şükran,
betrayal,背叛,traición,Verrat,ihanet,
anger,愤怒,ira,Wut,öfke,
success,成功,éxito,Erfolg,başarı,
celebration,庆祝,celebración,Feier,kutlama,
friction,摩擦,fricción,Reibung,sürtünme,
heat,热,calor,Wärme,ısı,
earthquake,地震,terremoto,Erdbeben,deprem,
tsunami,海啸,tsunami,Tsunami,tsunami,
drought,干旱,sequía,Dürre,kuraklık,
famine,饥荒,hambruna,Hungersnot,kıtlık,
storm,风暴,tormenta,Sturm,fırtına,
damage,破坏,daño,Schaden,hasar,
lightning,闪电,relámpago,Blitz,şimşek,
thunder,雷声,trueno,Donner,gök gürültüsü,
effort,努力,esfuerzo,Anstrengung,çaba,
achievement,成就,logro,Leistung,başarı,
training,训练,entrenamiento,Training,eğitim,
expertise,专业知识,pericia,Expertise,uzmanlık,
reading,阅读,lectura,Lesen,okuma,
literacy,识字,alfabetización,Lesefähigkeit,okuryazarlık,
exposure,暴露,exposición,Exposition,maruziyet,
immunity,免疫,inmunidad,Immunität,bağışıklık,
infection,感染,infección,Infektion,enfeksiyon,
fever,发烧,fiebre,Fieber,ateş,
stress,压力,estrés,Stress,stres,
illness,疾病,enfermedad,Krankheit,hastalık,
insult,侮辱,insulto,Beleidigung,hakaret,
conflict,冲突,conflicto,Konflikt,çatışma,
cooperation,合作,cooperación,Zusammenarbeit,işbirliği,
harmony,和谐,armonía,Harmonie,uyum,
competition,竞争,competencia,Wettbewerb,rekabet,
improvement,进步,mejora,Verbesserung,gelişim,
investment,投资,inversión,Investition,yatırım,
profit,利润,ganancia,Gewinn,kâr,
demand,需求,demanda,Nachfrage,talep,
price,价格,precio,Preis,fiyat,
inflation,通货膨胀,inflación,Inflation,enflasyon,
poverty,贫困,pobreza,Armut,yoksulluk,
education,教育,educación,Bildung,eğitim,
employment,就业,empleo,Beschäftigung,istihdam,
overeating,暴饮暴食,comer en exceso,Überessen,aşırı yemek,
obesity,肥胖,obesidad,Fettleibigkeit,obezite,
deforestation,森林砍伐,deforestación,Abholzung,ormansızlaşma,
erosion,侵蚀,erosión,Erosion,erozyon,
smoking,吸烟,fumar,Rauchen,sigara,
cancer,癌症,cáncer,Krebs,kanser,
negligence,疏忽,negligencia,Fahrlässigkeit,ihmal,
accident,事故,accidente,Unfall,kaza,
delay,延误,retraso,Verzögerung,gecikme,
frustration,沮丧,frustración,Frustration,hayal kırıklığı,
praise,表扬,elogio,Lob,övgü,
motivation,动力,motivación,Motivation,motivasyon,
criticism,批评,crítica,Kritik,eleştiri,
catalyst,催化剂,catalizador,Katalysator,katalizör,
reaction,反应,reacción,Reaktion,reaksiyon,
expansion,膨胀,expansión,Ausdehnung,genişleme,
pressure,压力,presión,Druck,basınç,
deformation,变形,deformación,Verformung,deformasyon,
mutation,突变,mutación,Mutation,mutasyon,
evolution,进化,evolución,Evolution,evrim,
supply,供应,suministro,Angebot,arz,
abundance,丰富,abundancia,Fülle,bolluk,
