relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-001,family,husband,wife,丈夫,妻子,esposo,esposa,gendered_pair,pending,
NeurIPS-RA-002,family,father,mother,父亲,母亲,padre,madre,gendered_pair,pending,
NeurIPS-RA-003,family,son,daughter,儿子,女儿,hijo,hija,gendered_pair,pending,
NeurIPS-RA-004,family,brother,sister,兄弟,姐妹,hermano,hermana,gendered_pair,pending,
NeurIPS-RA-005,family,uncle,aunt,叔叔,阿姨,tío,tía,gendered_pair,pending,
NeurIPS-RA-006,family,grandfather,grandmother,祖父,祖母,abuelo,abuela,gendered_pair,pending,
NeurIPS-RA-007,family,nephew,niece,侄子,侄女,sobrino,sobrina,gendered_pair,pending,
NeurIPS-RA-008,family,grandson,granddaughter,孙子,孙女,nieto,nieta,gendered_pair,pending,
NeurIPS-RA-009,family,boy,girl,男孩,女孩,niño,niña,gendered_pair,pending,
NeurIPS-RA-010,family,man,woman,男人,女人,hombre,mujer,gendered_pair,pending,
NeurIPS-RA-011,family,gentleman,lady,绅士,女士,caballero,dama,gendered_pair,pending,
NeurIPS-RA-012,family,boyfriend,girlfriend,男朋友,女朋友,novio,novia,gendered_pair,pending,
NeurIPS-RA-013,family,bridegroom,bride,新郎,新娘,novio,novia,gendered_pair,pending,
NeurIPS-RA-014,family,prince,princess,王子,公主,príncipe,princesa,gendered_pair,pending,
NeurIPS-RA-015,family,king,queen,国王,女王,rey,reina,gendered_pair,pending,
NeurIPS-RA-016,family,stepfather,stepmother,继父,继母,padrastro,madrastra,gendered_pair,pending,
NeurIPS-RA-017,family,father-in-law,mother-in-law,岳父,岳母,suegro,suegra,gendered_pair,pending,
NeurIPS-RA-018,family,son-in-law,daughter-in-law,女婿,儿媳,yerno,nuera,gendered_pair,pending,
NeurIPS-RA-019,family,landlord,landlady,房东,女房东,casero,casera,gendered_pair,pending,
NeurIPS-RA-020,family,bachelor,spinster,单身汉,老处女,soltero,soltera,gendered_pair,pending,
NeurIPS-RA-021,family,great-grandfather,great-grandmother,曾祖父,曾祖母,bisabuelo,bisabuela,gendered_pair,pending,
NeurIPS-RA-022,family,stepbrother,stepsister,继兄弟,继姐妹,hermanastro,hermanastra,gendered_pair,pending,
NeurIPS-RA-023,family,brother-in-law,sister-in-law,姐夫,嫂子,cuñado,cuñada,gendered_pair,pending,
NeurIPS-RA-024,family,male cousin,female cousin,表兄弟,表姐妹,primo,prima,gendered_pair,pending,
NeurIPS-RA-025,family,great-grandson,great-granddaughter,曾孙,曾孙女,bisnieto,bisnieta,gendered_pair,pending,
NeurIPS-RA-026,family,great-uncle,great-aunt,叔公,姨婆,tío abuelo,tía abuela,gendered_pair,pending,
NeurIPS-RA-027,family,great-nephew,great-niece,侄孙,侄孙女,sobrino nieto,sobrina nieta,gendered_pair,pending,
NeurIPS-RA-028,family,godfather,godmother,教父,教母,padrino,madrina,gendered_pair,pending,
NeurIPS-RA-029,family,godson,goddaughter,教子,教女,ahijado,ahijada,gendered_pair,pending,
NeurIPS-RA-030,family,widower,widow,鳏夫,寡妇,viudo,viuda,gendered_pair,pending,
NeurIPS-RA-031,family,great-great-grandfather,great-great-grandmother,高祖父,高祖母,tatarabuelo,tatarabuela,gendered_pair,pending,
NeurIPS-RA-032,family,half-brother,half-sister,同父异母兄弟,同父异母姐妹,medio hermano,media hermana,gendered_pair,pending,
NeurIPS-RA-033,family,fiancé,fiancée,未婚夫,未婚妻,prometido,prometida,gendered_pair,pending,
NeurIPS-RA-034,family,stepson,stepdaughter,继子,继女,hijastro,hijastra,gendered_pair,pending,
NeurIPS-RA-035,family,grandson-in-law,granddaughter-in-law,孙女婿,孙媳妇,nieto político,nieta política,gendered_pair,pending,
NeurIPS-RA-036,family,twin brother,twin sister,双胞胎兄弟,双胞胎姐妹,hermano gemelo,hermana gemela,gendered_pair,pending,
NeurIPS-RA-037,family,patriarch,matriarch,族长,女族长,patriarca,matriarca,gendered_pair,pending,
NeurIPS-RA-038,family,host,hostess,男主人,女主人,anfitrión,anfitriona,gendered_pair,pending,
NeurIPS-RA-039,family,waiter,waitress,男服务员,女服务员,camarero,camarera,gendered_pair,pending,
NeurIPS-RA-040,family,actor,actress,男演员,女演员,actor,actriz,gendered_pair,pending,
NeurIPS-RA-041,family,headmaster,headmistress,男校长,女校长,director,directora,gendered_pair,pending,
NeurIPS-RA-042,family,salesman,saleswoman,男销售员,女销售员,vendedor,vendedora,gendered_pair,pending,
NeurIPS-RA-043,family,author,authoress,男作家,女作家,autor,autora,gendered_pair,pending,
NeurIPS-RA-044,family,poet,poetess,男诗人,女诗人,poeta,poetisa,gendered_pair,pending,
NeurIPS-RA-045,family,heir,heiress,继承人,女继承人,heredero,heredera,gendered_pair,pending,
NeurIPS-RA-046,family,usher,usherette,男引座员,女引座员,acomodador,acomodadora,gendered_pair,pending,
NeurIPS-RA-047,family,postman,postwoman,邮递员,女邮递员,cartero,cartera,gendered_pair,pending,
NeurIPS-RA-048,family,tailor,seamstress,裁缝,女裁缝,sastre,costurera,gendered_pair,pending,
NeurIPS-RA-049,family,shepherd,shepherdess,牧羊人,牧羊女,pastor,pastora,gendered_pair,pending,
NeurIPS-RA-050,family,wizard,witch,男巫,女巫,mago,bruja,gendered_pair,pending,
