english,chinese,spanish,french,german,russian,korean,arabic
red,红色,rojo,rouge,rot,красный,빨간색,أحمر
blue,蓝色,azul,bleu,blau,синий,파란색,أزرق
green,绿色,verde,vert,grün,зелёный,초록색,أخضر
yellow,黄色,amarillo,jaune,gelb,жёлтый,노란색,أصفر
orange,橙色,naranja,orange,orange,оранжевый,주황색,برتقالي
purple,紫色,morado,violet,lila,фиолетовый,보라색,بنفسجي
pink,粉色,rosa,rose,rosa,розовый,분홍색,وردي
brown,棕色,marrón,marron,braun,коричневый,갈색,بني
black,黑色,negro,noir,schwarz,чёрный,검은색,أسود
white,白色,blanco,blanc,weiß,белый,흰색,أبيض
gray,灰色,gris,gris,grau,серый,회색,رمادي
circle,圆形,círculo,cercle,Kreis,круг,원,دائرة
square,正方形,cuadrado,carré,Quadrat,квадрат,사각형,مربع
triangle,三角形,triángulo,triangle,Dreieck,треугольник,삼각형,مثلث
sphere,球体,esfera,sphère,Kugel,сфера,구,كرة
cube,立方体,cubo,cube,Würfel,куб,정육면체,مكعب
point,点,punto,point,Punkt,точка,점,نقطة
line,线,línea,ligne,Linie,линия,선,خط
corner,角落,esquina,coin,Ecke,угол,모서리,زاوية
edge,边,borde,bord,Kante,край,가장자리,حافة
center,中心,centro,centre,Zentrum,центр,중심,مركز
surface,表面,superficie,surface,Oberfläche,поверхность,표면,سطح
dog,狗,perro,chien,Hund,собака,개,كلب
cat,猫,gato,chat,Katze,кошка,고양이,قطة
bird,鸟,pájaro,oiseau,Vogel,птица,새,طائر
fish,鱼,pez,poisson,Fisch,рыба,물고기,سمكة
horse,马,caballo,cheval,Pferd,лошадь,말,حصان
cow,牛,vaca,vache,Kuh,корова,소,بقرة
sheep,羊,oveja,mouton,Schaf,овца,양,خروف
pig,猪,cerdo,cochon,Schwein,свинья,돼지,خنزير
chicken,鸡,pollo,poulet,Huhn,курица,닭,دجاجة
rabbit,兔子,conejo,lapin,Kaninchen,кролик,토끼,أرنب
tiger,老虎,tigre,tigre,Tiger,тигр,호랑이,نمر
lion,狮子,león,lion,Löwe,лев,사자,أسد
elephant,大象,elefante,éléphant,Elefant,слон,코끼리,فيل
mouse,老鼠,ratón,souris,Maus,мышь,쥐,فأر
head,头,cabeza,tête,Kopf,голова,머리,رأس
hand,手,mano,main,Hand,рука,손,يد
foot,脚,pie,pied,Fuß,нога,발,قدم
eye,眼睛,ojo,œil,Auge,глаз,눈,عين
nose,鼻子,nariz,nez,Nase,нос,코,أنف
mouth,嘴,boca,bouche,Mund,рот,입,فم
ear,耳朵,oreja,oreille,Ohr,ухо,귀,أذن
arm,胳膊,brazo,bras,Arm,рука,팔,ذراع
leg,腿,pierna,jambe,Bein,нога,다리,ساق
heart,心脏,corazón,cœur,Herz,сердце,심장,قلب
brain,大脑,cerebro,cerveau,Gehirn,мозг,뇌,دماغ
stomach,胃,estómago,estomac,Magen,желудок,위,معدة
mother,母亲,madre,mère,Mutter,мать,어머니,أم
father,父亲,padre,père,Vater,отец,아버지,أب
brother,兄弟,hermano,frère,Bruder,брат,형|동생,أخ
sister,姐妹,hermana,sœur,Schwester,сестра,언니|누나|동생,أخت
son,儿子,hijo,fils,Sohn,сын,아들,ابن
daughter,女儿,hija,fille,Tochter,дочь,딸,ابنة
grandmother,奶奶,abuela,grand-mère,Großmutter,бабушка,할머니,جدة
grandfather,爷爷,abuelo,grand-père,Großvater,дедушка,할아버지,جد
uncle,叔叔,tío,oncle,Onkel,дядя,삼촌|아저씨,عم
aunt,阿姨,tía,tante,Tante,тётя,이모|고모,عمة
cousin,表兄弟,primo,cousin,Cousin,двоюродный брат|двоюродная сестра,사촌,ابن عم
friend,朋友,amigo,ami,Freund,друг,친구,صديق
neighbor,邻居,vecino,voisin,Nachbar,сосед,이웃,جار
morning,早上,mañana,matin,Morgen,утро,아침,صباح
afternoon,下午,tarde,après-midi,Nachmittag,день,오후,بعد الظهر
evening,晚上,tarde,soir,Abend,вечер,저녁,مساء
night,夜晚,noche,nuit,Nacht,ночь,밤,ليل
day,天,día,jour,Tag,день,하루|날,يوم
week,星期,semana,semaine,Woche,неделя,주,أسبوع
month,月,mes,mois,Monat,месяц,달|월,شهر
year,年,año,année,Jahr,год,년,سنة
hour,小时,hora,heure,Stunde,час,시간,ساعة
minute,分钟,minuto,minute,Minute,минута,분,دقيقة
second,秒,segundo,seconde,Sekunde,секунда,초,ثانية
past,过去,pasado,passé,Vergangenheit,прошлое,과거,ماضي
present,现在,presente,présent,Gegenwart,настоящее,현재,حاضر
future,未来,futuro,futur,Zukunft,будущее,미래,مستقبل
apple,苹果,manzana,pomme,Apfel,яблоко,사과,تفاح
banana,香蕉,plátano,banane,Banane,банан,바나나,موز
bread,面包,pan,pain,Brot,хлеб,빵,خبز
milk,牛奶,leche,lait,Milch,молоко,우유,حليب
water,水,agua,eau,Wasser,вода,물,ماء
coffee,咖啡,café,café,Kaffee,кофе,커피,قهوة
tea,茶,té,thé,Tee,чай,차,شاي
rice,米饭,arroz,riz,Reis,рис,쌀|밥,أرز
meat,肉,carne,viande,Fleisch,мясо,고기,لحم
vegetable,蔬菜,verdura,légume,Gemüse,овощ,채소,خضار
fruit,水果,fruta,fruit,Obst,фрукт,과일,فاكهة
cheese,奶酪,queso,fromage,Käse,сыр,치즈,جبن
table,桌子,mesa,table,Tisch,стол,테이블|탁자,طاولة
chair,椅子,silla,chaise,Stuhl,стул,의자,كرسي
book,书,libro,livre,Buch,книга,책,كتاب
pen,笔,bolígrafo,stylo,Stift,ручка,펜,قلم
computer,电脑,computadora,ordinateur,Computer,компьютер,컴퓨터,كمبيوتر
phone,电话,teléfono,téléphone,Telefon,телефон,전화,هاتف
car,汽车,coche,voiture,Auto,машина,자동차,سيارة
house,房子,casa,maison,Haus,дом,집,بيت
door,门,puerta,porte,Tür,дверь,문,باب
window,窗户,ventana,fenêtre,Fenster,окно,창문,نافذة
key,钥匙,llave,clé,Schlüssel,ключ,열쇠,مفتاح
knife,刀,cuchillo,couteau,Messer,нож,칼,سكين
plate,盘子,plato,assiette,Teller,тарелка,접시,طبق
cup,杯子,taza,tasse,Tasse,чашка,컵,كوب
love,爱,amor,amour,Liebe,любовь,사랑,حب
