english,chinese,spanish,german,turkish,human
bull,公牛,toro,Bulle,boğa,
cow,母牛,vaca,Kuh,inek,
rooster,公鸡,gallo,Hahn,horoz,
hen,母鸡,gallina,Henne,tavuk,
stallion,公马,semental,Hengst,aygır,
mare,母马,yegua,Stute,kısrak,
ram,公羊,carnero,Widder,koç,
ewe,母羊,oveja,Schaf,koyun,
drake,公鸭,pato,Enterich,erkek ördek,
duck,母鸭,pata,Ente,ördek,
gander,公鹅,ganso,Gänserich,erkek kaz,
goose,母鹅,gansa,Gans,kaz,
lion,公狮,león,Löwe,aslan,
lioness,母狮,leona,Löwin,dişi aslan,
tiger,公虎,tigre,Tiger,kaplan,
tigress,母虎,tigresa,Tigerin,dişi kaplan,
buck,公鹿,ciervo,Bock,geyik,
doe,母鹿,cierva,Ricke,dişi geyik,
boar,公猪,jabalí,Eber,erkek domuz,
sow,母猪,jabalina,Sau,dişi domuz,
dog,公狗,perro,Rüde,erkek köpek,
bitch,母狗,perra,Hündin,dişi köpek,
tom,公猫,gato,Kater,erkek kedi,
cat,母猫,gata,Katze,dişi kedi,
billy,公山羊,macho cabrío,Ziegenbock,teke,
nanny,母山羊,cabra,Ziege,keçi,
colt,小公马,potro,Hengstfohlen,tay,
filly,小母马,potra,Stutfohlen,dişi tay,
peacock,雄孔雀,pavo real,Pfau,tavus kuşu,
peahen,雌孔雀,pava real,Pfauhenne,dişi tavus kuşu,
fox,公狐,zorro,Fuchs,tilki,
vixen,母狐,zorra,Füchsin,dişi tilki,
wolf,公狼,lobo,Wolf,kurt,
she-wolf,母狼,loba,Wölfin,dişi kurt,
bear,公熊,oso,Bär,ayı,
sow bear,母熊,osa,Bärin,dişi ayı,
elephant bull,公象,elefante macho,Elefantenbulle,fil,
cow elephant,母象,elefanta,Elefantenkuh,dişi fil,
giraffe bull,公长颈鹿,jirafa macho,Giraffenbulle,zürafa,
cow giraffe,母长颈鹿,jirafa hembra,Giraffenkuh,dişi zürafa,
zebra stallion,公斑马,cebra macho,Zebrahengst,zebra,
zebra mare,母斑马,cebra hembra,Zebrastute,dişi zebra,
leopard,公豹,leopardo,Leopard,leopar,
leopardess,母豹,leopardo hembra,Leopardin,dişi leopar,
jaguar,公美洲豹,jaguar,Jaguar,jaguar,
jaguaress,母美洲豹,jaguara,Jaguarin,dişi jaguar,
lynx,公猞猁,lince,Luchs,vaşak,
lynx female,母猞猁,lince hembra,Luchsin,dişi vaşak,
coyote,公郊狼,coyote,Kojote,çakal,
female coyote,母郊狼,coyota,Kojotin,dişi çakal,
otter dog,公水獭,nutria macho,Fischotterrüde,su samuru,
otter bitch,母水獭,nutria hembra,Fischotterfähe,dişi su samuru,
rhinoceros bull,公犀牛,rinoceronte macho,Nashornbulle,gergedan,
cow rhinoceros,母犀牛,rinoceronte hembra,Nashornkuh,dişi gergedan,
hippopotamus bull,公河马,hipopótamo macho,Nilpferdbulle,su aygırı,
cow hippo,母河马,hipopótamo hembra,Nilpferdkuh,dişi su aygırı,
kangaroo buck,公袋鼠,canguro macho,Kängurubock,kanguru,
kangaroo doe,母袋鼠,canguro hembra,Känguruweibchen,dişi kanguru,
wallaby buck,公沙袋鼠,wallaby macho,Wallabybock,kaya kangurusu,
wallaby doe,母沙袋鼠,wallaby hembra,Wallabyweibchen,dişi kaya kangurusu,
