word,domain,type
work,morphology,base_root
worker,people,agent_derivation
working,grammar,present_participle
worked,grammar,past_participle
workable,abstract,ability_adjective
workbook,objects,compound_noun
workday,time,compound_noun
workfare,society,compound_noun
workflow,abstract,compound_noun
workforce,people,compound_noun
workgroup,people,compound_noun
workhouse,places,compound_noun
working-class,society,compound_adjective
workload,abstract,compound_noun
workman,people,compound_noun
workmanship,abstract,skill_noun
workmate,people,compound_noun
workout,activity,compound_noun
workplace,places,compound_noun
workroom,places,compound_noun
workshop,places,compound_noun
workstation,objects,compound_noun
# worktop,objects,compound_noun
workwear,objects,compound_noun
light,morphology,base_root
lighter,grammar,comparative_adjective
lightest,grammar,superlative_adjective
lighting,objects,gerund_noun
lighted,grammar,past_participle
lightness,abstract,state_noun
lightweight,abstract,compound_adjective
lighthearted,abstract,compound_adjective
lighthouse,places,compound_noun
lightbulb,objects,compound_noun
lightening,nature,gerund_noun
lightning,nature,compound_noun
lightroom,places,compound_noun
lightshow,activity,compound_noun
lightwave,science,compound_noun
lightwork,activity,compound_noun
lightyear,science,compound_noun
enlighten,abstract,prefixed_verb
enlightened,abstract,past_participle
enlightenment,abstract,abstract_noun
enlightening,abstract,present_participle
sunlight,nature,compound_noun
moonlight,nature,compound_noun
starlight,nature,compound_noun
daylight,nature,compound_noun
candlelight,objects,compound_noun
firelight,nature,compound_noun
lamplight,objects,compound_noun
spotlight,objects,compound_noun
flashlight,objects,compound_noun
headlight,objects,compound_noun
streetlight,objects,compound_noun
nightlight,objects,compound_noun
backlight,objects,compound_noun
highlight,abstract,compound_verb
highlighter,objects,compound_noun
delighted,abstract,prefixed_adjective
delightful,abstract,prefixed_adjective
