english,chinese,spanish,human
actor,男演员|演员,actor,
actress,女演员,actriz,
author,作者|作家,autor|autora,
authoress,女作家,autora,
businessman,商人|企业家,empresario|hombre de negocios,
businesswoman,女商人|女企业家,empresaria|mujer de negocios,
chairman,主席|董事长,presidente,
chairwoman,女主席|女董事长,presidenta,
congressman,国会议员,congresista,
congresswoman,女国会议员,congresista,
fireman,消防员,bombero,
firewoman,女消防员,bombera,
headmaster,校长,director,
headmistress,女校长,directora,
hero,英雄|男主角,héroe,
heroine,女英雄|女主角,heroína,
host,主人|主持人,anfitrión|presentador,
hostess,女主人|女主持人,anfitriona|presentadora,
hunter,猎人,cazador,
huntress,女猎人,cazadora,
mailman,邮递员,cartero,
mailwoman,女邮递员,cartera,
poet,诗人,poeta,
poetess,女诗人,poetisa,
policeman,警察,policía,
policewoman,女警察,policía,
priest,牧师|神父,sacerdote|cura,
priestess,女祭司,sacerdotisa,
salesman,销售员|推销员,vendedor,
saleswoman,女销售员|女推销员,vendedora,
shepherd,牧羊人,pastor,
shepherdess,女牧羊人,pastora,
sorcerer,男巫师|术士,hechicero|brujo,
sorceress,女巫|女术士,hechicera|bruja,
spokesman,发言人,portavoz,
spokeswoman,女发言人,portavoz,
steward,管家|乘务员,mayordomo|auxiliar,
stewardess,空姐|女乘务员,azafata|auxiliar,
waiter,服务员|侍者,camarero|mesero,
waitress,女服务员,camarera|mesera,
