english,chinese,spanish,german,turkish,human
hot,热,caliente,heiß,sıcak,
cold,冷,frío,kalt,soğuk,
big,大,grande,groß,büyük,
small,小,pequeño,klein,küçük,
tall,高,alto,groß,uzun,
short,矮,bajo,klein,kısa,
fast,快,rápido,schnell,hızlı,
slow,慢,lento,langsam,yavaş,
up,上,arriba,oben,yukarı,
down,下,abajo,unten,aşağı,
left,左,izquierda,links,sol,
right,右,derecha,rechts,sağ,
light,亮,claro,hell,aydınlık,
dark,暗,oscuro,dunkel,karanlık,
good,好,bueno,gut,iyi,
bad,坏,malo,schlecht,kötü,
young,年轻,joven,jung,genç,
old,年老,viejo,alt,yaşlı,
strong,强,fuerte,stark,güçlü,
weak,弱,débil,schwach,zayıf,
heavy,重,pesado,schwer,ağır,
thick,厚,grueso,dick,kalın,
thin,薄,delgado,dünn,ince,
wide,宽,ancho,breit,geniş,
narrow,窄,estrecho,schmal,dar,
deep,深,profundo,tief,derin,
shallow,浅,superficial,seicht,sığ,
hard,硬,duro,hart,sert,
soft,软,blando,weich,yumuşak,
loud,响,ruidoso,laut,gürültülü,
quiet,静,silencioso,leise,sessiz,
high,高,alto,hoch,yüksek,
low,低,bajo,niedrig,alçak,
rich,富,rico,reich,zengin,
poor,穷,pobre,arm,fakir,
clean,干净,limpio,sauber,temiz,
dirty,脏,sucio,schmutzig,kirli,
dry,干,seco,trocken,kuru,
wet,湿,mojado,nass,ıslak,
long,长,largo,lang,uzun,
smooth,光滑,suave,glatt,pürüzsüz,
rough,粗糙,áspero,rau,pürüzlü,
sharp,锋利,afilado,scharf,keskin,
dull,钝,desafilado,stumpf,kör,
sweet,甜,dulce,süß,tatlı,
bitter,苦,amargo,bitter,acı,
happy,快乐,feliz,glücklich,mutlu,
sad,悲伤,triste,traurig,üzgün,
early,早,temprano,früh,erken,
late,晚,tarde,spät,geç,
near,近,cerca,nah,yakın,
far,远,lejos,fern,uzak,
empty,空,vacío,leer,boş,
full,满,lleno,voll,dolu,
open,开,abierto,offen,açık,
closed,关,cerrado,geschlossen,kapalı,
front,前,frente,vorne,ön,
back,后,atrás,hinten,arka,
inside,里,dentro,innen,içeri,
outside,外,fuera,außen,dışarı,
win,赢,ganar,gewinnen,kazanmak,
lose,输,perder,verlieren,kaybetmek,
love,爱,amor,Liebe,sevgi,
hate,恨,odio,Hass,nefret,
begin,开始,comenzar,beginnen,başlamak,
end,结束,terminar,enden,bitmek,
first,第一,primero,erste,ilk,
last,最后,último,letzte,son,
entrance,入口,entrada,Eingang,giriş,
exit,出口,salida,Ausgang,çıkış,
accept,接受,aceptar,akzeptieren,kabul etmek,
reject,拒绝,rechazar,ablehnen,reddetmek,
attack,攻击,atacar,angreifen,saldırmak,
defend,防守,defender,verteidigen,savunmak,
build,建造,construir,bauen,inşa etmek,
destroy,破坏,destruir,zerstören,yıkmak,
buy,买,comprar,kaufen,satın almak,
sell,卖,vender,verkaufen,satmak,
create,创造,crear,erschaffen,yaratmak,
alive,活,vivo,lebendig,canlı,
dead,死,muerto,tot,ölü,
increase,增加,aumentar,erhöhen,artırmak,
decrease,减少,disminuir,verringern,azaltmak,
expand,扩张,expandir,expandieren,genişlemek,
contract,收缩,contraer,kontrahieren,büzülmek,
rise,上升,subir,steigen,yükselmek,
fall,下降,bajar,fallen,düşmek,
enter,进入,entrar,eintreten,girmek,
push,推,empujar,schieben,itmek,
pull,拉,jalar,ziehen,çekmek,
send,发送,enviar,senden,göndermek,
receive,接收,recibir,empfangen,almak,
give,给,dar,geben,vermek,
take,拿,tomar,nehmen,almak,
