english,chinese,spanish,german,turkish,human
husband,丈夫,esposo,Ehemann,koca,
wife,妻子,esposa,Ehefrau,karı,
father,父亲,padre,Vater,baba,
mother,母亲,madre,Mutter,anne,
son,儿子,hijo,Sohn,oğul,
daughter,女儿,hija,Tochter,kız,
brother,兄弟,hermano,Bruder,erkek kardeş,
sister,姐妹,hermana,Schwester,kız kardeş,
uncle,叔叔,tío,Onkel,amca,
aunt,阿姨,tía,Tante,teyze,
grandfather,祖父,abuelo,Großvater,büyükbaba,
grandmother,祖母,abuela,Großmutter,büyükanne,
nephew,侄子,sobrino,Neffe,yeğen,
niece,侄女,sobrina,Nichte,yeğen,
grandson,孙子,nieto,Enkel,torun,
granddaughter,孙女,nieta,Enkelin,torun,
boy,男孩,niño,Junge,erkek çocuk,
girl,女孩,niña,Mädchen,kız çocuk,
man,男人,hombre,Mann,erkek,
woman,女人,mujer,Frau,kadın,
gentleman,绅士,caballero,Herr,beyefendi,
lady,女士,dama,Dame,hanımefendi,
boyfriend,男朋友,novio,Freund,erkek arkadaş,
girlfriend,女朋友,novia,Freundin,kız arkadaş,
bridegroom,新郎,novio,Bräutigam,damat,
bride,新娘,novia,Braut,gelin,
prince,王子,príncipe,Prinz,prens,
princess,公主,princesa,Prinzessin,prenses,
king,国王,rey,König,kral,
queen,女王,reina,Königin,kraliçe,
stepfather,继父,padrastro,Stiefvater,üvey baba,
stepmother,继母,madrastra,Stiefmutter,üvey anne,
father-in-law,岳父,suegro,Schwiegervater,kayınbaba,
mother-in-law,岳母,suegra,Schwiegermutter,kaynana,
son-in-law,女婿,yerno,Schwiegersohn,damat,
daughter-in-law,儿媳,nuera,Schwiegertochter,gelin,
landlord,房东,casero,Hausherr,ev sahibi,
landlady,女房东,casera,Hausherrin,ev sahibesi,
bachelor,单身汉,soltero,Junggeselle,bekâr,
spinster,老处女,soltera,Junggesellin,bekâr,
great-grandfather,曾祖父,bisabuelo,Urgroßvater,büyük büyükbaba,
great-grandmother,曾祖母,bisabuela,Urgroßmutter,büyük büyükanne,
stepbrother,继兄弟,hermanastro,Stiefbruder,üvey erkek kardeş,
stepsister,继姐妹,hermanastra,Stiefschwester,üvey kız kardeş,
brother-in-law,姐夫,cuñado,Schwager,kayınbirader,
sister-in-law,嫂子,cuñada,Schwägerin,görümce,
male cousin,表兄弟,primo,Cousin,erkek kuzen,
female cousin,表姐妹,prima,Cousine,kız kuzen,
great-grandson,曾孙,bisnieto,Urenkel,büyük torun,
great-granddaughter,曾孙女,bisnieta,Urenkelin,büyük torun,
great-uncle,叔公,tío abuelo,Großonkel,büyük amca,
great-aunt,姨婆,tía abuela,Großtante,büyük teyze,
great-nephew,侄孙,sobrino nieto,Großneffe,torun yeğen,
great-niece,侄孙女,sobrina nieta,Großnichte,torun yeğen,
godfather,教父,padrino,Pate,vaftiz babası,
godmother,教母,madrina,Patin,vaftiz annesi,
godson,教子,ahijado,Patensohn,vaftiz oğlu,
goddaughter,教女,ahijada,Patentochter,vaftiz kızı,
widower,鳏夫,viudo,Witwer,dul erkek,
widow,寡妇,viuda,Witwe,dul kadın,
great-great-grandfather,高祖父,tatarabuelo,Ururgroßvater,şöbükbaba,
great-great-grandmother,高祖母,tatarabuela,Ururgroßmutter,şöbükanne,
half-brother,同父异母兄弟,medio hermano,Halbbruder,üvey kardeş,
half-sister,同父异母姐妹,media hermana,Halbschwester,üvey kız kardeş,
fiancé,未婚夫,prometido,Verlobter,nişanlı,
fiancée,未婚妻,prometida,Verlobte,nişanlı,
stepson,继子,hijastro,Stiefsohn,üvey oğul,
stepdaughter,继女,hijastra,Stieftochter,üvey kız,
grandson-in-law,孙女婿,nieto político,Enkelschwiegersohn,torun damadı,
granddaughter-in-law,孙媳妇,nieta política,Enkelschwiegertochter,torun gelini,
twin brother,双胞胎兄弟,hermano gemelo,Zwillingsbruder,ikiz erkek kardeş,
twin sister,双胞胎姐妹,hermana gemela,Zwillingsschwester,ikiz kız kardeş,
patriarch,族长,patriarca,Patriarch,ata,
matriarch,女族长,matriarca,Matriarchin,ana,
host,男主人,anfitrión,Gastgeber,ev sahibi,
hostess,女主人,anfitriona,Gastgeberin,ev sahibesi,
waiter,男服务员,camarero,Kellner,garson,
waitress,女服务员,camarera,Kellnerin,garson,
actor,男演员,actor,Schauspieler,aktör,
actress,女演员,actriz,Schauspielerin,aktris,
headmaster,男校长,director,Schulleiter,müdür,
headmistress,女校长,directora,Schulleiterin,müdire,
salesman,男销售员,vendedor,Verkäufer,satıcı,
saleswoman,女销售员,vendedora,Verkäuferin,satıcı,
author,男作家,autor,Autor,yazar,
authoress,女作家,autora,Autorin,yazar,
poet,男诗人,poeta,Dichter,şair,
poetess,女诗人,poetisa,Dichterin,şaire,
heir,继承人,heredero,Erbe,varis,
heiress,女继承人,heredera,Erbin,varis,
usher,男引座员,acomodador,Platzanweiser,görevli,
usherette,女引座员,acomodadora,Platzanweiserin,görevli,
postman,邮递员,cartero,Postbote,postacı,
postwoman,女邮递员,cartera,Postbotin,postacı,
tailor,裁缝,sastre,Schneider,terzi,
seamstress,女裁缝,costurera,Schneiderin,terzi,
shepherd,牧羊人,pastor,Schäfer,çoban,
shepherdess,牧羊女,pastora,Schäferin,çoban,
wizard,男巫,mago,Zauberer,büyücü,
witch,女巫,bruja,Hexe,cadı,
