word,domain,type,note
1인칭,SUBSTANTIVES,noun,entity
자기,SUBSTANTIVES,noun,entity
스스로,SUBSTANTIVES,noun,entity
나의,SUBSTANTIVES,noun,entity
수신자,SUBSTANTIVES,noun,entity
너희,SUBSTANTIVES,noun,entity
여러분,SUBSTANTIVES,noun,entity
개체,SUBSTANTIVES,noun,entity
주체,SUBSTANTIVES,noun,entity
인류,SUBSTANTIVES,noun,entity
사람들,SUBSTANTIVES,noun,entity
인간존재,SUBSTANTIVES,noun,entity
실체,SUBSTANTIVES,noun,entity
존재,SUBSTANTIVES,noun,entity
대상,SUBSTANTIVES,noun,entity
객체,SUBSTANTIVES,noun,entity
물건,SUBSTANTIVES,noun,entity
군중,SUBSTANTIVES,noun,entity
시민,SUBSTANTIVES,noun,entity
계통,RELATIONAL_SUBSTANTIVES,noun,relation
선량한,EVALUATORS,adjective,evaluation
미덕,EVALUATORS,adjective,evaluation
불충분한,EVALUATORS,adjective,evaluation
규모,DESCRIPTORS,adjective,property
인지,MENTAL_PREDICATES,verb,cognition
정신,MENTAL_PREDICATES,verb,cognition
마음,MENTAL_PREDICATES,verb,cognition
관념,MENTAL_PREDICATES,verb,cognition
의견,MENTAL_PREDICATES,verb,cognition
견해,MENTAL_PREDICATES,verb,cognition
판단,MENTAL_PREDICATES,verb,cognition
이해,MENTAL_PREDICATES,verb,cognition
인식,MENTAL_PREDICATES,verb,cognition
숙고,MENTAL_PREDICATES,verb,cognition
명상,MENTAL_PREDICATES,verb,cognition
사유,MENTAL_PREDICATES,verb,cognition
생각하다,MENTAL_PREDICATES,verb,cognition
인지,MENTAL_PREDICATES,verb,cognition
감지,MENTAL_PREDICATES,verb,cognition
확인,MENTAL_PREDICATES,verb,cognition
숙지,MENTAL_PREDICATES,verb,cognition
인지하다,MENTAL_PREDICATES,verb,cognition
목적,MENTAL_PREDICATES,verb,cognition
추구,MENTAL_PREDICATES,verb,cognition
요구,MENTAL_PREDICATES,verb,cognition
의도,MENTAL_PREDICATES,verb,cognition
정서,MENTAL_PREDICATES,verb,cognition
시선,MENTAL_PREDICATES,verb,cognition
청력,MENTAL_PREDICATES,verb,cognition
언어,SPEECH,verb,communication
행위,ACTIONS_EVENTS_MOVEMENT,verb,action
가다,ACTIONS_EVENTS_MOVEMENT,verb,action
