relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-146,part_whole,finger,hand,手指,手,dedo,mano,body_part,pending,
NeurIPS-RA-147,part_whole,hand,arm,手,手臂,mano,brazo,body_part,pending,
NeurIPS-RA-148,part_whole,toe,foot,脚趾,脚,dedo del pie,pie,body_part,pending,
NeurIPS-RA-149,part_whole,foot,leg,脚,腿,pie,pierna,body_part,pending,
NeurIPS-RA-150,part_whole,leaf,tree,叶子,树,hoja,árbol,botanical_part,pending,
NeurIPS-RA-151,part_whole,branch,tree,树枝,树,rama,árbol,botanical_part,pending,
NeurIPS-RA-152,part_whole,petal,flower,花瓣,花,pétalo,flor,botanical_part,pending,
NeurIPS-RA-153,part_whole,seed,fruit,种子,水果,semilla,fruta,botanical_part,pending,
NeurIPS-RA-154,part_whole,wheel,car,轮子,汽车,rueda,coche,mechanical_part,pending,
NeurIPS-RA-155,part_whole,engine,car,发动机,汽车,motor,coche,mechanical_part,pending,
NeurIPS-RA-156,part_whole,page,book,页,书,página,libro,document_part,pending,
NeurIPS-RA-157,part_whole,chapter,book,章节,书,capítulo,libro,document_part,pending,
NeurIPS-RA-158,part_whole,word,sentence,词,句子,palabra,oración,linguistic_part,pending,
NeurIPS-RA-159,part_whole,sentence,paragraph,句子,段落,oración,párrafo,linguistic_part,pending,
NeurIPS-RA-160,part_whole,room,house,房间,房子,habitación,casa,architectural_part,pending,
NeurIPS-RA-161,part_whole,window,house,窗户,房子,ventana,casa,architectural_part,pending,
NeurIPS-RA-162,part_whole,key,piano,琴键,钢琴,tecla,piano,instrument_part,pending,
NeurIPS-RA-163,part_whole,string,guitar,弦,吉他,cuerda,guitarra,instrument_part,pending,
NeurIPS-RA-164,part_whole,cell,organism,细胞,生物,célula,organismo,biological_part,pending,
NeurIPS-RA-165,part_whole,atom,molecule,原子,分子,átomo,molécula,chemical_part,pending,
