english,chinese,spanish,human
arm,手臂|臂,brazo,
atom,原子,átomo,
book,书|书籍,libro,
branch,树枝|分支,rama,
car,汽车|车,coche|auto|carro,
cell,细胞|单元,célula|celda,
chapter,章|章节,capítulo,
engine,引擎|发动机,motor,
finger,手指,dedo,
flower,花,flor,
foot,脚|英尺,pie,
fruit,水果|果实,fruta,
guitar,吉他,guitarra,
hand,手,mano,
house,房子|住宅,casa,
key,钥匙|键|关键,llave|clave,
leaf,叶子|树叶,hoja,
leg,腿,pierna,
molecule,分子,molécula,
organism,生物|有机体,organismo,
page,页|页面,página,
paragraph,段落,párrafo,
petal,花瓣,pétalo,
piano,钢琴,piano,
room,房间|室,habitación|cuarto,
seed,种子,semilla,
sentence,句子,oración|frase,
string,弦|字符串,cuerda|cadena,
toe,脚趾,dedo del pie,
tree,树,árbol,
wheel,轮子|车轮,rueda,
window,窗户|窗口,ventana,
word,词|单词,palabra,
