chinese,english,german
# Control dataset for semantic-affinity calibration,,
# German column contains identical English translations (SA should be 0),,
一,one|unity,one|unity
乙,second|twist,second|twist
二,two|pair,two|pair
人,person|human,person|human
刀,knife|blade,knife|blade
匕,spoon|dagger,spoon|dagger
卜,divination|fortune,divination|fortune
又,again|hand,again|hand
儿,legs|child,legs|child
八,eight|divide,eight|divide
入,enter|inside,enter|inside
十,ten|complete,ten|complete
厂,cliff|factory,cliff|factory
力,strength|power,strength|power
几,small table,small table
乂,cross|multiply,cross|multiply
丁,nail|adult,nail|adult
七,seven,seven
乃,then|therefore,then|therefore
九,nine,nine
了,complete|finish,complete|finish
刁,cunning|sly,cunning|sly
口,mouth|opening,mouth|opening
土,earth|soil,earth|soil
士,scholar|gentleman,scholar|gentleman
大,big|great,big|great
女,woman|female,woman|female
子,child|offspring,child|offspring
小,small|little,small|little
山,mountain|hill,mountain|hill
川,river|stream,river|stream
工,work|craft,work|craft
巾,cloth|towel,cloth|towel
弓,bow|arch,bow|arch
飞,fly|flight,fly|flight
马,horse|fast,horse|fast
夕,evening|sunset,evening|sunset
尸,corpse|body,corpse|body
己,self|oneself,self|oneself
干,dry|stem,dry|stem
幺,tiny|thread,tiny|thread
广,building|shelter,building|shelter
弋,arrow|shoot,arrow|shoot
囗,enclosure|surround,enclosure|surround
寸,inch|measure,inch|measure
艹,grass|plant,grass|plant
饣,food radical,food radical
三,three,three
上,up|above,up|above
下,down|below,down|below
万,ten thousand,ten thousand
义,righteousness,righteousness
之,possessive particle,possessive particle
习,practice|learn,practice|learn
于,at|in,at|in
亡,death|lose,death|lose
刃,blade|edge,blade|edge
勺,spoon|ladle,spoon|ladle
千,thousand,thousand
及,reach|and,reach|and
乡,village|countryside,village|countryside
才,talent|just,talent|just
兀,bald|突出,bald|突出
与,give|with,give|with
也,also|too,also|too
叉,fork|cross,fork|cross
丈,measure|elder,measure|elder
个,individual|piece,individual|piece
丸,round|pill,round|pill
久,long time,long time
亏,loss|deficit,loss|deficit
么,what|small,what|small
乞,beg|request,beg|request
已,already|stop,already|stop
爻,hexagram line,hexagram line
戈,halberd|weapon,halberd|weapon
户,door|household,door|household
文,writing|culture,writing|culture
斗,fight|measure,fight|measure
斤,axe|catty,axe|catty
日,sun|day,sun|day
月,moon|month,moon|month
木,tree|wood,tree|wood
比,compare|ratio,compare|ratio
气,air|breath,air|breath
水,water|flow,water|flow
火,fire|flame,fire|flame
父,father,father
牛,cow|bull,cow|bull
犬,dog|hunt,dog|hunt
王,king|jade,king|jade
贝,shell|treasure,shell|treasure
车,vehicle|wheel,vehicle|wheel
风,wind|style,wind|style
毋,do not,do not
戶,door variant,door variant
方,square|direction,square|direction
曰,say|speak,say|speak
止,stop|foot,stop|foot
歹,bad|evil,bad|evil
氏,clan|surname,clan|surname
片,slice|piece,slice|piece
见,see|meet,see|meet
长,long|grow,long|grow
韦,leather|soft,leather|soft
心,heart|mind,heart|mind
手,hand|grasp,hand|grasp
无,without|not have,without|not have
毛,hair|fur,hair|fur
爪,claw|talon,claw|talon
牙,tooth|fang,tooth|fang
瓦,tile|pottery,tile|pottery
支,support|branch,support|branch
欠,owe|lack,owe|lack
攴,strike variant,strike variant
不,not|no,not|no
丑,ugly|second,ugly|second
中,middle|center,middle|center
丰,abundant|plentiful,abundant|plentiful
云,cloud|say,cloud|say
井,well|pit,well|pit
公,public|fair,public|fair
内,inside|within,inside|within
分,divide|part,divide|part
友,friend,friend
