relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-091,comparative,good,better,好,更好,bueno,mejor,morphological,pending,
NeurIPS-RA-092,comparative,big,bigger,大,更大,grande,más grande,morphological,pending,
NeurIPS-RA-093,comparative,fast,faster,快,更快,rápido,más rápido,morphological,pending,
NeurIPS-RA-094,comparative,strong,stronger,强,更强,fuerte,más fuerte,morphological,pending,
NeurIPS-RA-095,comparative,smart,smarter,聪明,更聪明,inteligente,más inteligente,morphological,pending,
NeurIPS-RA-096,comparative,tall,taller,高,更高,alto,más alto,morphological,pending,
NeurIPS-RA-097,comparative,small,smaller,小,更小,pequeño,más pequeño,morphological,pending,
NeurIPS-RA-098,comparative,slow,slower,慢,更慢,lento,más lento,morphological,pending,
NeurIPS-RA-099,comparative,weak,weaker,弱,更弱,débil,más débil,morphological,pending,
NeurIPS-RA-100,comparative,young,younger,年轻,更年轻,joven,más joven,morphological,pending,
NeurIPS-RA-101,comparative,old,older,老,更老,viejo,más viejo,morphological,pending,
NeurIPS-RA-102,comparative,hot,hotter,热,更热,caliente,más caliente,morphological,pending,
NeurIPS-RA-103,comparative,cold,colder,冷,更冷,frío,más frío,morphological,pending,
NeurIPS-RA-104,comparative,bright,brighter,亮,更亮,brillante,más brillante,morphological,pending,
NeurIPS-RA-105,comparative,dark,darker,暗,更暗,oscuro,más oscuro,morphological,pending,
NeurIPS-RA-106,comparative,long,longer,长,更长,largo,más largo,morphological,pending,
NeurIPS-RA-107,comparative,short,shorter,短,更短,corto,más corto,morphological,pending,
NeurIPS-RA-108,comparative,wide,wider,宽,更宽,ancho,más ancho,morphological,pending,
NeurIPS-RA-109,comparative,narrow,narrower,窄,更窄,estrecho,más estrecho,morphological,pending,
NeurIPS-RA-110,comparative,deep,deeper,深,更深,profundo,más profundo,morphological,pending,
NeurIPS-RA-111,comparative,shallow,shallower,浅,更浅,superficial,más superficial,morphological,pending,
NeurIPS-RA-112,comparative,heavy,heavier,重,更重,pesado,más pesado,morphological,pending,
NeurIPS-RA-113,comparative,light,lighter,轻,更轻,ligero,más ligero,morphological,pending,
NeurIPS-RA-114,comparative,thick,thicker,厚,更厚,grueso,más grueso,morphological,pending,
NeurIPS-RA-115,comparative,thin,thinner,薄,更薄,delgado,más delgado,morphological,pending,
NeurIPS-RA-116,comparative,loud,louder,响,更响,ruidoso,más ruidoso,morphological,pending,
NeurIPS-RA-117,comparative,quiet,quieter,静,更静,silencioso,más silencioso,morphological,pending,
NeurIPS-RA-118,comparative,high,higher,高,更高,alto,más alto,morphological,pending,
NeurIPS-RA-119,comparative,low,lower,低,更低,bajo,más bajo,morphological,pending,
NeurIPS-RA-120,comparative,rich,richer,富,更富,rico,más rico,morphological,pending,
NeurIPS-RA-121,comparative,poor,poorer,穷,更穷,pobre,más pobre,morphological,pending,
NeurIPS-RA-122,comparative,clean,cleaner,干净,更干净,limpio,más limpio,morphological,pending,
NeurIPS-RA-123,comparative,dirty,dirtier,脏,更脏,sucio,más sucio,morphological,pending,
NeurIPS-RA-124,comparative,dry,drier,干,更干,seco,más seco,morphological,pending,
NeurIPS-RA-125,comparative,wet,wetter,湿,更湿,mojado,más mojado,morphological,pending,
NeurIPS-RA-126,comparative,hard,harder,硬,更硬,duro,más duro,morphological,pending,
NeurIPS-RA-127,comparative,soft,softer,软,更软,blando,más blando,morphological,pending,
NeurIPS-RA-128,comparative,smooth,smoother,光滑,更光滑,suave,más suave,morphological,pending,
NeurIPS-RA-129,comparative,rough,rougher,粗糙,更粗糙,áspero,más áspero,morphological,pending,
NeurIPS-RA-130,comparative,sharp,sharper,锋利,更锋利,afilado,más afilado,morphological,pending,
NeurIPS-RA-131,comparative,dull,duller,钝,更钝,desafilado,más desafilado,morphological,pending,
NeurIPS-RA-132,comparative,sweet,sweeter,甜,更甜,dulce,más dulce,morphological,pending,
NeurIPS-RA-133,comparative,bitter,bitterer,苦,更苦,amargo,más amargo,morphological,pending,
NeurIPS-RA-134,comparative,happy,happier,快乐,更快乐,feliz,más feliz,morphological,pending,
NeurIPS-RA-135,comparative,sad,sadder,悲伤,更悲伤,triste,más triste,morphological,pending,
NeurIPS-RA-136,comparative,angry,angrier,生气,更生气,enojado,más enojado,morphological,pending,
NeurIPS-RA-137,comparative,calm,calmer,平静,更平静,tranquilo,más tranquilo,morphological,pending,
NeurIPS-RA-138,comparative,brave,braver,勇敢,更勇敢,valiente,más valiente,morphological,pending,
NeurIPS-RA-139,comparative,afraid,more afraid,害怕,更害怕,asustado,más asustado,morphological,pending,
NeurIPS-RA-140,comparative,beautiful,more beautiful,美丽,更美丽,hermoso,más hermoso,morphological,pending,
