relation_id,category,word1_en,word2_en,word1_zh,word2_zh,word1_es,word2_es,relation_type,verified,notes
NeurIPS-RA-146,part_whole,finger,hand,手指,手,dedo,mano,body_part,pending,
NeurIPS-RA-147,part_whole,hand,arm,手,手臂,mano,brazo,body_part,pending,
NeurIPS-RA-148,part_whole,toe,foot,脚趾,脚,dedo del pie,pie,body_part,pending,
NeurIPS-RA-149,part_whole,foot,leg,脚,腿,pie,pierna,body_part,pending,
NeurIPS-RA-150,part_whole,leaf,tree,叶子,树,hoja,árbol,botanical_part,pending,
NeurIPS-RA-151,part_whole,branch,tree,树枝,树,rama,árbol,botanical_part,pending,
NeurIPS-RA-152,part_whole,petal,flower,花瓣,花,pétalo,flor,botanical_part,pending,
NeurIPS-RA-153,part_whole,seed,fruit,种子,水果,semilla,fruta,botanical_part,pending,
NeurIPS-RA-154,part_whole,wheel,car,轮子,汽车,rueda,coche,mechanical_part,pending,
NeurIPS-RA-155,part_whole,engine,car,发动机,汽车,motor,coche,mechanical_part,pending,
NeurIPS-RA-156,part_whole,page,book,页,书,página,libro,document_part,pending,
NeurIPS-RA-157,part_whole,chapter,book,章节,书,capítulo,libro,document_part,pending,
NeurIPS-RA-158,part_whole,word,sentence,词,句子,palabra,oración,linguistic_part,pending,
NeurIPS-RA-159,part_whole,sentence,paragraph,句子,段落,oración,párrafo,linguistic_part,pending,
NeurIPS-RA-160,part_whole,room,house,房间,房子,habitación,casa,architectural_part,pending,
NeurIPS-RA-161,part_whole,window,house,窗户,房子,ventana,casa,architectural_part,pending,
NeurIPS-RA-162,part_whole,key,piano,琴键,钢琴,tecla,piano,instrument_part,pending,
NeurIPS-RA-163,part_whole,string,guitar,弦,吉他,cuerda,guitarra,instrument_part,pending,
NeurIPS-RA-164,part_whole,cell,organism,细胞,生物,célula,organismo,biological_part,pending,
NeurIPS-RA-165,part_whole,atom,molecule,原子,分子,átomo,molécula,chemical_part,pending,
NeurIPS-RA-166,part_whole,eye,face,眼睛,脸,ojo,cara,body_part,pending,
NeurIPS-RA-167,part_whole,nose,face,鼻子,脸,nariz,cara,body_part,pending,
NeurIPS-RA-168,part_whole,tooth,mouth,牙齿,嘴,diente,boca,body_part,pending,
NeurIPS-RA-169,part_whole,ear,head,耳朵,头,oreja,cabeza,body_part,pending,
NeurIPS-RA-170,part_whole,heart,body,心脏,身体,corazón,cuerpo,body_part,pending,
NeurIPS-RA-171,part_whole,lung,body,肺,身体,pulmón,cuerpo,body_part,pending,
NeurIPS-RA-172,part_whole,root,tree,树根,树,raíz,árbol,botanical_part,pending,
NeurIPS-RA-173,part_whole,trunk,tree,树干,树,tronco,árbol,botanical_part,pending,
NeurIPS-RA-174,part_whole,stem,flower,茎,花,tallo,flor,botanical_part,pending,
NeurIPS-RA-175,part_whole,peel,fruit,果皮,水果,cáscara,fruta,botanical_part,pending,
NeurIPS-RA-176,part_whole,grain,rice,米粒,稻谷,grano,arroz,botanical_part,pending,
NeurIPS-RA-177,part_whole,door,building,门,建筑,puerta,edificio,architectural_part,pending,
NeurIPS-RA-178,part_whole,roof,building,屋顶,建筑,techo,edificio,architectural_part,pending,
NeurIPS-RA-179,part_whole,wall,room,墙,房间,pared,habitación,architectural_part,pending,
NeurIPS-RA-180,part_whole,floor,building,地板,建筑,piso,edificio,architectural_part,pending,
NeurIPS-RA-181,part_whole,stair,building,楼梯,建筑,escalera,edificio,architectural_part,pending,
NeurIPS-RA-182,part_whole,gear,machine,齿轮,机器,engranaje,máquina,mechanical_part,pending,
NeurIPS-RA-183,part_whole,bolt,machine,螺栓,机器,perno,máquina,mechanical_part,pending,
NeurIPS-RA-184,part_whole,lens,camera,镜头,相机,lente,cámara,mechanical_part,pending,
NeurIPS-RA-185,part_whole,screen,computer,屏幕,电脑,pantalla,computadora,mechanical_part,pending,
NeurIPS-RA-186,part_whole,keyboard,computer,键盘,电脑,teclado,computadora,mechanical_part,pending,
NeurIPS-RA-187,part_whole,letter,alphabet,字母,字母表,letra,alfabeto,linguistic_part,pending,
NeurIPS-RA-188,part_whole,paragraph,essay,段落,文章,párrafo,ensayo,document_part,pending,
NeurIPS-RA-189,part_whole,verse,poem,诗句,诗,verso,poema,document_part,pending,
NeurIPS-RA-190,part_whole,scene,play,场景,戏剧,escena,obra,theatrical_part,pending,
NeurIPS-RA-191,part_whole,act,play,幕,戏剧,acto,obra,theatrical_part,pending,
NeurIPS-RA-192,part_whole,note,melody,音符,旋律,nota,melodía,musical_part,pending,
NeurIPS-RA-193,part_whole,chord,song,和弦,歌曲,acorde,canción,musical_part,pending,
NeurIPS-RA-194,part_whole,pixel,image,像素,图像,píxel,imagen,digital_part,pending,
NeurIPS-RA-195,part_whole,bit,byte,比特,字节,bit,byte,digital_part,pending,
