english,chinese,spanish,german,turkish,human
actor,演员,actor,Schauspieler,aktör,
actress,女演员,actriz,Schauspielerin,aktris,
waiter,服务员,camarero,Kellner,garson,
waitress,女服务员,camarera,Kellnerin,garson,
host,主持人,anfitrión,Gastgeber,sunucu,
hostess,女主持人,anfitriona,Gastgeberin,sunucu,
steward,空乘,azafato,Steward,kabin görevlisi,
stewardess,空姐,azafata,Stewardess,hostes,
hero,英雄,héroe,Held,kahraman,
heroine,女英雄,heroína,Heldin,kahraman,
author,作家,autor,Autor,yazar,
authoress,女作家,autora,Autorin,yazar,
poet,诗人,poeta,Dichter,şair,
poetess,女诗人,poetisa,Dichterin,şaire,
hunter,猎人,cazador,Jäger,avcı,
huntress,女猎人,cazadora,Jägerin,avcı,
priest,祭司,sacerdote,Priester,rahip,
priestess,女祭司,sacerdotisa,Priesterin,rahibe,
chairman,主席,presidente,Vorsitzender,başkan,
chairwoman,女主席,presidenta,Vorsitzende,başkan,
policeman,警察,policía,Polizist,polis,
policewoman,女警察,policía,Polizistin,polis,
spokesman,发言人,portavoz,Sprecher,sözcü,
spokeswoman,女发言人,portavoz,Sprecherin,sözcü,
fireman,消防员,bombero,Feuerwehrmann,itfaiyeci,
firewoman,女消防员,bombera,Feuerwehrfrau,itfaiyeci,
businessman,商人,empresario,Geschäftsmann,işadamı,
businesswoman,女商人,empresaria,Geschäftsfrau,işkadını,
salesman,销售员,vendedor,Verkäufer,satıcı,
saleswoman,女销售员,vendedora,Verkäuferin,satıcı,
mailman,邮递员,cartero,Briefträger,postacı,
mailwoman,女邮递员,cartera,Briefträgerin,postacı,
congressman,国会议员,congresista,Kongressabgeordneter,kongre üyesi,
congresswoman,女国会议员,congresista,Kongressabgeordnete,kongre üyesi,
headmaster,校长,director,Schulleiter,müdür,
headmistress,女校长,directora,Schulleiterin,müdire,
shepherd,牧羊人,pastor,Schäfer,çoban,
shepherdess,女牧羊人,pastora,Schäferin,çoban,
sorcerer,巫师,hechicero,Zauberer,büyücü,
sorceress,女巫,hechicera,Zauberin,büyücü,
comedian,喜剧演员,cómico,Komiker,komedyen,
comedienne,女喜剧演员,cómica,Komikerin,komedyen,
aviator,飞行员,aviador,Flieger,havacı,
aviatrix,女飞行员,aviadora,Fliegerin,havacı,
usher,引座员,acompañante,Platzanweiser,görevli,
usherette,女引座员,acompañante,Platzanweiserin,görevli,
barman,酒吧侍者,barman,Barmann,barmen,
barmaid,女酒吧侍者,barmaid,Bardame,barmen,
conductor,指挥,conductor,Dirigent,koro şefi,
conductress,女指挥,conductora,Dirigentin,koro şefi,
emperor,皇帝,emperador,Kaiser,imparator,
empress,女皇,emperatriz,Kaiserin,imparatoriçe,
king,国王,rey,König,kral,
queen,女王,reina,Königin,kraliçe,
prince,王子,príncipe,Prinz,prens,
princess,公主,princesa,Prinzessin,prenses,
duke,公爵,duque,Herzog,dük,
duchess,女公爵,duquesa,Herzogin,düşes,
abbot,男修道院院长,abade,Abt,başrahip,
abbess,女修道院院长,abadesa,Äbtissin,başrahibe,
monk,僧侣,monje,Mönch,keşiş,
nun,修女,monja,Nonne,rahibe,
god,神,dios,Gott,tanrı,
goddess,女神,diosa,Göttin,tanrıça,
gentleman,绅士,caballero,Gentleman,beyefendi,
lady,女士,dama,Dame,hanımefendi,
scribe,抄写员,escriba,Schreiber,katip,
scrivener,女抄写员,escribana,Schreiberin,katip,
magician,魔术师,mago,Magier,sihirbaz,
usheress,女引宾员,usheres,Platzanweiserin,yer gösterici,
baker,面包师,panadero,Bäcker,fırıncı,
bakeress,女面包师,panadera,Bäckerin,fırıncı,
tailor,裁缝,sastre,Schneider,terzi,
seamstress,女裁缝,modista,Schneiderin,terzi,
weaver,织工,tejedor,Weber,dokumacı,
weavress,女织工,tejedora,Weberin,dokumacı,
farmer,农民,granjero,Bauer,çiftçi,
farmerette,女农民,granjera,Bäuerin,çiftçi,
teacher,教师,maestro,Lehrer,öğretmen,
teacheress,女教师,maestra,Lehrerin,öğretmen,
singer,歌手,cantante,Sänger,şarkıcı,
songstress,女歌手,cantante,Sängerin,şarkıcı,
dancer,舞者,bailarín,Tänzer,dansçı,
danstress,女舞者,bailarina,Tänzerin,dansçı,
writer,作者,escritor,Schriftsteller,yazar,
sculptor,雕塑家,escultor,Bildhauer,heykeltıraş,
sculptress,女雕塑家,escultora,Bildhauerin,heykeltıraş,
painter,画家,pintor,Maler,ressam,
paintress,女画家,pintora,Malerin,ressam,
professor,教授,profesor,Professor,profesör,
professoress,女教授,profesora,Professorin,profesör,
doctor,医生,médico,Arzt,doktor,
doctress,女医生,médica,Ärztin,doktor,
engineer,工程师,ingeniero,Ingenieur,mühendis,
engineeress,女工程师,ingeniera,Ingenieurin,mühendis,
scientist,科学家,científico,Wissenschaftler,bilim insanı,
scientistess,女科学家,científica,Wissenschaftlerin,bilim insanı,
